appName,coreF,memF,argNo,kernel,time/ms,blocks,achieved_occupancy,sm_efficiency,warp_execution_efficiency,eligible_warps_per_cycle,dram_read_transactions,dram_read_throughput,dram_write_transactions,dram_write_throughput,l2_read_transactions,l2_read_throughput,l2_write_transactions,l2_write_throughput,shared_load_transactions,shared_load_throughput,shared_store_transactions,shared_store_throughput,tex_cache_hit_rate,tex_cache_throughput,tex_cache_transactions,branch_efficiency,cf_executed,cf_issued,flop_count_sp,flop_sp_efficiency,gld_throughput,gld_transactions,gst_throughput,gst_transactions,inst_issued,inst_per_warp,ipc
BlackScholes,1600,3500,input00,BlackScholesGPU,0.355978,(32768 1 1) (128 1 1),0.882553,1,0.9852,2.711863,1572906,149.98,1047564,99.689,1573032,149.58,1048589,99.693,0,0,0,0,0.5,150.02,1572864,1,2228224,2228224,425267618,0.1183,149.92,3145728,99.946,1048576,21367831,163,1.751731
BlackScholes,1600,4000,input00,BlackScholesGPU,0.317198,(32768 1 1) (128 1 1),0.874933,1,0.9843,3.178705,1572902,174.16,1047496,116.01,1573044,174.03,1048589,115.99,0,0,0,0,0.5,174.04,1572864,1,2228224,2228224,425267618,0.1459,173.84,3145728,115.9,1048576,21367710,163,2.046156
BlackScholes,1600,4500,input00,BlackScholesGPU,0.284497,(32768 1 1) (128 1 1),0.867768,1,0.9828,3.727481,1572914,197.05,1047538,131.22,1573060,196.72,1048589,131.11,0,0,0,0,0.5,196.82,1572864,1,2228224,2228224,425267618,0.1606,196.73,3145728,131.15,1048576,21367804,163,2.324701
BlackScholes,1600,5000,input00,BlackScholesGPU,0.254129,(32768 1 1) (128 1 1),0.86343,1,0.9813,4.19049,1572890,219.43,1047504,146.26,1573041,219.22,1048589,146.11,0,0,0,0,0.5,219.05,1572864,1,2228224,2228224,425267618,0.1793,219.28,3145728,146.19,1048576,21367719,163,2.57102
BlackScholes,1700,3500,input00,BlackScholesGPU,0.362137,(32768 1 1) (128 1 1),0.88311,1,0.9858,2.69163,1572894,149.44,1047554,99.998,1573027,150.03,1048589,99.994,0,0,0,0,0.5,149.52,1572864,1,2228224,2228224,425267618,0.1326,149.43,3145728,99.619,1048576,21367718,163,1.735473
BlackScholes,1700,4000,input00,BlackScholesGPU,0.324275,(32768 1 1) (128 1 1),0.875252,1,0.9844,3.19182,1572911,174.12,1047520,116.11,1573029,174.14,1048589,116.06,0,0,0,0,0.5,173.97,1572864,1,2228224,2228224,425267618,0.1307,174.02,3145728,116.01,1048576,21367683,163,2.028811
BlackScholes,1700,4500,input00,BlackScholesGPU,0.286769,(32768 1 1) (128 1 1),0.867825,1,0.9826,3.691851,1572896,197.23,1047517,131.21,1573036,196.83,1048589,131.19,0,0,0,0,0.5,197.03,1572864,1,2228224,2228224,425267618,0.153,196.78,3145728,131.19,1048576,21367739,163,2.305161
BlackScholes,1700,5000,input00,BlackScholesGPU,0.263561,(32768 1 1) (128 1 1),0.863119,1,0.9808,4.213726,1572884,219.53,1047512,146.18,1573026,218.99,1048589,145.96,0,0,0,0,0.5,219.21,1572864,1,2228224,2228224,425267618,0.1705,219.09,3145728,146.06,1048576,21367836,163,2.580465
BlackScholes,1800,3500,input00,BlackScholesGPU,0.365797,(32768 1 1) (128 1 1),0.883037,1,0.9857,2.690208,1572908,149.28,1047491,99.54,1573057,149.34,1048590,99.541,0,0,0,0,0.5,149.35,1572864,1,2228224,2228224,425267618,0.1064,149.18,3145728,99.455,1048576,21367934,163,1.732705
BlackScholes,1800,4000,input00,BlackScholesGPU,0.312078,(32768 1 1) (128 1 1),0.874825,1,0.9843,3.190146,1572890,174.1,1047513,115.98,1573027,174.02,1048589,115.98,0,0,0,0,0.5,174.16,1572864,1,2228224,2228224,425267618,0.1282,173.93,3145728,115.95,1048576,21367744,163,2.026219
BlackScholes,1800,4500,input00,BlackScholesGPU,0.291311,(32768 1 1) (128 1 1),0.868043,1,0.9825,3.688967,1572896,197.04,1047544,131.07,1573034,196.66,1048589,131.07,0,0,0,0,0.5,196.76,1572864,1,2228224,2228224,425267618,0.1543,196.65,3145728,131.1,1048576,21367662,163,2.302449
BlackScholes,1800,5000,input00,BlackScholesGPU,0.274848,(32768 1 1) (128 1 1),0.864191,1,0.981,4.208164,1572892,219.35,1047542,146.25,1573041,219.13,1048589,146.06,0,0,0,0,0.5,218.95,1572864,1,2228224,2228224,425267618,0.1689,219.22,3145728,146.15,1048576,21367857,163,2.577863
BlackScholes,1900,3500,input00,BlackScholesGPU,0.354487,(32768 1 1) (128 1 1),0.883419,1,0.9858,2.679381,1572893,149.32,1047566,99.488,1573055,149.28,1048589,99.493,0,0,0,0,0.5,149.32,1572864,1,2228224,2228224,425267618,0.1021,149.14,3145728,99.428,1048576,21367929,163,1.725057
BlackScholes,1900,4000,input00,BlackScholesGPU,0.309333,(32768 1 1) (128 1 1),0.875382,1,0.9841,3.178483,1572891,174.13,1047548,116.05,1573045,174.04,1048589,116,0,0,0,0,0.5,174.06,1572864,1,2228224,2228224,425267618,0.1185,173.9,3145728,115.94,1048576,21367897,163,2.020079
BlackScholes,1900,4500,input00,BlackScholesGPU,0.277995,(32768 1 1) (128 1 1),0.867914,1,0.9827,3.669952,1572903,196.93,1047583,131.13,1573029,196.64,1048589,131.06,0,0,0,0,0.5,196.73,1572864,1,2228224,2228224,425267618,0.1576,196.64,3145728,131.09,1048576,21367865,163,2.292495
