appName,coreF,memF,argNo,kernel,power/W
BlackScholes,1012,715,input00,BlackScholesGPU,124.4445023255814
BlackScholes,1202,715,input00,BlackScholesGPU,137.01868055555556
BlackScholes,1328,715,input00,BlackScholesGPU,173.07612962962961
BlackScholes,607,715,input00,BlackScholesGPU,91.671629107981218
BlackScholes,810,715,input00,BlackScholesGPU,110.46702816901409
SobolQRNG,1012,715,input00,sobolGPU_kernel,98.968954773869314
SobolQRNG,1202,715,input00,sobolGPU_kernel,111.14604060913705
SobolQRNG,1328,715,input00,sobolGPU_kernel,134.80407575757576
SobolQRNG,607,715,input00,sobolGPU_kernel,83.150878787878781
SobolQRNG,810,715,input00,sobolGPU_kernel,92.586633165829141
conjugateGradient,1012,715,input00,csrMv_kernel,86.977066350710899
conjugateGradient,1202,715,input00,csrMv_kernel,97.353999999999999
conjugateGradient,1328,715,input00,csrMv_kernel,122.85143867924528
conjugateGradient,607,715,input00,csrMv_kernel,70.82482211538462
conjugateGradient,810,715,input00,csrMv_kernel,78.688099009901009
convolutionSeparable,1012,715,input00,convolutionRowsKernel,109.04580904522616
convolutionSeparable,1202,715,input00,convolutionRowsKernel,126.68863775510205
convolutionSeparable,1328,715,input00,convolutionRowsKernel,158.59044278606967
convolutionSeparable,607,715,input00,convolutionRowsKernel,82.908772727272734
convolutionSeparable,810,715,input00,convolutionRowsKernel,96.599358208955238
fastWalshTransform,1012,715,input00,fwtBatch1Kernel,79.663817757009355
fastWalshTransform,1202,715,input00,fwtBatch1Kernel,89.626443396226406
fastWalshTransform,1328,715,input00,fwtBatch1Kernel,107.04323584905661
fastWalshTransform,607,715,input00,fwtBatch1Kernel,70.578395348837205
fastWalshTransform,810,715,input00,fwtBatch1Kernel,75.331711627906969
histogram,1012,715,input00,histogram256Kernel,86.910730769230767
histogram,1202,715,input00,histogram256Kernel,104.4045530726257
histogram,1328,715,input00,histogram256Kernel,129.8174318181818
histogram,607,715,input00,histogram256Kernel,73.445434065934066
histogram,810,715,input00,histogram256Kernel,78.323116402116398
matrixMulGlobal,1012,715,input00,matrixMulCUDA,93.511728643216074
matrixMulGlobal,1202,715,input00,matrixMulCUDA,115.94785
matrixMulGlobal,1328,715,input00,matrixMulCUDA,148.1478894472362
matrixMulGlobal,607,715,input00,matrixMulCUDA,67.290104999999997
matrixMulGlobal,810,715,input00,matrixMulCUDA,80.091874371859291
matrixMulShared,1012,715,input00,matrixMulCUDA,83.331159203980107
matrixMulShared,1202,715,input00,matrixMulCUDA,103.10068656716416
matrixMulShared,1328,715,input00,matrixMulCUDA,136.15542574257427
matrixMulShared,607,715,input00,matrixMulCUDA,60.752146464646458
matrixMulShared,810,715,input00,matrixMulCUDA,71.867331658291462
mergeSort,1012,715,input00,mergeElementaryIntervalsKernel,70.8838484848485
mergeSort,1202,715,input00,mergeElementaryIntervalsKernel,84.17667336683418
mergeSort,1328,715,input00,mergeElementaryIntervalsKernel,107.57578571428571
mergeSort,607,715,input00,mergeElementaryIntervalsKernel,55.420772727272727
mergeSort,810,715,input00,mergeElementaryIntervalsKernel,62.652613065326626
quasirandomGenerator,1012,715,input00,quasirandomGeneratorKernel,70.648692307692301
quasirandomGenerator,1202,715,input00,quasirandomGeneratorKernel,84.53951923076923
quasirandomGenerator,1328,715,input00,quasirandomGeneratorKernel,110.01748076923074
quasirandomGenerator,607,715,input00,quasirandomGeneratorKernel,54.43395609756098
quasirandomGenerator,810,715,input00,quasirandomGeneratorKernel,62.140700483091784
reduction,1012,715,input00,reduce2,29.367235294117645
reduction,1202,715,input00,reduce2,32.162999999999997
reduction,1328,715,input00,reduce2,36.236823529411765
reduction,607,715,input00,reduce2,28.150333333333332
reduction,810,715,input00,reduce2,28.643166666666673
scalarProd,1012,715,input00,scalarProdGPU,59.751880597014932
scalarProd,1202,715,input00,scalarProdGPU,68.412833333333339
scalarProd,1328,715,input00,scalarProdGPU,79.926625899280566
scalarProd,607,715,input00,scalarProdGPU,53.313835526315785
scalarProd,810,715,input00,scalarProdGPU,56.351739999999999
scan,1012,715,input00,scanExclusiveShared,99.805005319148933
scan,1202,715,input00,scanExclusiveShared,108.26006878306877
scan,1328,715,input00,scanExclusiveShared,130.18623936170212
scan,607,715,input00,scanExclusiveShared,86.181119170984445
scan,810,715,input00,scanExclusiveShared,95.275781914893599
sortingNetworks,1012,715,input00,bitonicMergeGlobal,86.624545454545455
sortingNetworks,1202,715,input00,bitonicMergeGlobal,97.978221105527624
sortingNetworks,1328,715,input00,bitonicMergeGlobal,117.212695
sortingNetworks,607,715,input00,bitonicMergeGlobal,74.45198994974875
sortingNetworks,810,715,input00,bitonicMergeGlobal,80.574834170854274
transpose,1012,715,input00,transposeCoalesced,98.457465306122472
transpose,1202,715,input00,transposeCoalesced,111.35122540983606
transpose,1328,715,input00,transposeCoalesced,131.13624081632653
transpose,607,715,input00,transposeCoalesced,81.524356846473012
transpose,810,715,input00,transposeCoalesced,91.574777777777769
vectorAdd,1012,715,input00,vectorAdd,66.771741379310328
vectorAdd,1202,715,input00,vectorAdd,73.860611111111112
vectorAdd,1328,715,input00,vectorAdd,87.486579166666687
vectorAdd,607,715,input00,vectorAdd,62.857150442477881
vectorAdd,810,715,input00,vectorAdd,64.615861344537805
