,appName,coreF,memF,cold_miss,c_to_m,modelled_cycle,real_cycle,c1,c2,c3,depart_delay,mem_l,N,compute_cycles,compute_cycles_per_period,mem_cycles,MWP_without_BW,MWP_peak_BW,MWP,CWP_without_OCC,CWP,shm_insts,exec_rounds,abe
7,BlackScholes,1600,5500,564.8087272727273,0.2909090909090909,9385.42462753174,4007.72198848,14805.596533444797,4835.101713788702,9385.42462753174,3.3042561796821337,564.7636964051909,56.075584,157.29949296875,7.8647933895273505,11295.53424887013,427.30017414957257,20.170132014471104,427.30017414957257,72.80909509424906,56.075584,0.0,570.6583457071084,1.3418352506759905
3,BlackScholes,1700,5500,568.8592727272727,0.3090909090909091,9415.224557148029,4263.7695036,14711.350253680075,4757.319076085111,9415.224557148029,3.5106770943741887,568.8009157347437,56.23936,157.29950770089286,7.864799392602878,11376.272878497564,405.05072130262226,20.31431841909799,405.05072130262226,73.32236797669896,56.23936,0.0,568.9965177413114,1.2081926682946946
6,BlackScholes,1600,5000,571.2896,0.32,9432.3860260398,4476.787960320001,14629.235102534753,4703.779025904467,9432.3860260398,3.6772073755269172,571.2471490207963,56.333056000000006,157.29909765625,7.864632310002911,11425.411581592858,388.3702295542557,20.40168389359987,388.3702295542557,73.63494674687277,56.333056000000006,0.0,568.0501338326114,1.1069539387712195
11,BlackScholes,1800,5500,572.9098181818182,0.32727272727272727,9445.771204476852,4530.66044544,14636.617987631796,4699.6172930356715,9445.771204476852,3.717053140416739,572.8337059918238,56.408064,157.29909642857143,7.864631809764957,11457.144661809254,385.27408968358213,20.458346642565136,385.27408968358213,73.83668451974785,56.408064,0.0,567.2947754420361,1.084855247535443
2,BlackScholes,1700,5000,575.7452,0.34,9463.673799033873,4770.38841032,14560.589658115921,4655.416033913806,9463.673799033873,3.906881703562535,575.683651332924,56.503616,157.29949296875,7.8647933895273505,11513.938380841517,368.37796420095094,20.560130404747287,368.37796420095094,74.19755558988955,56.503616,0.0,566.3354359480286,0.9838371606305001
15,BlackScholes,1900,5500,576.9603636363636,0.34545454545454546,9467.480837911859,4792.53594106,14578.594467460942,4657.210244845021,9467.480837911859,3.9236497047444723,576.8974549074579,56.520128,157.29942053571432,7.86476387452295,11538.252999487011,367.5770636519069,20.60348053240921,367.5770636519069,74.35216468179733,56.520128,0.0,566.1699846114998,0.9754637115601612
5,BlackScholes,1600,4500,579.2106666666666,0.35555555555555557,9483.163682926532,4929.77891712,14481.022480638081,4616.76557575273,9483.163682926532,4.1433433922556375,579.147100321744,56.605568000000005,157.29930636160714,7.864717351266549,11583.307205220237,349.4443046913715,20.683825011490857,349.4443046913715,74.63864134652938,56.605568000000005,0.0,565.3154120810165,0.923648878044746
10,BlackScholes,1800,5000,580.2008,0.36,9491.248442261773,5060.9771784,14509.618558200882,4624.305002842609,9491.248442261773,4.136497681069471,580.1155108876281,56.65088000000001,157.29910870535716,7.864636812147009,11602.780266704463,350.6079028779016,20.718411103129576,350.6079028779016,74.76253026606823,56.65088000000001,0.0,564.8632466079962,0.8753786290066571
19,BlackScholes,2000,5500,581.0109090909091,0.36363636363636365,9486.299896705628,5070.1748544,14536.971831812429,4627.7206235832555,9486.299896705628,4.129519129682043,580.870442097126,56.618368000000004,157.28869921875003,7.860397295920262,11623.376378125,351.65743507637575,20.745372932040215,351.65743507637575,74.89835656253813,56.618368000000004,0.0,565.1876083747239,0.8710005412285191
1,BlackScholes,1700,4500,584.1613333333333,0.37777777777777777,9509.33888088522,5247.64918608,14440.632694610797,4599.2790897451305,9509.33888088522,4.4023994558987365,584.1093748509334,56.740352,157.29950892857144,7.864799892859534,11682.44826013244,331.69944066995686,20.86104910181905,331.69944066995686,75.26881583868997,56.740352,0.0,563.9725322817877,0.8121140616849633
