,appName,coreF,memF,cold_miss,c_to_m,modelled_cycle,real_cycle,avg_mem_lat,avg_mem_del,mem_del,mem_lat,shm_del,tex_del,dp_del,branch_del,shm_offset,shm_lat,compute_del,compute_offset,compute_lat,sm_del,sm_lat,insts,exec_rounds,abe
7,BlackScholes,1600,5500,448.5658181818182,0.2909090909090909,4148.496535910435,4007.72198848,451.83460408854245,3.298980754130943,3699.9307177286173,2259.2250873209177,28.0,117.7587264,0.0,476.642464,0.0,0.0,2409.63479939815,28.59924868919036,571.99815625,2437.63479939815,571.99815625,142.9995390625,570.6583457071084,0.03512582655061521
3,BlackScholes,1700,5500,451.80618181818187,0.3090909090909091,4394.357931536616,4263.7695036,455.2720381305909,3.5050750295672346,3942.551749718434,2276.4111292933812,28.0,118.10265599999998,0.0,478.03456,0.0,0.0,2416.660993112714,28.59927051855592,571.9982098214285,2444.660993112714,571.9982098214285,142.99955245535713,568.9965177413114,0.030627459534657675
6,BlackScholes,1600,5000,453.7504,0.32,4589.690549471284,4476.787960320001,457.3926534109713,3.670820306871529,4135.940149471284,2287.057068282607,28.0,118.29941760000001,0.0,478.8309760000001,0.0,0.0,2420.6742391870002,28.59866294546513,571.99671875,2448.6742391870002,571.99671875,142.9991796875,568.0501338326114,0.025219552534539207
11,BlackScholes,1800,5500,455.0465454545455,0.32727272727272727,4641.966829934208,4530.66044544,458.70640769736804,3.711125707793067,4186.920284479663,2293.626237124135,28.0,118.45693440000001,0.0,479.468544,0.0,0.0,2423.8920450413716,28.598661126418023,571.9967142857142,2451.8920450413716,571.9967142857142,142.99917857142856,567.2947754420361,0.024567364037672523
2,BlackScholes,1700,5000,457.31480000000005,0.34,4864.811754961991,4770.38841032,461.1733833327382,3.9001002858574854,4407.496954961991,2305.920059690286,28.0,118.6575936,0.0,480.280736,0.0,0.0,2427.99731300935,28.59924868919036,571.99815625,2455.99731300935,571.99815625,142.9995390625,566.3354359480286,0.019793638697788395
15,BlackScholes,1900,5500,458.28690909090915,0.34545454545454546,4886.6284591842295,4792.53594106,462.16183525693367,3.917387548920721,4428.341550093321,2310.8700413477936,28.0,118.6922688,0.0,480.421088,0.0,0.0,2428.7045590012003,28.599141361901633,571.9978928571429,2456.7045590012003,571.9978928571429,142.99947321428573,566.1699846114998,0.01963313771276967
5,BlackScholes,1600,4500,460.08711111111114,0.35555555555555557,5142.037507035745,4929.77891712,464.179617155998,4.135461358925925,4681.950395924634,2320.971261417181,28.0,118.8716928,0.0,481.147328,0.0,0.0,2432.368158892214,28.59897218642381,571.9974776785714,2460.368158892214,571.9974776785714,142.99936941964285,565.3154120810165,0.043056411551970215
10,BlackScholes,1800,5000,460.8792,0.36,5139.664614096383,5060.9771784,464.9508593228914,4.129323205838947,4678.785414096383,2324.8484802985718,28.0,118.96684800000001,0.0,481.5324800000001,0.0,0.0,2434.3089812838575,28.598679316898217,571.9967589285715,2462.3089812838575,571.9967589285715,142.99918973214287,564.8632466079962,0.015547874041443362
19,BlackScholes,2000,5500,461.52727272727276,0.36363636363636365,5132.6186321003315,5070.1748544,465.55521314019836,4.12294927239156,4671.091359373058,2328.9717787972404,28.0,118.8985728,0.0,481.25612800000005,0.0,0.0,2432.7534876205004,28.583262894255498,571.95890625,2460.7534876205004,571.95890625,142.9897265625,565.1876083747239,0.012315902211171547
1,BlackScholes,1700,4500,464.04755555555556,0.37777777777777777,5450.5236262459175,5247.64918608,468.4063760318653,4.394019945369182,4986.476070690362,2342.0841576566518,28.0,119.1547392,0.0,482.292992,0.0,0.0,2438.153501645714,28.599272337671035,571.9982142857143,2466.153501645714,571.9982142857143,142.99955357142858,563.9725322817877,0.038660061481256384
14,BlackScholes,1900,5000,464.44360000000006,0.38,5409.98123563751,5363.13995714,468.75779486666727,4.358884940672096,4945.537635637509,2343.8834060096465,28.0,119.12691840000001,0.0,482.18038400000006,0.0,0.0,2437.5790483291,28.598686593095966,571.9967767857142,2465.5790483291,571.9967767857142,142.99919419642856,564.1042419510786,0.00873392804809235
4,BlackScholes,1600,4000,468.00800000000004,0.4,5844.2577164124195,5647.5603648,472.6948268973737,4.732429042756662,5376.24971641242,2363.5932314256765,28.0,119.27865599999998,0.0,482.79456,0.0,0.0,2440.6753710684998,28.59835734839924,571.99596875,2468.6753710684998,571.99596875,142.9989921875,563.3866297085037,0.03482872938169748
9,BlackScholes,1800,4500,468.00800000000004,0.4,5758.159159719983,5571.566053200001,472.6126444910165,4.6523205785415485,5290.151159719983,2363.1269143935,28.0,119.39222399999998,0.0,483.25424,0.0,0.0,2443.00338173275,28.599121351807316,571.99784375,2471.00338173275,571.99784375,142.9994609375,562.8507263588623,0.03349024398854846
18,BlackScholes,2000,5000,468.00800000000004,0.4,5687.900945312337,5650.091565999999,472.3113084749262,4.585167302000745,5219.892945312337,2365.902096335836,28.0,119.31561599999998,0.0,482.94415999999995,0.0,0.0,2440.8202829098213,28.54012218030717,571.8527901785715,2468.8202829098213,571.8527901785715,142.96319754464287,563.2121113132417,0.006691817091931715
13,BlackScholes,1900,4500,471.96844444444446,0.4222222222222222,6060.256266508089,5915.339777880001,476.8375758906794,4.910864564501567,5588.287822063644,2384.3289084239445,28.0,119.4770304,0.0,483.597504,0.0,0.0,2444.724857372286,28.59807176584421,571.9952678571428,2472.724857372286,571.9952678571428,142.9988169642857,562.4512073577616,0.024498421742398104
0,BlackScholes,1700,4000,472.4635,0.425,6198.908523238352,6010.13834592,477.4469106030009,5.028214698376181,5726.445023238352,2387.289038446488,28.0,119.57783039999998,0.0,484.005504,0.0,0.0,2446.7964518747713,28.599255965642303,571.9981741071429,2474.7964518747713,571.9981741071429,142.99954352678571,561.977080326756,0.03140862430338227
17,BlackScholes,2000,4500,475.92888888888893,0.4444444444444444,6372.885878781775,6220.981342800001,481.05277633381206,5.169274688796987,5896.956989892887,2405.3181074842496,28.0,119.77822079999999,0.0,484.816608,0.0,0.0,2450.8902238936853,28.599265061211792,571.9981964285714,2478.8902238936853,571.9981964285714,142.99954910714285,561.0368859311025,0.024418098626446602
8,BlackScholes,1800,4000,476.91900000000004,0.45,6548.402486636614,6369.393751559999,482.19694887072046,5.323971796038809,6071.4834866366145,2411.0451535137704,28.0,119.73951359999998,0.0,484.659936,0.0,0.0,2450.0986344864787,28.599183201269124,571.9979955357143,2478.0986344864787,571.9979955357143,142.99949888392857,561.2182476745922,0.028104517016674036
12,BlackScholes,1900,4000,481.3745,0.475,6898.480659423685,6760.06319924,486.9446328783922,5.61969006430077,6417.106159423685,2434.8265586066987,28.0,119.89407359999998,0.0,485.285536,0.0,0.0,2453.2500993033786,28.59861565030637,571.9966026785714,2481.2500993033786,571.9966026785714,142.99915066964286,560.4947599344894,0.02047576422055439
16,BlackScholes,2000,4000,485.83000000000004,0.5,7251.754174142904,7132.244262,491.69841803842553,5.915507488796104,6765.924174142904,2458.5524549532706,28.0,120.0919104,0.0,486.08630400000004,0.0,0.0,2457.297744784857,28.599199573224766,571.9980357142857,2485.297744784857,571.9980357142857,142.99950892857143,559.5714130633065,0.016756284242765308
27,SobolQRNG,1600,5500,448.5658181818182,0.2909090909090909,1657424.5585940375,2198914.05389824,451.7541561069473,3.2982870959622255,1656975.9927758558,925454.9244024567,119686.73467519999,21.457676799999998,0.0,63131.550528,7.02022564766939,57526.0,604072.2683295616,16.03234312143034,131374.206,723759.0030047615,188900.206,32843.5515,1.1650841902884845,0.24625314224730546
