,appName,coreF,memF,cold_miss,c_to_m,modelled_cycle,real_cycle,depart_delay,mem_l,MWP,mem_cycles,compute_cycles,exec_rounds,abe
7,BlackScholes,1600,5500,564.8087272727273,0.2909090909090909,9385.469658399277,4007.72198848,3.3045326280991736,564.8087272727273,170.9193979414921,3706.157352731047,157.29949296875,570.6583457071084,1.3418464867017594
3,BlackScholes,1700,5500,568.8592727272727,0.3090909090909091,9415.282914140558,4263.7695036,3.5110659173553724,568.8592727272727,162.01896692265822,3949.2903744075625,157.29950770089286,568.9965177413114,1.2082063550084066
6,BlackScholes,1600,5000,571.2896,0.32,9432.428477019002,4476.787960320001,3.6775084800000006,571.2896,155.34691574660891,4143.4757631641905,157.29909765625,568.0501338326114,1.106963421234892
11,BlackScholes,1800,5500,572.9098181818182,0.32727272727272727,9445.847316666848,4530.66044544,3.7175992066115704,572.9098181818182,154.10747268369485,4194.223735143657,157.29909642857143,567.2947754420361,1.0848720468941486
2,BlackScholes,1700,5000,575.7452,0.34,9463.73534770095,4770.38841032,3.90735276,575.7452,147.34917356169294,4415.6929641300085,157.29949296875,566.3354359480286,0.9838500628644026
15,BlackScholes,1900,5500,576.9603636363636,0.34545454545454546,9467.543746640764,4792.53594106,3.9241324958677684,576.9603636363636,147.02876731199075,4435.966256213351,157.29942053571432,566.1699846114998,0.9754768379570582
5,BlackScholes,1600,4500,579.2106666666666,0.35555555555555557,9483.227249271453,4929.77891712,4.14386725925926,579.2106666666666,139.77539106071748,4691.467111226257,157.29930636160714,565.3154120810165,0.9236617724049172
10,BlackScholes,1800,5000,580.2008,0.36,9491.333731374145,5060.9771784,4.13719704,580.2008,140.24006939732314,4687.706968208121,157.29910870535716,564.8632466079962,0.8753954813079747
19,BlackScholes,2000,5500,581.0109090909091,0.36363636363636365,9486.44036369941,5070.1748544,4.130665785123967,581.0109090909091,140.65793247745705,4679.833774951684,157.28869921875003,565.1876083747239,0.8710282457944987
1,BlackScholes,1700,4500,584.1613333333333,0.37777777777777777,9509.39083936762,5247.64918608,4.402858962962964,584.1613333333333,132.67773014019375,4996.50687397933,157.29950892857144,563.9725322817877,0.8121239629722935
14,BlackScholes,1900,5000,584.6564,0.38,9507.7795772067,5363.13995714,4.36704132,584.6564,133.87929198709756,4954.791764040922,157.29911361607142,564.1042419510786,0.7728009436988311
4,BlackScholes,1600,4000,589.112,0.4,9523.5883605845,5647.5603648,4.743057,589.112,124.20512762127883,5388.323548180272,157.29889140625,563.3866297085037,0.6863190024391644
9,BlackScholes,1800,4500,589.112,0.4,9532.12439968675,5571.566053200001,4.661850666666667,589.112,126.36869821083928,5300.98781766223,157.29940703125,562.8507263588623,0.710851905670583
18,BlackScholes,2000,5000,589.112,0.4,9524.119704002678,5650.091565999999,4.5968856,589.112,128.15459231789453,5233.233409689873,157.25951729910716,563.2121113132417,0.6856575849699565
13,BlackScholes,1900,4500,594.0626666666667,0.4222222222222222,9543.38714369838,5915.339777880001,4.92084237037037,594.0626666666667,120.72377490562742,5599.6420042641885,157.29869866071428,562.4512073577616,0.6133286509399188
0,BlackScholes,1700,4000,594.6815,0.425,9551.60182354083,6010.13834592,5.039498062500001,594.6815,118.00411323206059,5739.295223201591,157.2994978794643,561.977080326756,0.589248245845283
17,BlackScholes,2000,4500,599.0133333333333,0.4444444444444444,9570.944154276847,6220.981342800001,5.1798340740740745,599.0133333333333,115.64334393093671,5909.002826991396,157.29950401785715,561.0368859311025,0.5384942707397773
8,BlackScholes,1800,4000,600.251,0.45,9569.279326450422,6369.393751559999,5.335939125000001,600.251,112.49210044164434,6085.131087140639,157.29944877232143,561.2182476745922,0.5023846381151585
12,BlackScholes,1900,4000,605.8205,0.475,9586.404197445723,6760.06319924,5.6323801875,605.8205,107.56029952390355,6431.59697062748,157.29906573660716,560.4947599344894,0.41809387204005344
16,BlackScholes,2000,4000,611.39,0.5,9606.815064211145,7132.244262,5.92882125,611.39,103.12167869793679,6781.151929149354,157.2994598214286,559.5714130633065,0.3469554198242271
27,SobolQRNG,1600,5500,564.8087272727273,0.2909090909090909,2215481.7926023323,2198914.05389824,3.3045326280991736,564.8087272727273,170.9193979414921,1660113.5901140927,36127.906650000004,1.1650841902884845,0.00753450944329589
23,SobolQRNG,1700,5500,568.8592727272727,0.3090909090909091,2212186.2855807403,2358937.78170624,3.5110659173553724,568.8592727272727,162.01896692265822,1761215.6617152102,36128.01885,1.1668260270981436,0.06221083797273919
26,SobolQRNG,1600,5000,571.2896,0.32,2219353.8301263237,2481762.3728128,3.6775084800000006,571.2896,155.34691574660891,1850790.5437548757,36127.59865000001,1.1630444685679509,0.10573475750986813
31,SobolQRNG,1800,5500,572.9098181818182,0.32727272727272727,2209464.671956729,2502321.2286105594,3.7175992066115704,572.9098181818182,154.10747268369485,1862506.8244700648,36128.06340000001,1.1682672738316806,0.11703395763318603
22,SobolQRNG,1700,5000,575.7452,0.34,2245614.2050174717,2650441.8074175995,3.90735276,575.7452,147.34917356169294,1989606.2881223157,36128.0656,1.1494574193154459,0.15273966825725663
35,SobolQRNG,1900,5500,576.9603636363636,0.34545454545454546,2220331.81462187,2639682.62088832,3.9241324958677684,576.9603636363636,147.02876731199075,1975883.1883619186,36127.204300000005,1.1625223334490524,0.15886410091427117
25,SobolQRNG,1600,4500,579.2106666666666,0.35555555555555557,2237132.3155603088,2697164.5245439997,4.14386725925926,579.2106666666666,139.77539106071748,2102191.984964652,36127.62395000001,1.1538042902763357,0.1705614191486769
30,SobolQRNG,1800,5000,580.2008,0.36,2219223.7588594565,2722443.1202304005,4.13719704,580.2008,140.24006939732314,2081879.7326238044,36128.046350000004,1.1631317387200415,0.1848410927785909
39,SobolQRNG,2000,5500,581.0109090909091,0.36363636363636365,2229843.487041827,2764656.1832959997,4.130665785123967,581.0109090909091,140.65793247745705,2098820.2946339143,36092.57905,1.1564548312797165,0.19344636757565045
21,SobolQRNG,1700,4500,584.1613333333333,0.37777777777777777,2276781.389551647,2829578.49465984,4.402858962962964,584.1613333333333,132.67773014019375,2240653.316801647,36128.07275,1.1501041607934681,0.19536376394981333
34,SobolQRNG,1900,5000,584.6564,0.38,2244389.6723704035,2859146.98659072,4.36704132,584.6564,133.87929198709756,2208261.6320704035,36128.0403,1.1574850875177254,0.21501423924810525
24,SobolQRNG,1600,4000,589.112,0.4,2439300.6574465646,2977456.75429888,4.743057,589.112,124.20512762127883,2403172.6248465646,36128.0326,1.155187223133968,0.18074354768556108
29,SobolQRNG,1800,4500,589.112,0.4,2405071.353854806,2955013.0815744,4.661850666666667,589.112,126.36869821083928,2368943.2998048062,36128.054050000006,1.1518121598929054,0.18610466774197515
38,SobolQRNG,2000,5000,589.112,0.4,2376977.35092165,2993581.882368,4.5968856,589.112,128.15459231789453,2340849.29852165,36128.05240000001,1.1493923116872415,0.2059755021494853
33,SobolQRNG,1900,4500,594.0626666666667,0.4222222222222222,2537440.9443533258,3103824.8479347196,4.92084237037037,594.0626666666667,120.72377490562742,2501313.2835533256,36127.660800000005,1.15151149794364,0.18247933802007701
20,SobolQRNG,1700,4000,594.6815,0.425,2589272.5881128097,3151785.3014681595,5.039498062500001,594.6815,118.00411323206059,2553144.5681628096,36128.01995000001,1.155291256134689,0.17847431203303127
37,SobolQRNG,2000,4500,599.0133333333333,0.4444444444444444,2668688.8405068135,3270817.6693247994,5.1798340740740745,599.0133333333333,115.64334393093671,2632560.8035068135,36128.037000000004,1.1516386362122064,0.18409122418073656
28,SobolQRNG,1800,4000,600.251,0.45,2751984.3234208548,3340607.7912883195,5.335939125000001,600.251,112.49210044164434,2715856.271020855,36128.05240000001,1.1499584027846879,0.1762025070415284
32,SobolQRNG,1900,4000,605.8205,0.475,2902938.167901595,3529603.4070528005,5.6323801875,605.8205,107.56029952390355,2866810.084701595,36128.0832,1.1499252272620224,0.17754551060864582
36,SobolQRNG,2000,4000,611.39,0.5,3063106.6046931706,3720506.7992064,5.92882125,611.39,103.12167869793679,3026978.5572431707,36128.04745,1.1464029580351218,0.17669640992282434
47,backpropBackward,1600,5500,564.8087272727273,0.2909090909090909,6884.973273828126,12203.442182968753,3.3045326280991736,564.8087272727273,170.9193979414921,6858.0245368709,26.94873695722657,151.13112942624926,0.4358171104021073
43,backpropBackward,1700,5500,568.8592727272727,0.3090909090909091,7314.0728120583,12279.723301015621,3.5110659173553724,568.8592727272727,162.01896692265822,7287.123915646727,26.94889641157227,151.12066896869885,0.40437804396998317
46,backpropBackward,1600,5000,571.2896,0.32,7660.5085491577875,12207.488855624999,3.6775084800000006,571.2896,155.34691574660891,7633.561159170165,26.947389987622074,151.10724423475693,0.37247466372840815
51,backpropBackward,1800,5500,572.9098181818182,0.32727272727272727,7742.9106541832825,12188.739354257814,3.7175992066115704,572.9098181818182,154.10747268369485,7715.962026326398,26.94862785688477,151.11817116317013,0.36474885308967564
42,backpropBackward,1700,5000,575.7452,0.34,8136.9763331684535,12212.858363124999,3.90735276,575.7452,147.34917356169294,8110.027445149215,26.948888019238286,151.11286360057093,0.33373694419179506
55,backpropBackward,1900,5500,576.9603636363636,0.34545454545454546,8171.099955615087,12264.384462688477,3.9241324958677684,576.9603636363636,147.02876731199075,8144.151117949853,26.94883766523438,151.12613320617487,0.3337537664059905
45,backpropBackward,1600,4500,579.2106666666666,0.35555555555555557,8628.745694853658,12212.8209546875,4.14386725925926,579.2106666666666,139.77539106071748,8601.799034999092,26.946659854565436,151.10677597313722,0.29346825546134037
50,backpropBackward,1800,5000,580.2008,0.36,8614.67350198195,12164.944675078126,4.13719704,580.2008,140.24006939732314,8587.72494965607,26.94855232587891,151.10302998465505,0.29184441589524746
59,backpropBackward,2000,5500,581.0109090909091,0.36363636363636365,8618.166038258085,12485.504684296875,4.130665785123967,581.0109090909091,140.65793247745705,8591.284838608597,26.88119964948731,151.07759339295194,0.3097462812939212
41,backpropBackward,1700,4500,584.1613333333333,0.37777777777777777,9166.464369904766,12182.604477148438,4.402858962962964,584.1613333333333,132.67773014019375,9139.515846952056,26.948522952709965,151.09741135016014,0.2475776105923168
54,backpropBackward,1900,5000,584.6564,0.38,9091.836718474815,12326.356400408205,4.36704132,584.6564,133.87929198709756,9064.890352351938,26.946366122875983,151.11083433692667,0.2624067953954564
44,backpropBackward,1600,4000,589.112,0.4,9873.407315688863,12106.530869999999,4.743057,589.112,124.20512762127883,9846.458687831977,26.94862785688477,151.08539511781711,0.1844561070624137
49,backpropBackward,1800,4500,589.112,0.4,9704.239527631162,12164.519858203123,4.661850666666667,589.112,126.36869821083928,9677.290648004257,26.9488796269043,151.0935097664838,0.20225050879528755
58,backpropBackward,2000,5000,589.112,0.4,9587.377015321697,12307.557727089847,4.5968856,589.112,128.15459231789453,9560.500846876434,26.876168445263676,151.10552728967298,0.2210170995810834
53,backpropBackward,1900,4500,594.0626666666667,0.4222222222222222,10241.086430579224,12328.645110386717,4.92084237037037,594.0626666666667,120.72377490562742,10214.13888952959,26.947541049633795,151.11052214735727,0.16932587977966476
40,backpropBackward,1700,4000,594.6815,0.425,10489.29057529149,12285.462334003907,5.039498062500001,594.6815,118.00411323206059,10462.341771195592,26.948804095898442,151.0777494195531,0.14620302515933345
57,backpropBackward,2000,4500,599.0133333333333,0.4444444444444444,10779.295576730226,12301.357029199218,5.1798340740740745,599.0133333333333,115.64334393093671,10752.348497258961,26.947079471264654,151.1036543031709,0.1237311825724705
48,backpropBackward,1800,4000,600.251,0.45,11105.153668238265,12162.716960624999,5.335939125000001,600.251,112.49210044164434,11078.20477602286,26.94889221540528,151.07150860687136,0.08695123760673205
