,appName,coreF,memF,cold_miss,c_to_m,modelled_cycle,real_cycle,g_load,g_store,sync,compute,shared,exec_rounds,abe
7,BlackScholes,1600,5500,,0.2909090909090909,3576.2648621555027,4007.72198848,601.1600614195986,587.9405036146494,181.99906433961678,39.3248732421875,0.0,570.6583457071084,0.10765645111230265
3,BlackScholes,1700,5500,,0.3090909090909091,3606.4742478715293,4263.7695036,607.482471211915,593.4368321137691,193.94903419252367,39.324876925223215,0.0,568.9965177413114,0.15415825249781925
6,BlackScholes,1600,5000,,0.32,3627.5498712652407,4476.787960320001,611.7439909906185,597.0333783555564,203.48778266431495,39.3247744140625,0.0,568.0501338326114,0.18969808187968246
11,BlackScholes,1800,5500,,0.32727272727272727,3636.9588252123904,4530.66044544,613.8052433595112,598.9342324653388,205.98497476628313,39.32477410714286,0.0,567.2947754420361,0.19725636714335962
2,BlackScholes,1700,5000,,0.34,3660.6942948182304,4770.38841032,618.7278247139106,603.096726011502,216.87220716758017,39.3248732421875,0.0,566.3354359480286,0.2326213339570248
15,BlackScholes,1900,5500,,0.34545454545454546,3665.071363585925,4792.53594106,620.1278313328908,604.429348042396,217.86833845953797,39.32485513392858,0.0,566.1699846114998,0.2352542769297846
5,BlackScholes,1600,4500,,0.35555555555555557,3689.439795360207,4929.77891712,624.795093458074,608.2184635832222,230.42209266771442,39.324826590401784,0.0,565.3154120810165,0.2516013684614492
10,BlackScholes,1800,5000,,0.36,3692.8963878107115,5060.9771784,625.7119898644459,609.1625090933343,230.23865600939524,39.32477717633929,0.0,564.8632466079962,0.2703194941143362
19,BlackScholes,2000,5500,,0.36363636363636365,3692.5144918249857,5070.1748544,626.4906089325148,609.9256295183117,229.74088972203376,39.322174804687506,0.0,565.1876083747239,0.27171851112382306
1,BlackScholes,1700,4500,,0.37777777777777777,3724.3003784725192,5247.64918608,632.5946295542408,614.9814640077963,245.41690840191058,39.32487723214286,0.0,563.9725322817877,0.290291662721727
14,BlackScholes,1900,5000,,0.38,3722.0664228511046,5363.13995714,632.6959503099191,615.227112427573,243.36256581193732,39.324778404017856,0.0,564.1042419510786,0.3059911819202328
4,BlackScholes,1600,4000,,0.4,3761.882441301778,5647.5603648,641.2878238400167,622.315982272116,264.65954504352004,39.3247228515625,0.0,563.3866297085037,0.33389247775928826
9,BlackScholes,1800,4500,,0.4,3758.2733214501895,5571.566053200001,640.3947611000833,621.7450639287916,260.38039649962667,39.3248517578125,0.0,562.8507263588623,0.3254547670144476
18,BlackScholes,2000,5000,,0.4,3751.4732231375215,5650.091565999999,639.846851581191,621.2902658958848,256.584179659776,39.31487932477679,0.0,563.2121113132417,0.3360331988755026
13,BlackScholes,1900,4500,,0.4222222222222222,3789.082134171422,5915.339777880001,648.1946238264121,628.5116937058565,275.0446973812243,39.32467466517857,0.0,562.4512073577616,0.3594480999484714
0,BlackScholes,1700,4000,,0.425,3801.225060066802,6010.13834592,650.1182059656616,629.9580595552175,281.91871366071604,39.324874469866074,0.0,561.977080326756,0.3675311879222755
17,BlackScholes,2000,4500,,0.4444444444444444,3824.512367393803,6220.981342800001,655.9936991717129,635.2723163784722,290.26364660773925,39.324876004464286,0.0,561.0368859311025,0.38522362362970397
8,BlackScholes,1800,4000,,0.45,3837.721651818033,6369.393751559999,658.9489030599352,637.6026751149165,298.91299203057605,39.32486219308036,0.0,561.2182476745922,0.3974745789773016
12,BlackScholes,1900,4000,,0.475,3874.1083640353145,6760.06319924,667.7796302615044,645.2489968649719,315.93381254740797,39.32476643415179,0.0,560.4947599344894,0.4269124045362681
16,BlackScholes,2000,4000,,0.5,3911.478410364467,7132.244262,676.6097798000209,652.8919141747,333.12045033696,39.32486495535715,0.0,559.5714130633065,0.45157817558149316
27,SobolQRNG,1600,5500,,0.2909090909090909,695490.8588539438,2198914.05389824,568.8584320084628,27632.55932823061,199.28859053991988,9031.976662500001,113360.9065344,1.1650841902884845,0.6837116677566475
23,SobolQRNG,1700,5500,,0.3090909090909091,696208.6090916296,2358937.78170624,573.1252178168595,29328.02302371359,211.42279469590855,9032.0047125,113191.6814784,1.1668260270981436,0.7048635133614859
26,SobolQRNG,1600,5000,,0.32,699748.4768591494,2481762.3728128,575.7301914896,30695.217853038088,222.1772926406247,9031.899662500002,113559.71639040002,1.1630444685679509,0.7180437238775351
