,appName,coreF,memF,cold_miss,c_to_m,modelled_cycle,real_cycle,mem_del,mem_lat,shm_del,shm_offset,shm_lat,compute_del,compute_offset,compute_lat,sm_del,sm_lat,tex_del,insts,exec_rounds,abe
55,BlackScholes,400,1000,366.432,0.4,4413.020426039127,4379.717466875001,4046.588426039127,1859.6072449135133,28.0,0.0,0.0,2407.307164742383,28.408867988926392,571.5281982421875,2435.307164742383,571.5281982421875,0.0,142.88204956054688,146.10988147977346,0.007603905826347367
54,BlackScholes,400,900,376.3333333333333,0.4444444444444444,4933.459757078989,4776.8572578125,4557.126423745656,1912.210203654235,28.0,0.0,0.0,2414.664048147461,28.40355935468117,571.5150146484375,2442.664048147461,571.5150146484375,0.0,142.87875366210938,145.6606221301728,0.032783583602036065
53,BlackScholes,400,800,388.71,0.5,5606.618746233338,5385.673937812501,5217.908746233338,1974.67473918761,28.0,0.0,0.0,2430.2793446108885,28.465145504228385,571.6676940917969,2458.2793446108885,571.6676940917969,0.0,142.91692352294922,144.76182721092587,0.0410245423269308
62,BlackScholes,500,1000,388.71,0.5,5490.3599642186855,5256.55606875,5101.649964218685,1979.9637805451011,28.0,0.0,0.0,2422.363378424219,28.34771536232652,571.3760681152344,2450.363378424219,571.3760681152344,0.0,142.8440170288086,145.16158298706247,0.04447853164900865
61,BlackScholes,500,900,401.08666666666664,0.5555555555555556,6111.1123578881625,5831.250609374999,5710.025691221495,2030.171613469159,28.0,0.0,0.0,2435.6614733816405,28.596207487761014,571.9906921386719,2463.6614733816405,571.9906921386719,0.0,142.99767303466797,144.52302884137697,0.047993435244101004
52,BlackScholes,400,700,404.62285714285713,0.5714285714285714,6508.181727536736,6272.691885,6103.558870393878,2066.959972260798,28.0,0.0,0.0,2440.673741298437,28.25878615474745,571.15380859375,2468.673741298437,571.15380859375,0.0,142.7884521484375,144.01472550568295,0.03754207074954002
69,BlackScholes,600,1000,410.988,0.6,6525.367442199222,6237.479990624999,6114.379442199222,2081.2697013249776,28.0,0.0,0.0,2439.2777765532223,28.595983694941154,571.9901428222656,2467.2777765532223,571.9901428222656,0.0,142.9975357055664,144.30827856007397,0.04615444891317018
60,BlackScholes,500,800,416.5575,0.625,6989.991090592593,6742.196136328125,6573.433590592593,2123.186537320748,28.0,0.0,0.0,2445.66657491626,28.41475621685611,571.5428161621094,2473.66657491626,571.5428161621094,0.0,142.88570404052734,143.81812400493027,0.036752854597229094
51,BlackScholes,400,600,425.84000000000003,0.6666666666666666,7731.217438038501,7528.779764999999,7305.377438038501,2178.5368515841164,28.0,0.0,0.0,2455.006217907812,28.24296388411405,571.1141357421875,2483.006217907812,571.1141357421875,0.0,142.77853393554688,143.16264170864613,0.02688851040371773
68,BlackScholes,600,900,425.84000000000003,0.6666666666666666,7319.845451874341,7014.447496875001,6894.005451874341,2158.7201938686653,28.0,0.0,0.0,2450.981810444336,28.595697741920965,571.9894409179688,2478.981810444336,571.9894409179688,0.0,142.9973602294922,143.61786875570823,0.043538419117884565
76,BlackScholes,700,1000,433.26599999999996,0.7,7604.816580124566,7289.276295000001,7171.550580124566,2196.9489248382297,28.0,0.0,0.0,2452.51616963125,28.596965919615027,571.9925537109375,2480.51616963125,571.9925537109375,0.0,142.99813842773438,143.52865190713695,0.04328828711582887
59,BlackScholes,500,700,436.4485714285714,0.7142857142857143,8118.351676025341,7863.022661328126,7681.9031045967695,2231.772975557639,28.0,0.0,0.0,2457.037471770215,28.363040088100053,571.4142456054688,2485.037471770215,571.4142456054688,0.0,142.8535614013672,143.11926195185603,0.032472119907904204
67,BlackScholes,600,800,444.405,0.75,8321.29584977768,8017.1384718750005,7876.890849777679,2255.3165399018167,28.0,0.0,0.0,2459.5765817880856,28.596854017613808,571.9922790527344,2487.5765817880856,571.9922790527344,0.0,142.9980697631836,143.11590151837026,0.037938396470223984
75,BlackScholes,700,900,450.59333333333336,0.7777777777777778,8528.29316056115,8204.90009828125,8077.699827227816,2287.06614604629,28.0,0.0,0.0,2462.2100752726565,28.596120456854806,571.990478515625,2490.2100752726565,571.990478515625,0.0,142.99761962890625,142.962130671855,0.039414625212517054
50,BlackScholes,400,500,455.544,0.8,9638.149578828403,9302.629883750002,9182.605578828403,2335.852013439911,28.0,0.0,0.0,2496.549782058789,28.33501089513391,571.3443908691406,2524.549782058789,571.3443908691406,0.0,142.83609771728516,140.83329299046295,0.036067187372948464
83,BlackScholes,800,1000,455.544,0.8,8682.017815310643,8347.524982500001,8226.473815310643,2312.310002769287,28.0,0.0,0.0,2462.417565820117,28.596269652978556,571.9908447265625,2490.417565820117,571.9908447265625,0.0,142.99771118164062,142.9501561842136,0.040070899279952124
58,BlackScholes,500,600,462.97,0.8333333333333334,9573.256533061896,9274.91696328125,9110.286533061897,2352.7912326984933,28.0,0.0,0.0,2470.8839393782714,28.59618262174039,571.9906311035156,2498.8839393782714,571.9906311035156,0.0,142.9976577758789,142.45949642793943,0.03216627932754028
66,BlackScholes,600,700,468.2742857142857,0.8571428571428571,9751.420265349805,9450.699253593752,9283.14597963552,2404.9695168862945,28.0,0.0,0.0,2468.4277493804684,28.243207186105895,571.11474609375,2496.4277493804684,571.11474609375,0.0,142.7786865234375,142.38311514233305,0.0318199747644811
74,BlackScholes,700,800,472.2525,0.875,9700.8487866019,9366.064624765626,9228.5962866019,2399.622889525676,28.0,0.0,0.0,2470.9113949285647,28.59618262174039,571.9906311035156,2498.9113949285647,571.9906311035156,0.0,142.9976577758789,142.45791092151347,0.035744378802495404
82,BlackScholes,800,900,475.3466666666667,0.8888888888888888,9736.459549882618,9392.869125625,9261.112883215952,2415.3158869127815,28.0,0.0,0.0,2470.781714059814,28.596381550967664,571.9911193847656,2498.781714059814,571.9911193847656,0.0,142.9977798461914,142.465521674237,0.03657992245630864
90,BlackScholes,900,1000,477.822,0.9,9762.250637226725,9413.60160375,9284.428637226725,2428.0348264341255,28.0,0.0,0.0,2470.336723877148,28.597139990921818,571.9929809570312,2498.336723877148,571.9929809570312,0.0,142.9982452392578,142.49168984011988,0.03703673133329099
49,BlackScholes,400,400,500.1,1.0,12492.29279862928,12001.764937499998,11992.19279862928,2573.036504381895,28.0,0.0,0.0,2504.5160878610836,28.32642451179725,571.3229675292969,2532.5160878610836,571.3229675292969,0.0,142.83074188232422,140.37935326793266,0.04087131048506103
57,BlackScholes,500,500,500.1,1.0,12016.931641896987,11685.377578125,11516.831641896986,2576.173453959923,28.0,0.0,0.0,2499.7283628686523,28.224702391052688,571.0682983398438,2527.7283628686523,571.0682983398438,0.0,142.76707458496094,140.585957879129,0.028373414684747064
65,BlackScholes,600,600,500.1,1.0,11577.422470408932,11337.586164843751,11077.322470408932,2567.258180300395,28.0,0.0,0.0,2480.0306424135742,28.331842453527603,571.3364868164062,2508.0306424135742,571.3364868164062,0.0,142.83412170410156,141.77091813283272,0.02115408889317897
73,BlackScholes,700,700,500.1,1.0,11258.3035869901,10922.658296484375,10758.2035869901,2544.7930982299263,28.0,0.0,0.0,2482.0494110825193,28.596891318195514,571.9923706054688,2510.0494110825193,571.9923706054688,0.0,142.9980926513672,141.81804080592534,0.03072926767412998
81,BlackScholes,800,800,500.1,1.0,11075.939031015383,10729.336227499998,10575.839031015383,2544.269468581963,28.0,0.0,0.0,2477.900918079297,28.596120456854806,571.990478515625,2505.900918079297,571.990478515625,0.0,142.99761962890625,142.05538606325683,0.03230421679087836
89,BlackScholes,900,900,500.1,1.0,10951.222138068573,10589.242594218751,10451.122138068573,2543.840838655896,28.0,0.0,0.0,2478.6438291809573,28.59653074948154,571.9914855957031,2506.6438291809573,571.9914855957031,0.0,142.99787139892578,142.01298975065623,0.03418370489004065
97,BlackScholes,1000,1000,500.1,1.0,10839.527188619875,10478.4631875,10339.427188619875,2543.6731789954183,28.0,0.0,0.0,2476.1229510419917,28.597264328707766,571.9932861328125,2504.1229510419917,571.9932861328125,0.0,142.99832153320312,142.15825100926807,0.03445772482653728
96,BlackScholes,1000,900,524.8533333333334,1.1111111111111112,12158.091779258866,11772.518875000002,11633.238445925534,2672.1414405037676,28.0,0.0,0.0,2483.6062795562502,28.59587179968357,571.9898681640625,2511.6062795562502,571.9898681640625,0.0,142.99746704101562,141.72837756439782,0.032751946151274657
