,appName,coreF,memF,cold_miss,c_to_m,modelled_cycle,real_cycle,c1,c2,c3,depart_delay,mem_l,N,compute_cycles,compute_cycles_per_period,mem_cycles,MWP_without_BW,MWP_peak_BW,MWP,CWP_without_OCC,CWP,shm_insts,exec_rounds,abe
6,BlackScholes,400,1000,366.432,0.4,9979.383943711464,4379.717466875001,1104.9618070374345,900.9774574777009,9979.383943711464,3.5875250806689674,366.15528474193184,56.067392000000005,171.45845947265624,8.522660396677917,72.17365177319336,102.06347733007478,22.88470529637074,102.06347733007478,1.420939579156218,1.420939579156218,0.0,146.10988147977346,1.2785451388561633
5,BlackScholes,400,900,376.3333333333333,0.4444444444444444,10018.76809102862,4776.8572578125,1039.7973076273609,836.1068284762134,10018.76809102862,4.0270629257667485,376.1118984387757,56.24032,171.45450439453126,8.521067806404352,81.02952514753929,93.39608180251228,23.506993652423482,93.39608180251228,1.4726007370508245,1.4726007370508245,0.0,145.6606221301728,1.0973555520510956
4,BlackScholes,400,800,388.71,0.5,10093.827378443553,5385.673937812501,978.1532945554493,776.0779568625793,10093.827378443553,4.59124375,388.71,56.589504000000005,171.50030822753905,8.539543651268515,92.20629935603142,84.6633333287957,24.294375,84.6633333287957,1.5376450941049982,1.5376450941049982,0.0,144.76182721092587,0.8741994957354143
13,BlackScholes,500,1000,388.71,0.5,10061.898293170621,5256.55606875,989.8558519672181,786.946882479503,10061.898293170621,4.485061747362205,388.44477947374696,56.433664,171.4128204345703,8.504314608697955,90.40082820457458,86.60856892376178,24.277798717109185,86.60856892376178,1.5273866212304776,1.5273866212304776,0.0,145.16158298706247,0.9141616985668952
12,BlackScholes,500,900,401.08666666666664,0.5555555555555556,10127.597514893247,5831.250609374999,946.7486569200039,746.1370671147989,10127.597514893247,5.036219511248623,400.9516213666851,56.683007999999994,171.59720764160156,8.578862246328304,100.73610933317964,79.61361105709186,25.05947633541782,79.61361105709186,1.5870498169386147,1.5870498169386147,0.0,144.52302884137697,0.7367796710041821
3,BlackScholes,400,700,404.62285714285713,0.5714285714285714,10150.455985352315,6272.691885,914.9293992950091,716.5357937702788,10150.455985352315,5.308850810987002,403.76102015856617,56.883072,171.34614257812498,8.477635846424235,107.30009220307016,76.05431656187386,25.235063759910386,76.05431656187386,1.6262183121755829,1.6262183121755829,0.0,144.01472550568295,0.6181977644438875
20,BlackScholes,600,1000,410.988,0.6,10151.929852232266,6237.479990624999,925.2227133358706,726.0604908218503,10151.929852232266,5.384807531523635,410.818746019377,56.76736,171.59704284667967,8.578795108482344,107.7094203816986,76.29218753212068,25.67617162621106,76.29218753212068,1.627688091792677,1.627688091792677,0.0,144.30827856007397,0.6275691252702579
11,BlackScholes,500,800,416.5575,0.625,10183.153693401662,6742.196136328125,897.1491292921287,700.836316274191,10183.153693401662,5.737347030811966,416.4873937366225,56.960831999999996,171.4628448486328,8.524426865056833,115.40269619995357,72.59233082815281,26.030462108538906,72.59233082815281,1.6730478332015948,1.6730478332015948,0.0,143.81812400493027,0.5103615331706325
2,BlackScholes,400,600,425.84000000000003,0.6666666666666666,10228.652814590754,7528.779764999999,860.3922684424318,670.0084377729245,10228.652814590754,6.313494116259216,424.62794295950755,57.22163199999999,171.33424072265623,8.472889165234214,127.6681070200602,67.2572010269176,26.539246434969222,67.2572010269176,1.7451406472026822,1.7451406472026822,0.0,143.16264170864613,0.35860698995898377
19,BlackScholes,600,900,425.84000000000003,0.6666666666666666,10213.572948207999,7014.447496875001,888.2007843368691,693.6065776956025,10213.572948207999,6.042307771501876,425.64570643065457,57.04025600000001,171.59683227539062,8.57870932257629,120.86210573589186,70.4442280213171,26.60285665191591,70.4442280213171,1.7043376275263864,1.7043376275263864,0.0,143.61786875570823,0.45607661227177715
27,BlackScholes,700,1000,433.26599999999996,0.7,10227.132602849975,7289.276295000001,880.1019551454001,686.8819574079866,10227.132602849975,6.2819042224715105,433.0679243249758,57.075712,171.59776611328124,8.579089775884507,125.64977866810608,68.93895688122932,27.06674527031099,68.93895688122932,1.7322343496310881,1.7322343496310881,0.0,143.52865190713695,0.403038132861717
10,BlackScholes,500,700,436.4485714285714,0.7142857142857143,10248.59845850943,7863.022661328126,854.601806189175,666.2204031047993,10248.59845850943,6.661602040816327,436.4485714285714,57.238976,171.4242736816406,8.508912026430016,134.20755648383314,65.51705862259645,27.278035714285714,65.51705862259645,1.7828970402002446,1.7828970402002446,0.0,143.11926195185603,0.3033916980697551
18,BlackScholes,600,800,444.405,0.75,10266.447412973605,8017.1384718750005,854.4634867466588,667.270349190174,10266.447412973605,6.879880047756831,444.1410858212613,57.24032,171.5976837158203,8.579056205284141,137.61088075289726,64.55651591862745,27.75881786382883,64.55651591862745,1.8019390342167558,1.8019390342167558,0.0,143.11590151837026,0.2805625659316508
26,BlackScholes,700,900,450.59333333333336,0.7777777777777778,10283.152792022898,8204.90009828125,852.1431207586957,665.9971009206103,10283.152792022898,7.047532661994963,450.31249093227234,57.301888,171.5971435546875,8.578836137056442,140.96742898293013,63.89647448683143,28.14453068326702,63.89647448683143,1.8215021885722955,1.8215021885722955,0.0,142.962130671855,0.25329408875764337
1,BlackScholes,400,500,455.544,0.8,10425.743128235155,9302.629883750002,815.3822480266417,643.9284188181421,10425.743128235155,7.829008000000001,455.544,58.168064,171.40331726074217,8.500503268540172,157.86335228259279,58.18668214414903,28.4715,58.18668214414903,1.9210052337694719,1.9210052337694719,0.0,140.83329299046295,0.1207307243779555
34,BlackScholes,800,1000,455.544,0.8,10288.903909356739,8347.524982500001,850.7422002055484,665.2836991900973,10288.903909356739,7.176764846210532,455.23364607626996,57.306688,171.59725341796874,8.578880895893567,143.55172323535157,63.4315956885005,28.452102879766873,63.4315956885005,1.8365618934802812,1.8365618934802812,0.0,142.9501561842136,0.23256940601276455
9,BlackScholes,500,600,462.97,0.8333333333333334,10330.120002865517,9274.91696328125,822.4812628118627,648.4444581603591,10330.120002865517,7.920500837429309,462.5842453524311,57.504064,171.5971893310547,8.578854786522117,158.42856833669873,58.40340842670351,28.911515334526943,58.40340842670351,1.9232585274520413,1.9232585274520413,0.0,142.45949642793943,0.11376954033785337
17,BlackScholes,600,700,468.2742857142857,0.8571428571428571,10325.463641672168,9450.699253593752,820.9129367914743,646.5860125330927,10325.463641672168,7.979108394665538,467.7526441502935,57.534912,171.33442382812498,8.472962155831768,161.34805211200322,58.62216942221405,29.234540259393345,58.62216942221405,1.9417141547332037,1.9417141547332037,0.0,142.38311514233305,0.09256081106863873
25,BlackScholes,700,800,472.2525,0.875,10339.492310821417,9366.064624765626,828.0230645233272,652.864502934939,10339.492310821417,8.023270271173189,471.8467311071587,57.504704000000004,171.5971893310547,8.578854786522117,160.48419772062297,58.809776457669265,29.490420694197418,58.809776457669265,1.9352379158787274,1.9352379158787274,0.0,142.45791092151347,0.10393134417222216
33,BlackScholes,800,900,475.3466666666667,0.8888888888888888,10342.085926512547,9392.869125625,830.1153692355074,654.464161933675,10342.085926512547,8.052019238839426,474.9590702732915,57.501631999999994,171.5973358154297,8.578914465290298,161.0582614979685,58.98633078051978,29.68494189208072,58.98633078051978,1.9385825294584,1.9385825294584,0.0,142.465521674237,0.10105717307376899
41,BlackScholes,900,1000,477.822,0.9,10342.838587929835,9413.60160375,831.8800648984231,655.7802357114713,10342.838587929835,8.073961563238317,477.49169242124293,57.491071999999996,171.59789428710937,8.579141997276546,161.49339913555144,59.13970343818801,29.843230776327683,59.13970343818801,1.941115273042619,1.941115273042619,0.0,142.49168984011988,0.09871216387675306
0,BlackScholes,400,400,500.1,1.0,10502.164351444335,12001.764937499998,785.506397752981,652.932118451211,10502.164351444335,10.188775,500.1,58.356159999999996,171.39689025878906,8.497927353539174,205.50003287792205,49.08342759556473,31.25625,49.08342759556473,2.198971769952426,2.198971769952426,0.0,140.37935326793266,0.12494833833731411
8,BlackScholes,500,500,500.1,1.0,10482.450219198226,11685.377578125,793.5015480242373,649.7486203286289,10482.450219198226,9.768465303053956,499.5367677236168,58.2704,171.32048950195312,8.467410717315806,197.64462989608765,51.13769176898694,31.22104798272605,51.13769176898694,2.1536543613123076,2.1536543613123076,0.0,140.585957879129,0.10294296019827817
16,BlackScholes,600,600,500.1,1.0,10403.845692768786,11337.586164843751,801.4031771918194,649.0248801912778,10403.845692768786,9.506373315698022,499.7231231144886,57.783359999999995,171.40094604492188,8.499552736058282,191.7043673197428,52.56716799552654,31.232695194655538,52.56716799552654,2.118455713012807,2.118455713012807,0.0,141.77091813283272,0.08235796037170262
24,BlackScholes,700,700,500.1,1.0,10411.798235628057,10922.658296484375,809.5751092745968,652.2395136483814,10411.798235628057,9.31129068836187,499.6005912979796,57.76416,171.59771118164062,8.579067395458654,186.24357364480156,53.65535327153168,31.225036956123724,53.65535327153168,2.0853499872597827,2.0853499872597827,0.0,141.81804080592534,0.04677067129535176
32,BlackScholes,800,800,500.1,1.0,10395.230157507243,10729.336227499998,813.9018719784128,652.9871079305282,10395.230157507243,9.168555356837718,499.62648519005614,57.667648,171.5971435546875,8.578836137056442,183.39293170089724,54.49347969715263,31.22665532437851,54.49347969715263,2.068741168424231,2.068741168424231,0.0,142.05538606325683,0.031139491102573413
40,BlackScholes,900,900,500.1,1.0,10398.233088208874,10589.242594218751,817.4357028872819,654.1210410479281,10398.233088208874,9.05784396314869,499.65777148504475,57.684864000000005,171.59744567871093,8.578959224844462,181.17615979936386,55.16299171390822,31.228610717815297,55.16299171390822,2.0558208432693545,2.0558208432693545,0.0,142.01298975065623,0.018038070646729732
48,BlackScholes,1000,1000,500.1,1.0,10388.214697487467,10478.4631875,820.3703950429699,654.9498153145171,10388.214697487467,8.970407363712305,499.72289331949986,57.625919999999994,171.59798583984374,8.57917929861233,179.4232038051605,55.707937561566325,31.23268083246874,55.707937561566325,2.0456020385496845,2.0456020385496845,0.0,142.15825100926807,0.00861276013453884
47,BlackScholes,1000,900,524.8533333333334,1.1111111111111112,10442.725597971777,11772.518875000002,811.2981034400406,661.6923609027981,10442.725597971777,10.061958161187487,524.3004797467768,57.800704,171.59696044921876,8.578761539905072,201.26464975107453,52.107201336732665,32.76877998417355,52.107201336732665,2.1728916947257666,2.1728916947257666,0.0,141.72837756439782,0.11295741303521367
39,BlackScholes,900,800,527.9475,1.125,10448.261529644265,12079.85175421875,807.9869162848712,663.3096780330548,10448.261529644265,10.311134700902125,527.3191066702418,57.815488,171.59662170410155,8.578623538175359,206.25172240476607,51.14074463832836,32.95744416689011,51.14074463832836,2.2019567772168807,2.2019567772168807,0.0,141.69213619713804,0.13506707348495975
31,BlackScholes,800,700,531.9257142857143,1.1428571428571428,10470.3714714342,12496.077457500001,804.227395399485,666.6376447867542,10470.3714714342,10.638073296184858,531.2682284732633,57.921344,171.5965576171875,8.578597430178167,212.79198285759125,49.94026772346009,33.20426427957896,49.94026772346009,2.240071396608702,2.240071396608702,0.0,141.4331822134514,0.16210734872245816
