,appName,coreF,memF,cold_miss,c_to_m,modelled_cycle,real_cycle,mem_del,mem_lat,shm_del,shm_offset,shm_lat,compute_del,compute_offset,compute_lat,sm_del,sm_lat,tex_del,insts,exec_rounds,abe
19,BlackScholes,700,3900,317.30615384615385,0.1794871794871795,2672.136904188564,2978.4670932500003,1635.7585696011379,1599.4172577026898,28.0,0.0,0.0,2326.8307503424103,28.381914491895053,571.4612165178571,2354.8307503424103,571.4612165178571,650.355456,142.86530412946428,16.532497576217764,0.10284827042597246
18,BlackScholes,700,3600,320.6383333333333,0.19444444444444445,2671.617010608333,2975.2096764,1770.5985221870308,1615.54708100295,28.0,0.0,0.0,2322.978677275,28.444746816989017,571.6171875,2350.978677275,571.6171875,649.099776,142.904296875,16.564479603209723,0.10204076310985025
17,BlackScholes,700,3100,327.6251612903226,0.22580645161290322,2678.349804380501,2959.8238619999997,2066.607562261529,1653.7311548980263,28.0,0.0,0.0,2322.7246430901787,28.41976456224811,571.5552455357143,2350.7246430901787,571.5552455357143,649.0990079999999,142.88881138392858,16.56449920194609,0.09509824595754901
24,BlackScholes,900,3900,328.7307692307692,0.23076923076923078,2666.404451723626,2972.7460060714284,2074.9299117643145,1651.7010451644985,28.0,0.0,0.0,2309.673682492857,28.532828423456035,571.8348214285714,2337.673682492857,571.8348214285714,645.1299839999999,142.95870535714286,16.666408734150544,0.10305002638037067
23,BlackScholes,900,3600,333.015,0.25,2669.0551396785713,2975.8995,2257.108118779472,1678.483597719586,28.0,0.0,0.0,2308.0401396785714,28.438553932541375,571.6018415178571,2336.0401396785714,571.6018415178571,644.93568,142.90046037946428,16.671429932361626,0.10310978590554845
16,BlackScholes,700,2600,337.29923076923075,0.2692307692307692,2802.3421769622337,3037.0947894,2465.042946193003,1699.0010686613389,28.0,0.0,0.0,2319.0988046446428,28.509406334885696,571.7770647321429,2347.0988046446428,571.7770647321429,647.832576,142.94426618303572,16.59688073481504,0.07729512205450244
4,BlackScholes,1100,3900,340.1553846153846,0.28205128205128205,2865.595005647426,3089.3463784857145,2525.4396210320415,1710.950953093154,28.0,0.0,0.0,2301.123837416071,28.533960779945843,571.8376116071429,2329.123837416071,571.8376116071429,642.734592,142.95940290178572,16.728522369619093,0.07242676780968894
22,BlackScholes,900,3100,341.99806451612903,0.2903225806451613,2975.0932324053574,3131.815614685714,2633.0951678892284,1720.2569204874776,28.0,0.0,0.0,2317.0108586767856,28.533960779945843,571.8376116071429,2345.0108586767856,571.8376116071429,647.179776,142.95940290178572,16.613621745806842,0.050042020847413195
3,BlackScholes,1100,3600,345.39166666666665,0.3055555555555556,3095.192753135517,3237.2725108428567,2749.80108646885,1736.2490728161524,28.0,0.0,0.0,2312.7809287026785,28.528979000925716,571.8253348214286,2340.7809287026785,571.8253348214286,646.0101119999999,142.95633370535714,16.643702320250988,0.043888723371746055
9,BlackScholes,1300,3900,351.58,0.3333333333333333,3351.9165607228633,3412.1425000000004,3000.3365607228634,1776.5872505795578,28.0,0.0,0.0,2307.4605348035716,28.339116986641667,571.3546316964286,2335.4605348035716,571.3546316964286,645.0524160000001,142.83865792410714,16.66841288134947,0.017650475991884
