,appName,coreF,memF,cold_miss,c_to_m,modelled_cycle,real_cycle,depart_delay,mem_l,g_load,g_store,sync,compute,shared,exec_rounds,abe
55,BlackScholes,400,1000,,0.4,3398.1719857651315,4379.717466875001,3.5875250806689674,366.15528474193184,406.0400612220468,391.26910987367233,197.55564992702966,42.86461486816406,0.0,146.10988147977346,0.22411159818722695
54,BlackScholes,400,900,,0.4444444444444444,3458.3194890005097,4776.8572578125,4.0270629257667485,376.1118984387757,420.8974271176882,404.30176905586904,222.45624467949142,42.863626098632814,0.0,145.6606221301728,0.2760262025111878
53,BlackScholes,400,800,,0.5,3541.94811927252,5385.673937812501,4.59124375,388.71,439.59489543557163,420.8489164204597,255.22496280560003,42.87507705688476,0.0,144.76182721092587,0.3423389235644754
62,BlackScholes,500,1000,,0.5,3525.307048004092,5256.55606875,4.485061747362205,388.44477947374696,438.47984664222827,419.8404170151158,248.62340592252937,42.85320510864258,0.0,145.16158298706247,0.32935043364953515
61,BlackScholes,500,900,,0.5555555555555556,3604.660237760306,5831.250609374999,5.036219511248623,400.9516213666851,456.3615245587936,436.20538848525905,280.43185133461316,42.89930191040039,0.0,144.52302884137697,0.38183753722314157
52,BlackScholes,400,700,,0.5714285714285714,3637.5530643043107,6272.691885,5.308850810987002,403.76102015856617,463.28121204284923,440.9232188553792,296.674892107645,42.836535644531246,0.0,144.01472550568295,0.4200969645898189
69,BlackScholes,600,1000,,0.6,3654.1515740518175,6237.479990624999,5.384807531523635,410.818746019377,470.0646521204361,448.5126452369692,300.2965001411899,42.89926071166992,0.0,144.30827856007397,0.4141621969859547
60,BlackScholes,500,800,,0.625,3699.6360778448015,6742.196136328125,5.737347030811966,416.4873937366225,480.253704024364,456.6490855872106,321.06671331696725,42.8657112121582,0.0,143.81812400493027,0.45127136573341153
51,BlackScholes,400,600,,0.6666666666666666,3770.2581654528594,7528.779764999999,6.313494116259216,424.62794295950755,495.4743139244099,468.822690782147,354.9549428384908,42.83356018066406,0.0,143.16264170864613,0.4992205532455418
68,BlackScholes,600,900,,0.6666666666666666,3745.6631878442877,7014.447496875001,6.042307771501876,425.64570643065457,492.12676562813033,467.9421374260669,338.61247434575466,42.899208068847656,0.0,143.61786875570823,0.4660073812637397
76,BlackScholes,700,1000,,0.7,3780.000240495261,7289.276295000001,6.2819042224715105,433.0679243249758,502.18027742808397,477.0415414450307,352.26225199089635,42.89944152832031,0.0,143.52865190713695,0.48142996814538214
59,BlackScholes,500,700,,0.7142857142857143,3821.4606443245784,7863.022661328126,6.661602040816327,436.4485714285714,510.70140460111656,483.08009065822677,374.64167729502043,42.85606842041015,0.0,143.11926195185603,0.513995977257033
67,BlackScholes,600,800,,0.75,3854.6365295354512,8017.1384718750005,6.879880047756831,444.1410858212613,519.8327312084318,492.3005610914744,386.92665544745944,42.899420928955074,0.0,143.11590151837026,0.5192004549930206
75,BlackScholes,700,900,,0.7777777777777778,3882.4968154081234,8204.90009828125,7.047532661994963,450.31249093227234,527.8516420415834,499.6457034819014,396.7893946119823,42.899285888671876,0.0,142.962130671855,0.5268075456249098
50,BlackScholes,400,500,,0.8,3993.4123487418938,9302.629883750002,7.829008000000001,455.544,542.9459218990478,510.3474143835449,447.5692304005121,42.85082931518554,0.0,140.83329299046295,0.5707222152611212
83,BlackScholes,800,1000,,0.8,3902.182910560532,8347.524982500001,7.176764846210532,455.23364607626996,534.1941571695039,505.4713285259665,404.0998590449444,42.899313354492186,0.0,142.9501561842136,0.5325341441036494
58,BlackScholes,500,600,,0.8333333333333334,3982.180482975133,9274.91696328125,7.920500837429309,462.5842453524311,549.7279435805115,518.0281137861909,447.5404862301593,42.89929733276367,0.0,142.45949642793943,0.5706505515100234
