,appName,coreF,memF,cold_miss,c_to_m,modelled_cycle,real_cycle,avg_mem_lat,avg_mem_del,mem_del,mem_lat,shm_del,tex_del,dp_del,branch_del,shm_offset,shm_lat,compute_del,compute_offset,compute_lat,sm_del,sm_lat,insts,exec_rounds,abe
19,BlackScholes,700,3900,111.69484615384616,0.1794871794871795,2079.3871381058552,2978.4670932500003,114.39880281061781,1.501214939131796,1638.1644371850666,575.846275636294,28.0,81.294432,0.0,460.668448,0.0,0.0,1939.6922919520089,28.381914491895053,571.4612165178571,1967.6922919520089,571.4612165178571,142.86530412946428,16.532497576217764,0.3018599591654713
18,BlackScholes,700,3600,112.86775,0.19444444444444445,2077.3499810625,2975.2096764,115.25255430279162,1.6302691143795927,1772.1183405334596,579.0202789167105,28.0,81.137472,0.0,459.779008,0.0,0.0,1936.4822310625,28.444746816989017,571.6171875,1964.4822310625,571.6171875,142.904296875,16.564479603209723,0.301780308950833
17,BlackScholes,700,3100,115.32706451612904,0.22580645161290322,2183.173722493729,2959.8238619999997,117.82861514883362,1.900863326279923,2067.8466579776,592.418375907171,28.0,81.13737599999999,0.0,459.778464,0.0,0.0,1936.2705359084823,28.41976456224811,571.5552455357143,1964.2705359084823,571.5552455357143,142.88881138392858,16.56449920194609,0.26239741812929224
24,BlackScholes,900,3900,115.71623076923078,0.23076923076923078,2192.6404233969383,2972.7460060714284,118.61640765864536,1.9276531438535944,2076.9241926277077,594.3065938410421,28.0,80.64124799999999,0.0,456.9670719999999,0.0,0.0,1925.394735410714,28.532828423456035,571.8348214285714,1953.394735410714,571.8348214285714,142.95870535714286,16.666408734150544,0.2624191845119734
23,BlackScholes,900,3600,117.22425000000001,0.25,2376.3965288509007,2975.8995,120.30518493037216,2.0913565563130776,2259.1722788509005,604.5197077659728,28.0,80.61696,0.0,456.82944000000003,0.0,0.0,1924.0334497321428,28.438553932541375,571.6018415178571,1952.0334497321428,571.6018415178571,142.90046037946428,16.671429932361626,0.2014526939330778
16,BlackScholes,700,2600,118.73226923076923,0.2692307692307692,2585.115828780915,3037.0947894,121.64209063845298,2.2779307821277817,2466.3835595501455,609.905347695964,28.0,80.979072,0.0,458.88140799999996,0.0,0.0,1933.2490038705357,28.509406334885696,571.7770647321429,1961.2490038705357,571.7770647321429,142.94426618303572,16.59688073481504,0.14881951073656707
4,BlackScholes,1100,3900,119.7376153846154,0.28205128205128205,2646.9989753202285,3089.3463784857145,122.9496628635373,2.3544478322354525,2527.261359935613,615.9961642023576,28.0,80.341824,0.0,455.27033600000004,0.0,0.0,1918.269864513393,28.533960779945843,571.8376116071429,1946.269864513393,571.8376116071429,142.95940290178572,16.728522369619093,0.14318478699766538
22,BlackScholes,900,3100,120.38622580645162,0.2903225806451613,2755.410533559965,3131.815614685714,123.72033998342441,2.437980780643276,2635.0243077535138,619.857371615475,28.0,80.897472,0.0,458.41900799999996,0.0,0.0,1931.5090488973215,28.533960779945843,571.8376116071429,1959.5090488973215,571.8376116071429,142.95940290178572,16.613621745806842,0.12018749742504306
3,BlackScholes,1100,3600,121.58075000000001,0.3055555555555556,2873.8917948420644,3237.2725108428567,125.28544421905801,2.5507170156168684,2752.3110448420643,627.7949088757226,28.0,80.75126399999999,0.0,457.590496,0.0,0.0,1927.984107252232,28.528979000925716,571.8253348214286,1955.984107252232,571.8253348214286,142.95633370535714,16.643702320250988,0.11224903519357486
15,BlackScholes,700,2100,123.759,0.3333333333333333,3238.6161706701864,3538.5721980000003,127.43322565913249,2.8389529012911825,3114.8571706701864,641.0595262336298,28.0,81.78912000000001,0.0,463.47168000000005,0.0,0.0,1951.6414543750004,28.40200782051638,571.5111607142858,1979.6414543750004,571.5111607142858,142.87779017857144,16.43250349190699,0.08476753067221546
