,appName,coreF,memF,cold_miss,c_to_m,modelled_cycle,real_cycle,mem_del,mem_lat,shm_del,shm_offset,shm_lat,compute_del,compute_offset,compute_lat,sm_del,sm_lat,tex_del,insts,exec_rounds,abe
5,BlackScholes,607,715,300.9611643356643,0.848951048951049,7840.54553557004,7747.508052900001,4821.406207698539,3030.0442110779013,56.0,0.0,0.0,7483.584371234375,41.79646677291116,1671.977294921875,7539.584371234375,1671.977294921875,1430.75328,208.99716186523438,19.630817930298328,0.012008697768983124
6,BlackScholes,810,715,308.8675174825175,1.132867132867133,7752.6281211774385,7764.875390327344,6350.379623698025,3115.7419107686164,56.0,0.0,0.0,7387.760603694921,41.79677068671541,1671.979248046875,7443.760603694921,1671.979248046875,1412.411904,208.99740600585938,19.88574088289272,0.0015772653821542967
7,BlackScholes,1012,715,316.73492307692305,1.4153846153846155,8029.304041361209,7804.952850213752,7712.569118284286,3200.9950630713174,56.0,0.0,0.0,7183.159712120702,41.79652375646689,1671.9776611328125,7239.159712120702,1671.9776611328125,1373.2546559999998,208.99720764160156,20.452766732040953,0.02874472087827062
8,BlackScholes,1202,715,324.13495804195804,1.681118881118881,9260.236907617838,9027.140070033749,8936.101949575881,3281.0723282365734,56.0,0.0,0.0,7009.157622767187,41.79677068671541,1671.979248046875,7065.157622767187,1671.979248046875,1339.9511039999998,208.99740600585938,20.961106012758766,0.025821781403156836
9,BlackScholes,1328,715,329.04234965034965,1.8573426573426572,10230.157062681199,9953.246165292498,9901.114713030849,3334.1370237557803,56.0,0.0,0.0,7030.685938532421,41.79661872934958,1671.978271484375,7086.685938532421,1671.978271484375,1344.0721919999999,208.99728393554688,20.896836725015103,0.027821164350812957
80,SobolQRNG,607,715,300.9611643356643,0.848951048951049,493125.6337506013,581227.4558619648,374540.2737115906,473469.7380280165,46584.356096,14.053521389658208,87864.0,446240.31649026566,32.090699146854455,200634.212,492824.67258626566,288498.212,59.309568000000006,25079.2765,1.2043347108610103,0.15157890636929364
81,SobolQRNG,810,715,308.8675174825175,1.132867132867133,536459.7711114184,714574.1974081534,536150.9035939359,486858.89264582715,49980.425216,14.053495539905729,87864.0,478810.252376576,32.09062540486332,200634.12,528790.677592576,288498.12,63.638528,25079.265,1.1224108047969217,0.24925952678221172
82,SobolQRNG,1012,715,316.73492307692305,1.4153846153846155,716222.2040612013,896104.7968739326,715905.4691381244,500191.45318869717,53416.05823999999,14.05352026575395,87864.0,511760.0565877759,32.09069594067528,200634.20799999998,565176.1148277759,288498.208,68.01791999999999,25079.275999999998,1.0501434243883294,0.20073834381899625
83,SobolQRNG,1202,715,324.13495804195804,1.681118881118881,866705.4552262464,1042128.5510974465,866381.3202682044,512731.65510346554,54426.44403200001,14.05352813308754,87864.0,521450.28008322563,32.090718383940235,200634.236,575876.7241152256,288498.23600000003,69.305856,25079.2795,1.0306282261136985,0.1683315323109277
84,SobolQRNG,1328,715,329.04234965034965,1.8573426573426572,964052.5862930687,1138350.6032080895,963723.5439434184,521070.65794883086,54789.24703999999,14.053521389658208,87864.0,524929.6964661439,32.090699146854455,200634.212,579718.943506144,288498.212,69.76831999999999,25079.2765,1.0237966376225118,0.1531145294110757
0,backprop,607,715,300.9611643356643,0.848951048951049,6888.303916107539,7494.867112442502,1184.8185837518668,796.4128985385963,808.354656,65.73870207996367,707.0,5778.988095771875,120.06029340824608,1291.21240234375,6587.342751771876,1998.21240234375,357.554688,161.40155029296875,9.819077362669464,0.08093048045214635
1,backprop,810,715,308.8675174825175,1.132867132867133,6875.311429813766,7514.333775584999,1539.3666076799975,815.5164791034298,805.943584,65.73982134141497,707.0,5760.500328331249,120.06247375171678,1291.2138671875,6566.443912331249,1998.2138671875,356.40883199999996,161.4017333984375,9.850645740611565,0.08504045266760647
2,backprop,1012,715,316.73492307692305,1.4153846153846155,6870.1630951511415,7522.7375648425,1892.0106684664795,834.5368615642086,804.44232,65.74000788869562,707.0,5748.985852074218,120.06283714951348,1291.214111328125,6553.428172074218,1998.214111328125,355.69536,161.40176391601562,9.87040467116901,0.08674694073353886
3,backprop,1202,715,324.13495804195804,1.681118881118881,6879.032182456021,7574.006255484374,2227.076042322777,852.4376538220915,804.612,65.73963479519303,707.0,5750.285224414062,120.06211035598247,1291.213623046875,6554.897224414062,1998.213623046875,355.776,161.40170288085938,9.868167450466425,0.09175778968034516
4,backprop,1328,715,329.04234965034965,1.8573426573426572,6883.924476673787,7615.937015858499,2449.3039826993895,864.3379597653075,804.610384,65.7394482500298,707.0,5750.271743023437,120.06174696231052,1291.21337890625,6554.882127023437,1998.21337890625,355.77523199999996,161.40167236328125,9.86818875254684,0.09611588668084553
10,conjugateGradient,607,715,300.9611643356643,0.848951048951049,3383.571055535664,3819.610539795313,1138.2971795028113,767.522789485504,515.540992,43.707317073170735,448.0,2567.0688992,57.951219512195124,594.0,3082.6098911999998,1042.0,1148.85248,74.25,40.746248440381635,0.11415810060127636
