,appName,coreF,memF,cold_miss,c_to_m,modelled_cycle,real_cycle,depart_delay,mem_l,MWP,mem_cycles,compute_cycles,exec_rounds,abe
5,BlackScholes,607,715,300.9611643356643,0.848951048951049,15252.129906804414,7747.508052900001,2.0217591129150567,300.9611643356643,148.8610400779774,4821.406207698539,250.79659423828124,19.630817930298328,0.968649764887347
6,BlackScholes,810,715,308.8675174825175,1.132867132867133,15068.388724872359,7764.875390327344,2.69789931047973,308.8675174825175,114.48444954292822,6351.320358677727,250.79688720703123,19.88574088289272,0.9405834565797354
7,BlackScholes,1012,715,316.73492307692305,1.4153846153846155,14667.054347318328,7804.952850213752,3.370708768154922,316.73492307692305,93.96686123384644,7715.274407500668,250.79664916992186,20.452766732040953,0.8791983281380932
8,BlackScholes,1202,715,324.13495804195804,1.681118881118881,14326.45020357633,9027.140070033749,4.003549347156341,324.13495804195804,80.96189903895805,8941.51376432439,250.79688720703123,20.961106012758766,0.5870419748037398
9,BlackScholes,1328,715,329.04234965034965,1.8573426573426572,14374.414226715191,9953.246165292498,4.423222573230965,329.04234965034965,74.38973377502887,9909.223572740322,250.79674072265624,20.896836725015103,0.4441935814708917
80,SobolQRNG,607,715,300.9611643356643,0.848951048951049,892765.594144867,581227.4558619648,2.0217591129150567,300.9611643356643,148.8610400779774,374843.50141986937,30095.1318,1.2043347108610103,0.5360003818485978
81,SobolQRNG,810,715,308.8675174825175,1.132867132867133,957913.3722706345,714574.1974081534,2.69789931047973,308.8675174825175,114.48444954292822,536713.4483443839,30095.118,1.1224108047969217,0.3405373098344462
82,SobolQRNG,1012,715,316.73492307692305,1.4153846153846155,1023820.8480986287,896104.7968739326,3.370708768154922,316.73492307692305,93.96686123384644,716704.9903189404,30095.131199999996,1.0501434243883294,0.14252356607199781
83,SobolQRNG,1202,715,324.13495804195804,1.681118881118881,1043208.6951244932,1042128.5510974465,4.003549347156341,324.13495804195804,80.96189903895805,867382.6390256853,30095.1354,1.0306282261136985,0.0010364786819334938
84,SobolQRNG,1328,715,329.04234965034965,1.8573426573426572,1050172.4352819382,1138350.6032080895,4.423222573230965,329.04234965034965,74.38973377502887,964701.3241489647,30095.1318,1.0237966376225118,0.07746134422703198
0,backprop,607,715,300.9611643356643,0.848951048951049,11842.937355879414,7494.867112442502,2.0217591129150567,300.9611643356643,148.8610400779774,1295.7431572571006,193.6818603515625,9.819077362669464,0.5801397380640042
1,backprop,810,715,308.8675174825175,1.132867132867133,11813.868174145015,7514.333775584999,2.69789931047973,308.8675174825175,114.48444954292822,1723.5101231750616,193.68208007812498,9.850645740611565,0.5721777241955548
2,backprop,1012,715,316.73492307692305,1.4153846153846155,11798.70662722536,7522.7375648425,3.370708768154922,316.73492307692305,93.96686123384644,2149.00705984395,193.68211669921874,9.87040467116901,0.5684059859228099
3,backprop,1202,715,324.13495804195804,1.681118881118881,11808.705406870082,7574.006255484374,4.003549347156341,324.13495804195804,80.96189903895805,2553.0699283590034,193.68204345703126,9.868167450466425,0.5591095397259992
4,backprop,1328,715,329.04234965034965,1.8573426573426572,11813.585835697224,7615.937015858499,4.423222573230965,329.04234965034965,74.38973377502887,2820.6981421918827,193.6820068359375,9.86818875254684,0.551166430486236
10,conjugateGradient,607,715,300.9611643356643,0.848951048951049,5419.098962735665,3819.610539795313,2.0217591129150567,300.9611643356643,148.8610400779774,1190.3852725529698,89.1,40.746248440381635,0.41875694034137473
11,conjugateGradient,810,715,308.8675174825175,1.132867132867133,5382.050975281346,3790.7200199039057,2.69789931047973,308.8675174825175,114.48444954292822,1574.410161257992,89.10086059570312,41.10770491669026,0.41979648906325195
12,conjugateGradient,1012,715,316.73492307692305,1.4153846153846155,5399.680280163642,3812.778891820937,3.370708768154922,316.73492307692305,93.96686123384644,1970.6822738149567,89.10164794921874,41.02911929553002,0.416205983448681
13,conjugateGradient,1202,715,324.13495804195804,1.681118881118881,5360.560117443521,3874.5921933074997,4.003549347156341,324.13495804195804,80.96189903895805,2318.8351308929487,89.10357971191407,41.40899273919192,0.3835159547120088
14,conjugateGradient,1328,715,329.04234965034965,1.8573426573426572,5405.241851639022,4014.5831168625004,4.423222573230965,329.04234965034965,74.38973377502887,2582.0983761830876,89.10375366210937,41.08461456613283,0.3464017792869504
15,convolutionSeparable,607,715,300.9611643356643,0.848951048951049,6868.873240498391,13794.09504921,2.0217591129150567,300.9611643356643,148.8610400779774,6868.873240498391,0.0,13.88512833329862,0.5020424887610313
