,appName,coreF,memF,cold_miss,c_to_m,modelled_cycle,real_cycle,g_load,g_store,sync,compute,shared,exec_rounds,abe
5,BlackScholes,607,715,,0.848951048951049,8272.844128532266,7747.508052900001,347.4666832664282,331.28822972049863,118.50484431096443,125.39829711914062,0.0,19.630817930298328,0.06780710288331031
6,BlackScholes,810,715,,1.132867132867133,8256.097624062499,7764.875390327344,370.9252531249954,349.3369539732727,156.07481326931037,125.39844360351562,0.0,19.88574088289272,0.0632620884485883
7,BlackScholes,1012,715,,1.4153846153846155,8126.223591168583,7804.952850213752,394.26945401393976,367.2967375567308,189.49768747721052,125.39832458496093,0.0,20.452766732040953,0.04116241918694391
8,BlackScholes,1202,715,,1.681118881118881,8021.092598531127,9027.140070033749,416.2255731558573,384.1896033035479,219.51979930453604,125.39844360351562,0.0,20.961106012758766,0.11144697697139654
9,BlackScholes,1328,715,,1.8573426573426572,8092.155655954701,9953.246165292498,430.7869302527962,395.3922405882792,243.29054658120333,125.39837036132812,0.0,20.896836725015103,0.18698326942093718
80,SobolQRNG,607,715,,0.848951048951049,506056.72158460924,581227.4558619648,303.15679473229005,12934.959132930764,57.933070680612566,15047.5659,46528.356096,1.2043347108610103,0.12933101063829963
81,SobolQRNG,810,715,,1.132867132867133,546289.7273580586,714574.1974081534,311.828461975769,17168.074032411732,83.14727109509276,15047.559,49924.425216,1.1224108047969217,0.2355031439149117
82,SobolQRNG,1012,715,,1.4153846153846155,586924.1117659657,896104.7968739326,320.3971981535234,21380.33614913663,111.26359089967508,15047.565599999998,53360.05823999999,1.0501434243883294,0.34502737423853297
83,SobolQRNG,1202,715,,1.681118881118881,601618.2909479237,1042128.5510974465,328.47080198492836,25342.36487278877,134.73115792429934,15047.5677,54370.44403200001,1.0306282261136985,0.4227024196637061
84,SobolQRNG,1328,715,,1.8573426573426572,608108.4821569485,1138350.6032080895,333.8459693648785,27969.815500052813,149.8771813869697,15047.5659,54733.24703999999,1.0237966376225118,0.46579860330975126
0,backprop,607,715,,0.848951048951049,7261.424790048732,7494.867112442502,308.5491777250303,311.0730448598235,118.45981569200158,96.84093017578125,752.354656,9.819077362669464,0.03114695949795081
1,backprop,810,715,,1.132867132867133,7301.359042639024,7514.333775584999,318.9929555654675,322.3608837025062,157.56129103980126,96.84104003906249,749.943584,9.850645740611565,0.028342463790729713
2,backprop,1012,715,,1.4153846153846155,7348.860377254556,7522.7375648425,329.3849560808482,333.59371307697427,196.45353602251532,96.84105834960937,748.44232,9.87040467116901,0.023113552226061884
3,backprop,1202,715,,1.681118881118881,7407.60731464329,7574.006255484374,339.1608524926822,344.1583249947188,233.39091274182604,96.84102172851563,748.612,9.868167450466425,0.021969739029538575
4,backprop,1328,715,,1.8573426573426572,7445.545888702556,7615.937015858499,345.6429329040101,351.1652118185266,257.85561695658294,96.84100341796875,748.610384,9.86818875254684,0.02237296957697274
10,conjugateGradient,607,715,,0.848951048951049,3751.325121981716,3819.610539795313,317.6402605476697,300.96158080520814,114.11338942883809,44.55,459.540992,40.746248440381635,0.01787758649793024
11,conjugateGradient,810,715,,1.132867132867133,3782.996626146447,3790.7200199039057,331.12267562670934,308.86809381598835,150.91383980433508,44.55043029785156,455.500288,41.10770491669026,0.002037447692497893
12,conjugateGradient,1012,715,,1.4153846153846155,3848.035718150017,3812.778891820937,344.5379471055234,316.7356174215332,188.9167390796015,44.55082397460937,456.37273600000003,41.02911929553002,0.00924701571463059
13,conjugateGradient,1202,715,,1.681118881118881,3873.9760742768462,3874.5921933074997,357.15147248916503,324.1357827477104,222.29012733918916,44.55178985595703,452.18611200000004,41.40899273919192,0.0001590151943519675
14,conjugateGradient,1328,715,,1.8573426573426572,3935.984203503508,4014.5831168625004,365.51918865458674,329.04326080612265,247.56571504846312,44.551876831054685,455.756288,41.08461456613283,0.019578349998248246
15,convolutionSeparable,607,715,,0.848951048951049,14016.407058798824,13794.09504921,379.1260878518298,363.63690339800166,93.82864354899293,0.0,13179.815424,13.88512833329862,0.016116462065523928
16,convolutionSeparable,810,715,,1.132867132867133,14087.773592259176,13886.7920226,413.169165483647,392.5040061818474,124.98758859368145,0.0,13157.112832,13.909087115703512,0.0144728580461268
17,convolutionSeparable,1012,715,,1.4153846153846155,14157.752156434888,13915.566579444443,447.04129023841995,421.22890648892536,155.8723597075417,0.0,13133.6096,13.933978102366357,0.017403932179678012
18,convolutionSeparable,1202,715,,1.681118881118881,14220.492675882584,13897.343533556388,478.8745730218275,448.24737707479085,184.77667778596557,0.0,13108.594048,13.960568761327208,0.023252583599586728
19,convolutionSeparable,1328,715,,1.8573426573426572,14148.08326401445,14026.954033493335,499.9154788363437,466.1648891475227,202.09838403058504,0.0,12979.904512,14.09898111363152,0.008635462141808195
20,convolutionTexture,607,715,,0.848951048951049,3557.9126923121744,8199.060608255417,314.94567003563617,307.0268392914225,112.48925372417825,49.849682617187504,0.0,46.48968195407756,0.566058495929423
21,convolutionTexture,810,715,,1.132867132867133,3610.598373976459,8374.598467199998,327.2059545253761,316.9617277103752,149.5351053407075,49.921504720052084,0.0,46.6650074664012,0.5688631057216952
22,convolutionTexture,1012,715,,1.4153846153846155,3671.2850239256704,8823.739697743056,339.608086086608,326.84768943567866,186.87209410650885,49.928369140624994,0.0,46.65384225979549,0.5839309465503935
23,convolutionTexture,1202,715,,1.681118881118881,3728.7208607162934,9109.555000201251,351.25185334646744,336.1463663060136,222.02954431928146,49.93595784505208,0.0,46.63882264178809,0.5906802406227398
24,convolutionTexture,1328,715,,1.8573426573426572,3767.699268536901,9440.40398007778,358.9741542581449,342.31288728008093,245.43435871221638,49.939701334635416,0.0,46.61446278450198,0.6008963942127974
25,fastWalshTransform,607,715,,0.848951048951049,14888.70988763143,12809.52009704008,331.29100618412417,331.28822972049863,121.9582029646982,125.99877319335937,6377.572864000001,19.08401783580379,0.16231597865026906
26,fastWalshTransform,810,715,,1.132867132867133,14949.185310609504,13086.512450353122,349.3404531407744,349.3369128065962,162.5546062500261,125.99880981445312,6370.237952,19.105991833084087,0.14233531411236458
27,fastWalshTransform,1012,715,,1.4153846153846155,15015.847790379266,13295.831152137187,367.3009550573257,367.29668612379675,202.95139962607337,125.99883728027343,6365.871616,19.119096586837966,0.12936510839832693
28,fastWalshTransform,1202,715,,1.681118881118881,15103.027479824752,13582.26005411625,384.19473480600703,384.1895422142329,241.31653119982536,125.99881896972656,6372.667391999999,19.098708091764518,0.11196718511125966
29,fastWalshTransform,1328,715,,1.8573426573426572,15168.495891347862,14040.161943289999,395.3975050438565,395.392173095259,266.94778096343305,125.99887390136718,6380.548096,19.075119010859705,0.08036473885524596
30,histogram,607,715,,0.848951048951049,282625.25709852506,205035.14891611735,3243.492557244517,309.7516044786929,48.951413908523875,759.7236458333336,259868.69016373332,1.0199108353151334,0.378423448821211
31,histogram,810,715,,1.132867132867133,286465.49805788073,251951.59721087993,4235.48197747292,320.5977588595408,66.00986934381378,759.721979166667,262495.46548657777,1.009704652862643,0.13698623556695752
32,histogram,1012,715,,1.4153846153846155,288635.3221301676,270233.52708352,5222.60491044827,331.3904839084633,82.82343791089403,759.7173958333334,263571.374716,1.0055829967982237,0.06809589929587172
33,histogram,1202,715,,1.681118881118881,289962.0522003763,277836.4204399716,6151.111976331063,341.54205697428154,98.50806833986164,759.7107291666669,263918.35709164443,1.004260922877403,0.04364306069450136
34,histogram,1328,715,,1.8573426573426572,290652.4694827481,291706.7582981689,6766.735636753768,348.27415279687676,108.85713527312099,759.7240625000001,263971.7897388444,1.0040576423691263,0.003614207711784027
35,hotspot,607,715,,0.848951048951049,5463.49626123856,5424.934418016305,322.40783437038357,309.3579626382624,83.34577402630966,102.55733626764061,417.96434162162166,4.631717743269589,0.007108259796503707
36,hotspot,810,715,,1.132867132867133,5499.284897420066,5439.471474002279,337.49747125010106,320.072963413407,110.8025951822356,102.5548161799854,416.43567351351356,4.6487200311383425,0.010996182938666487
37,hotspot,1012,715,,1.4153846153846155,5535.65243886324,5428.363294976188,352.49484380116706,330.7348135486023,137.9401890609575,102.55656928444121,414.98302702702705,4.6649928576880715,0.019764547444041807
38,hotspot,1202,715,,1.681118881118881,5586.394902160496,5514.805978880934,366.60979453703993,340.76328644804346,163.86239222357906,102.55640493089847,415.0432108108108,4.6643164054195205,0.012981222467973114
39,hotspot,1328,715,,1.8573426573426572,5621.075689918686,5497.008621099009,375.97972008641216,347.4137474234623,181.09763096849616,102.55503531804237,415.1737145945946,4.66285024578977,0.02256992436640428
40,matrixMulGlobal,607,715,,0.848951048951049,571470.1194281904,490568.0445081719,2809.421208877289,307.027675658243,114.34551972314655,9872.56078491211,0.0,10.16624188189845,0.16491509348336858
41,matrixMulGlobal,810,715,,1.132867132867133,575111.0155351884,504856.67696099996,3585.5994454252727,316.9628620810163,153.1079010227841,9888.270007324218,0.0,10.132206294253203,0.13915699599554973
42,matrixMulGlobal,1012,715,,1.4153846153846155,577341.9205876286,517149.93673227495,4330.304551547909,326.8491066987512,191.49875592734844,9902.567761230468,0.0,10.121371053574633,0.11639174556549285
43,matrixMulGlobal,1202,715,,1.681118881118881,578537.8097426353,523447.3785871094,5110.936925442258,336.14792747739665,227.67064143460905,9899.61591796875,0.0,10.111822537514469,0.1052454046177979
44,matrixMulGlobal,1328,715,,1.8573426573426572,581956.4465935924,538893.1100175,5629.431615845096,342.3147170908514,252.85971091035066,9898.013983154297,0.0,10.059808706450067,0.07991072028123344
45,matrixMulShared,607,715,,0.848951048951049,146514.61037375804,136146.93946481252,815.4988585725463,307.027675658243,125.27854604287504,707.0996337890625,100744.192,9.293127006553107,0.07615059838803849
46,matrixMulShared,810,715,,1.132867132867133,146673.11750765916,138269.962656,995.2771409505094,316.9628620810163,167.0869044260762,707.1453918457031,100691.5584,9.297984719924361,0.06077353815857512
47,matrixMulShared,1012,715,,1.4153846153846155,146885.9733512049,138200.613705,1174.3812591174442,326.8491066987512,208.7304663262399,707.1350646972656,100679.68,9.299081715680577,0.06284602805559529
48,matrixMulShared,1202,715,,1.681118881118881,147468.41357083572,138040.24796782498,1341.9748240979084,336.14804965602667,248.5400872443074,707.2590087890625,100927.8976,9.276211966081531,0.06830012073875945
49,matrixMulShared,1328,715,,1.8573426573426572,147006.23933334864,138648.52223680503,1453.0862268544038,342.3147170908514,273.4267758455794,707.3256591796875,100505.9072,9.315159650920213,0.06027988587046769
50,mergeSort,607,715,,0.848951048951049,7321.16978609831,7488.0430272375015,317.08945643875944,318.53580889008254,115.76586210922456,77.16500957753905,2074.1476699531254,10.043652223476283,0.022285294105842526
51,mergeSort,810,715,,1.132867132867133,7368.580365914239,7560.9506868328135,330.3852569507355,332.3212434127295,154.05117295450574,77.1656321361328,2068.4673645839844,10.071233519960634,0.02544261018043429
52,mergeSort,1012,715,,1.4153846153846155,7418.5900635271455,7585.4924291685,343.6149059539778,346.03770574695733,192.02210565352726,77.16630962636718,2063.7485870390624,10.094261475440346,0.022002838602747116
53,mergeSort,1202,715,,1.681118881118881,7480.639478199457,7632.456954886312,356.05278115907765,358.9393734709647,228.093672472827,77.1676096751953,2063.926310191406,10.093392266127427,0.01989103608237991
54,mergeSort,1328,715,,1.8573426573426572,7527.35936293136,7742.931682118501,364.3019182883833,367.49582299130134,252.22927784343315,77.16806743886717,2065.742276248047,10.084519301691158,0.02784117541486038
55,nn,607,715,,0.848951048951049,1009.3008086729719,1848.1331023333335,315.23833378557265,307.00086882848717,38.73289343337246,17.279910514285717,0.0,1.1905933599814584,0.45388088801683496
56,nn,810,715,,1.132867132867133,1053.677432898258,2080.1169100800003,327.91942399722217,316.927090199464,52.87692716428813,17.279910514285717,0.0,1.1650883603012454,0.49345278248916585
57,nn,1012,715,,1.4153846153846155,1085.5602561785813,2131.4521737813334,340.53804578418374,326.8044139282192,65.44330846352318,17.279910514285717,0.0,1.175589126897793,0.4906945276408771
58,nn,1202,715,,1.681118881118881,1118.560505138211,2145.06516,352.4159829689687,336.0949659503157,77.64964029796666,17.27857122857143,0.0,1.1767474699929394,0.47854241167284123
59,nn,1328,715,,1.8573426573426572,1141.0471072393125,2155.900021205334,360.2879412502416,342.25606887023235,85.85326394362843,17.27857122857143,0.0,1.175913528022803,0.47073282804581595
60,quasirandomGenerator,607,715,,0.848951048951049,63803.24537116828,88600.52463136,299.20133885782093,816.5386956162981,45.1589172941533,2684.313671875,0.0,1.1753533112053483,0.27987734117112395
61,quasirandomGenerator,810,715,,1.132867132867133,64624.62124593992,89819.66965859999,306.50685558584775,996.8704834418477,60.882565662233254,2684.3164062499995,0.0,1.163872015977635,0.28050702600471783
62,quasirandomGenerator,1012,715,,1.4153846153846155,64039.867414915534,88550.48813482666,313.8009142077674,1176.3139373372221,75.07911317054244,2684.313671875,0.0,1.1785077891508144,0.27679825640928535
63,quasirandomGenerator,1202,715,,1.681118881118881,64554.589660559286,90461.33463768335,320.6527041827127,1345.0999905479346,89.65900720364459,2684.312890625,0.0,1.1724177011624521,0.286384730900622
64,quasirandomGenerator,1328,715,,1.8573426573426572,64203.685393428095,90320.44837073066,325.17202989877256,1457.0274592725602,98.2731067567716,2684.3164062499995,0.0,1.1813730547708177,0.2891567020361028
65,reduction,607,715,,0.848951048951049,2424.2268075653265,945.0319198135156,301.6638294362923,299.0245925254596,63.41892803166918,52.48327417373657,61.33076232775879,289.2433940791538,1.5652327257302612
66,reduction,810,715,,1.132867132867133,2459.1850586368787,941.6635477101562,309.80517601877557,306.2832948033316,84.55017873654222,52.48327417373657,61.27594998937988,289.50212702075453,1.611532605904604
67,reduction,1012,715,,1.4153846153846155,2488.694404958666,938.981714650547,317.9063981583298,313.5062399271254,105.23277270303261,52.48327760696411,61.04954592797852,290.57575429095823,1.6504183906124972
68,reduction,1202,715,,1.681118881118881,2522.129218263828,936.2044916761522,325.5263970056398,320.300099201981,124.93943707299823,52.48327417373657,61.02565647961425,290.68950471788503,1.6939939304801712
69,reduction,1328,715,,1.8573426573426572,2544.829869958569,944.0466862837501,330.5796381719329,324.8055006158326,138.03964697914725,52.48327531814575,61.02711167443847,290.6825732107054,1.695661037672108
70,scalarProd,607,715,,0.848951048951049,6382.574238604089,18741.771898716997,816.7940480042574,299.48630685778585,34.58366146704625,253.70332031249998,638.226912,1.0099408477645464,0.6594465948525913
71,scalarProd,810,715,,1.132867132867133,6594.223100907525,21139.45800623999,997.2428497529295,306.90205568015625,46.26383637444021,253.695703125,639.720384,1.0075830701862216,0.6880609191133932
72,scalarProd,1012,715,,1.4153846153846155,6808.930451446277,23660.912407748,1176.73966487695,314.2858924875605,57.9878399817674,253.7015625,641.671824,1.004518827947522,0.7122287452779451
73,scalarProd,1202,715,,1.681118881118881,7004.740433894936,26029.975323828,1345.6499572876808,321.2183097870961,69.00043634515964,253.695703125,642.777264,1.0027912694986496,0.7308971542711085
74,scalarProd,1328,715,,1.8573426573426572,7129.2526994675545,27804.323617727998,1457.5904410519006,325.81996289289816,76.24276902275686,253.7021484375,642.8517119999999,1.0026751372662264,0.7435919392435084
75,scan,607,715,,0.848951048951049,4898.7115223943365,5561.980353911154,331.2912719652575,331.2883483727903,118.11951319811574,42.2986591045673,1604.451456,16.001196397146,0.1192504808202731
76,scan,810,715,,1.132867132867133,4957.9711946904135,5586.401611592307,349.3411751409467,349.33707113996735,157.01014258546198,42.298614032451916,1598.323968,16.06254011773842,0.11249288192919057
77,scan,1012,715,,1.4153846153846155,5008.9840306933,6435.542017993846,367.30201141066425,367.296883942774,195.04959537207358,42.298614032451916,1589.383296,16.152895856999656,0.22166866183328052
78,scan,1202,715,,1.681118881118881,5093.479442809122,7643.368883809616,384.1957921210742,384.18977717313675,232.43902884904617,42.298625300480765,1594.57248,16.100329824545106,0.3336080568349562
79,scan,1328,715,,1.8573426573426572,5150.107189403453,8460.397322763078,395.39907815040476,395.39243268379835,257.3958848952116,42.298625300480765,1598.182272,16.063964234201478,0.39126887391602055
85,sortingNetworks,607,715,,0.848951048951049,1580.4695148513176,3758.065788422969,331.3056905917436,331.2901423954406,103.55547220788341,15.593847656249999,0.0,5.602618523832576,0.5794460225470016
86,sortingNetworks,810,715,,1.132867132867133,1660.3298016716753,4961.782856854687,349.36021314548987,349.33946514053866,139.53345301689703,15.593847656249999,0.0,5.549608032918888,0.6653763678154647
87,sortingNetworks,1012,715,,1.4153846153846155,1737.3613135452156,6148.167790379999,367.32559143275216,367.29987496571,175.45159348659712,15.593884277343749,0.0,5.514821513663401,0.71741803854741
