,appName,coreF,memF,cold_miss,c_to_m,modelled_cycle,real_cycle,mem_del,mem_lat,shm_del,shm_offset,shm_lat,compute_del,compute_offset,compute_lat,sm_del,sm_lat,tex_del,insts,exec_rounds,abe
0,cusparse,1417,5005,563.072779221,0.283116883117,138829.69563182967,151080.305584,138266.622853,99775.3086855,10491.6503296,3.21948903566,5138.0,4.0,0.0,0.0,10495.6503296,5138.0,92784.015636,0.0,98.4150842329,0.081086743271770387
1,cusparse,1417,5005,563.072779221,0.283116883117,111687.51747104299,131122.918479,111124.444692,81006.763856,10457.975584,3.68466869543,5138.0,4.0,0.0,0.0,10461.975584,5138.0,69850.6702425,0.0,98.7328321412,0.148222761001741
2,cusparse,1417,5005,563.072779221,0.283116883117,199179.71609700078,213254.462787,198616.643318,145344.940999,20525.6862784,3.92750709384,10108.0,4.0,0.0,0.0,20529.6862784,10108.0,93604.681164,0.0,49.4175468231,0.065999775600168814
3,cusparse,1417,5005,563.072779221,0.283116883117,113463.0466578058,127988.037002,112899.973879,83354.2670512,8409.1255552,2.84161857611,4172.0,4.0,0.0,0.0,8413.1255552,4172.0,47689.233306,0.0,49.8841692516,0.11348709367457396
4,cusparse,1417,5005,563.072779221,0.283116883117,171951.20334418965,179615.875328,171388.130565,126028.511389,16504.3837936,3.68093796144,8169.0,4.0,0.0,0.0,16508.3837936,8169.0,59226.465999,0.0,24.8426426219,0.042672575406016822
5,cusparse,1417,5005,563.072779221,0.283116883117,70582.306410723482,71828.7793064,70019.2336315,52086.9685801,6472.7422048,3.62858012551,3241.0,4.0,0.0,0.0,6476.7422048,3241.0,22423.008898,0.0,25.1978958501,0.017353391045785743
6,spgemm,1417,5005,563.072779221,0.283116883117,504778.49338956142,621168.246048,404967.410135,284244.313708,175484.330865,32.7528832325,86956.6660156,328731.089746,28.6898160852,76169.5004883,504215.42061,163126.166504,157694.427231,19042.3751221,18.6427604335,0.18737234782881854
7,spgemm,1417,5005,563.072779221,0.283116883117,386696.68609852006,490134.417302,330779.014675,232096.515787,133700.907088,30.5731513555,66229.6386719,252432.706231,26.9927622978,58473.5565186,386133.613319,124703.19519,127404.053604,14618.3891296,18.6374020626,0.21103951804312801
8,spgemm,1417,5005,563.072779221,0.283116883117,263435.75748059712,349205.422743,241219.729969,169544.4126,90601.1339557,28.2629963734,44940.8613281,172271.550746,25.1324057327,39962.9234619,262872.684701,84903.78479,91433.8104689,9990.73086548,18.6645867318,0.24561378396951236
9,spgemm,1417,5005,563.072779221,0.283116883117,135894.16391904544,189859.340789,135331.09114,95542.5827364,45794.9179325,24.9572405704,22787.6933594,87212.1075422,22.2337918877,20300.9956299,133007.025475,43088.6889893,49117.6283452,5075.24890747,18.7294524737,0.2842376711396038
10,spgemm,1417,5005,563.072779221,0.283116883117,89913.536896963051,122019.452612,89350.4641177,63321.5703719,27809.134435,22.4764565684,13870.9101562,52585.1501761,19.8893104522,12274.3030029,80394.2846111,26145.2131592,30655.225975,3068.57575073,18.7815471299,0.2631212894966502
11,spgemm,1417,5005,563.072779221,0.283116883117,39773.045475891289,50681.433107,39209.9726967,28110.9252345,9424.5693535,15.8977135341,4724.78125,16916.4037033,13.3777309082,3975.84545898,26340.9730568,8700.62670898,10775.1954581,993.961364746,18.9142342912,0.21523439576131354
