,appName,coreF,memF,n_shm_ld,n_shm_st,n_gld,n_gst,l2_miss,l2_hit,mem_insts,insts,act_util,L_DM,D_DM,n_shm,tex_trans,fp_insts,dp_insts
7,BlackScholes,500,500,0.0,0.0,12.235560825892858,8.001116071428571,1.0,0.0,20.23667689732143,142.76332310267856,0.896668,500.1,9.78626,0.0,12.0,87.39152526855469,0.0
8,BlackScholes,500,600,0.0,0.0,12.0224609375,8.000418526785714,0.9938581700621499,0.006141829937850063,20.022879464285715,142.97712053571428,0.881057,462.97,7.931597222222222,0.0,12.0,87.39152526855469,0.0
9,BlackScholes,500,700,0.0,0.0,12.021623883928571,8.000418526785714,0.996645020136847,0.003354979863153029,20.022042410714285,142.97795758928572,0.873793,436.4485714285714,6.661602040816327,0.0,12.0,87.39152526855469,0.0
10,BlackScholes,500,800,0.0,0.0,12.024762834821429,8.000418526785714,0.9974501969827331,0.0025498030172669273,20.025181361607142,142.97481863839286,0.868648,416.5575,5.7390546875,0.0,12.0,87.39152526855469,0.0
11,BlackScholes,500,900,0.0,0.0,12.01806640625,8.000418526785714,0.9980138334756172,0.001986166524382771,20.018484933035715,142.98151506696428,0.8681200000000001,401.08666666666664,5.039265432098766,0.0,12.0,87.39152526855469,0.0
6,BlackScholes,500,1000,0.0,0.0,12.0224609375,8.000418526785714,0.9977913101641537,0.0022086898358463225,20.022879464285715,142.97712053571428,0.860716,388.71,4.490615,0.0,12.0,87.39152526855469,0.0
13,BlackScholes,600,500,0.0,0.0,12.018903459821429,8.000418526785714,0.9939616093548016,0.006038390645198399,20.019321986607142,142.98067801339286,0.900495,544.656,11.743512,0.0,12.0,87.39152526855469,0.0
14,BlackScholes,600,600,0.0,0.0,12.019949776785714,8.00048828125,0.9929898645705943,0.007010135429405651,20.020438058035715,142.97956194196428,0.8871760000000001,500.1,9.517916666666666,0.0,12.0,87.39152526855469,0.0
15,BlackScholes,600,700,0.0,0.0,12.018903459821429,8.000418526785714,0.9956933347735342,0.004306665226465833,20.019321986607142,142.98067801339286,0.8803479999999999,468.2742857142857,7.993922448979591,0.0,12.0,87.39152526855469,0.0
16,BlackScholes,600,800,0.0,0.0,12.0224609375,8.000418526785714,0.9959727989743875,0.004027201025612492,20.022879464285715,142.97712053571428,0.8759899999999999,444.405,6.886865625,0.0,12.0,87.39152526855469,0.0
17,BlackScholes,600,900,0.0,0.0,12.016392299107142,8.000418526785714,0.9980485153034735,0.0019514846965265065,20.016810825892854,142.98318917410714,0.870682,425.84000000000003,6.047118518518519,0.0,12.0,87.39152526855469,0.0
12,BlackScholes,600,1000,0.0,0.0,12.013253348214286,8.000418526785714,0.9977902940233379,0.0022097059766621463,20.013671875,142.986328125,0.8667389999999999,410.988,5.388738,0.0,12.0,87.39152526855469,0.0
19,BlackScholes,700,500,0.0,0.0,12.019740513392858,8.000418526785714,0.9932266932395848,0.00677330676041521,20.02015904017857,142.97984095982144,0.903123,589.212,13.700764000000001,0.0,12.0,87.39152526855469,0.0
20,BlackScholes,700,600,0.0,0.0,12.014927455357142,8.000418526785714,0.9922422806161569,0.007757719383843065,20.015345982142854,142.98465401785714,0.8902479999999999,537.23,11.10423611111111,0.0,12.0,87.39152526855469,0.0
21,BlackScholes,700,700,0.0,0.0,12.029994419642858,8.000418526785714,0.9945256237027957,0.005474376297204264,20.03041294642857,142.96958705357144,0.885493,500.1,9.326242857142857,0.0,12.0,87.39152526855469,0.0
22,BlackScholes,700,800,0.0,0.0,12.021554129464286,8.000418526785714,0.9962478443395405,0.0037521556604594997,20.02197265625,142.97802734375,0.8798860000000001,472.2525,8.0346765625,0.0,12.0,87.39152526855469,0.0
