,appName,coreF,memF,n_shm_ld,n_shm_st,n_gld,n_gst,l2_miss,l2_hit,mem_insts,insts,act_util,L_DM,D_DM,n_shm,tex_trans,fp_insts,dp_insts
3,BlackScholes,607,715,0.0,0.0,16.000330357142857,12.681029017857142,0.7694452025951088,0.23055479740489115,28.681359375,136.318640625,0.9291370000000001,300.9611643356643,2.0217591129150567,0.0,16.0,87.39158133370536,0.0
4,BlackScholes,810,715,0.0,0.0,16.000316964285716,12.532004464285714,0.7578597815134466,0.24214021848655343,28.53232142857143,136.46767857142856,0.9179200000000001,308.8675174825175,2.69789931047973,0.0,16.0,87.39158133370536,0.0
0,BlackScholes,1012,715,0.0,0.0,16.00025,12.479731026785714,0.7563376185723815,0.24366238142761854,28.479981026785715,136.5200189732143,0.921277,316.73492307692305,3.370708768154922,0.0,16.0,87.39158133370536,0.0
1,BlackScholes,1202,715,0.0,0.0,16.000252232142856,12.338887276785714,0.739940451016032,0.260059548983968,28.339139508928568,136.66086049107145,0.917689,324.13495804195804,4.003549347156341,0.0,16.0,87.39158133370536,0.0
2,BlackScholes,1328,715,0.0,0.0,16.000390625,12.3118828125,0.7404655989639146,0.2595344010360854,28.312273437500004,136.6877265625,0.9167370000000001,329.04234965034965,4.423222573230965,0.0,16.0,87.39158133370536,0.0
8,SobolQRNG,607,715,2054.0,0.5,2.0965,8461.1275,0.9928824405451161,0.007117559454883904,10517.349,32576.650999999998,0.48701400000000006,300.9611643356643,2.0217591129150567,2054.5,2.0,2048.0,0.0
9,SobolQRNG,810,715,2054.0,0.5,2.139,8362.593,1.0,0.0,10418.857,32675.143,0.5205489999999999,308.8675174825175,2.69789931047973,2054.5,2.0,2048.0,0.0
5,SobolQRNG,1012,715,2054.0,0.5,2.15,8277.445,1.0,0.0,10333.72,32760.28,0.5379,316.73492307692305,3.370708768154922,2054.5,2.0,2048.0,0.0
6,SobolQRNG,1202,715,2054.0,0.5,2.124,8287.877,1.0,0.0,10344.126,32749.874,0.541447,324.13495804195804,4.003549347156341,2054.5,2.0,2048.0,0.0
7,SobolQRNG,1328,715,2054.0,0.5,2.0865,8196.103,1.0,0.0,10252.314499999999,32841.6855,0.5430020000000001,329.04234965034965,4.423222573230965,2054.5,2.0,2048.0,0.0
13,backpropForward,607,715,6.75,4.875,4.750370025634766,6.000049591064453,0.8379207269429181,0.16207927305708192,18.71916961669922,266.0308303833008,0.978934,300.9611643356643,2.0217591129150567,11.625,6.0,25.9375,0.0
14,backpropForward,810,715,6.75,4.875,4.750453948974609,6.000049591064453,0.8380252503388712,0.1619747496611288,18.719253540039062,266.03074645996094,0.9770719999999999,308.8675174825175,2.69789931047973,11.625,6.0,25.9375,0.0
10,backpropForward,1012,715,6.75,4.875,4.750335693359375,6.000049591064453,0.83807137237953,0.16192862762047,18.719135284423828,266.0308647155762,0.9762639999999999,316.73492307692305,3.370708768154922,11.625,6.0,25.9375,0.0
11,backpropForward,1202,715,6.75,4.875,4.750389099121094,6.000049591064453,0.8381882098374012,0.16181179016259883,18.719188690185547,266.03081130981445,0.976259,324.13495804195804,4.003549347156341,11.625,6.0,25.9375,0.0
12,backpropForward,1328,715,6.75,4.875,4.750335693359375,6.000049591064453,0.8382030190738673,0.1617969809261327,18.719135284423828,266.0308647155762,0.9762,329.04234965034965,4.423222573230965,11.625,6.0,25.9375,0.0
18,conjugateGradient,607,715,6.0,2.0,9.24826717376709,1.0000238418579102,0.9059520317673965,0.09404796823260353,16.748291015625,74.251708984375,0.857977,300.9611643356643,2.0217591129150567,8.0,20.0,4.2499998807907104,0.0
19,conjugateGradient,810,715,6.0,2.0,9.247710227966309,1.144242286682129,0.8930782310178299,0.1069217689821701,16.891952514648438,74.10804748535156,0.8964620000000001,308.8675174825175,2.69789931047973,8.0,20.0,4.2499998807907104,0.0
15,conjugateGradient,1012,715,6.0,2.0,9.247414588928223,1.0226068496704102,0.8944861396217143,0.1055138603782857,16.770021438598633,74.22997856140137,0.90323,316.73492307692305,3.370708768154922,8.0,20.0,4.2499998807907104,0.0
16,conjugateGradient,1202,715,6.0,2.0,9.245518684387207,1.0000123977661133,0.886358258763808,0.11364174123619197,16.74553108215332,74.25446891784668,0.8955209999999999,324.13495804195804,4.003549347156341,8.0,20.0,4.2499998807907104,0.0
17,conjugateGradient,1328,715,6.0,2.0,9.244735717773438,1.0000123977661133,0.9005604615059376,0.0994395384940624,16.74474811553955,74.25525188446045,0.900266,329.04234965034965,4.423222573230965,8.0,20.0,4.2499998807907104,0.0
23,convolutionSeparable,607,715,258.0,20.0,39.8877392578125,36.51956298828125,0.9034293399141902,0.09657066008580983,339.40730224609376,0.0,0.764143,300.9611643356643,2.0217591129150567,278.0,39.9,136.0,0.0
