,appName,coreF,memF,n_shm_ld,n_shm_st,n_gld,n_gst,l2_miss,l2_hit,mem_insts,insts,act_util,L_DM,D_DM,n_shm,tex_trans,fp_insts,dp_insts,int_insts,branch_insts
3,BlackScholes,802,877,0.0,0.0,12.000122767857142,8.703616071428572,0.9659825719453062,0.034017428054693766,20.703738839285712,137.2962611607143,0.844461,157.67408209806155,2.5481986961875056,0.0,4.0,83.39158133370536,0.0,24.0,2.5625
4,BlackScholes,945,877,0.0,0.0,12.000142857142857,8.709489955357142,0.9657042037082577,0.034295796291742286,20.709632812499997,137.2903671875,0.8448120000000001,162.03256556442417,3.0025533265551037,0.0,4.0,83.39158133370536,0.0,24.0,2.5625
0,BlackScholes,1087,877,0.0,0.0,12.000129464285715,8.726790178571429,0.9648993717194039,0.035100628280596124,20.726919642857144,137.27308035714285,0.851993,166.36057012542759,3.4537306518152353,0.0,4.0,83.39158133370536,0.0,24.0,2.5625
1,BlackScholes,1237,877,0.0,0.0,12.000147321428571,8.837614955357143,0.9597667674398862,0.040233232560113796,20.837762276785714,137.16223772321428,0.8634350000000001,170.93240592930442,3.930326417935093,0.0,4.0,83.39158133370536,0.0,24.0,2.5625
2,BlackScholes,1380,877,0.0,0.0,12.000159598214285,8.788715401785714,0.9620252654879801,0.037974734512019936,20.788874999999997,137.211125,0.871798,175.29088939566702,4.38468104830269,0.0,4.0,83.39158133370536,0.0,24.0,2.5625
8,SobolQRNG,802,877,2207.729,0.5005,2.0955,8433.0845,0.9711971765866289,0.028802823413371148,10643.034125,32441.965875,0.380995,157.67408209806155,2.5481986961875056,2208.2295,2055.5,2048.0,0.0,32817.5,385.375
9,SobolQRNG,945,877,2205.054,0.5005,2.0535,8462.886,0.9677768518014807,0.03222314819851935,10670.118625000001,32414.881374999997,0.38131,162.03256556442417,3.0025533265551037,2205.5545,2055.5,2048.0,0.0,32817.5,385.375
5,SobolQRNG,1087,877,2186.853,0.5005,2.0785,8487.651,0.9649552438625989,0.0350447561374011,10676.707625000001,32408.292374999997,0.38239,166.36057012542759,3.4537306518152353,2187.3535,2055.5,2048.0,0.0,32817.5,385.375
6,SobolQRNG,1237,877,2172.547,0.5005,2.071,8481.3815,0.9656758849065283,0.03432411509347166,10656.124625,32428.875375,0.383984,170.93240592930442,3.930326417935093,2173.0475,2055.5,2048.0,0.0,32817.5,385.375
7,SobolQRNG,1380,877,2159.74,0.5005,2.079,8376.043,0.9778192535272225,0.022180746472777457,10537.987125,32547.012875,0.384427,175.29088939566702,4.38468104830269,2160.2405,2055.5,2048.0,0.0,32817.5,385.375
13,backpropForward,802,877,8.329071044921875,4.978248596191406,4.750419616699219,6.00006103515625,0.8349321227149211,0.16506787728507888,20.324113845825195,124.6758861541748,0.922665,157.67408209806155,2.5481986961875056,13.307319641113281,11.822212219238281,5.9375,0.0,54.5625,0.4375
14,backpropForward,945,877,8.327228546142578,4.978862762451172,4.750396728515625,6.00006103515625,0.8349629972379219,0.1650370027620781,20.322402000427246,124.67759799957275,0.923,162.03256556442417,3.0025533265551037,13.30609130859375,11.821990966796875,5.9375,0.0,54.5625,0.4375
10,backpropForward,1087,877,8.312458038330078,4.978038787841797,4.750518798828125,6.00006103515625,0.8349201618054077,0.16507983819459227,20.307547569274902,124.6924524307251,0.924538,166.36057012542759,3.4537306518152353,13.290496826171875,11.821601867675781,5.9375,0.0,54.5625,0.4375
11,backpropForward,1237,877,8.293537139892578,4.974941253662109,4.750358581542969,6.00006103515625,0.8349730568690613,0.16502694313093869,20.287692070007324,124.71230792999268,0.92674,170.93240592930442,3.930326417935093,13.268478393554688,11.82137680053711,5.9375,0.0,54.5625,0.4375
12,backpropForward,1380,877,8.271080017089844,4.970043182373047,4.750438690185547,6.00006103515625,0.8350111898498995,0.16498881015010047,20.264090538024902,124.7359094619751,0.929582,175.29088939566702,4.38468104830269,13.24112319946289,11.821182250976562,5.9375,0.0,54.5625,0.4375
18,conjugateGradient,802,877,6.940420150756836,2.1194028854370117,9.24974250793457,1.4255008697509766,0.8496419983769593,0.1503580016230407,18.145514249801636,69.85448575019836,0.846733,157.67408209806155,2.5481986961875056,9.059823036193848,19.117572784423828,4.2499998807907104,0.0,27.499999821186066,1.5
