kernel,coreF,memF,real,predict
BlackScholes,1600,5500,4007.721988,4270.656033
BlackScholes,1700,5500,4263.769504,4517.712294
BlackScholes,1600,5000,4476.787960,4714.426107
BlackScholes,1800,5500,4530.660445,4766.517477
BlackScholes,1700,5000,4770.388410,4990.905824
BlackScholes,1900,5500,4792.535941,5012.380857
BlackScholes,1600,4500,4929.778917,5270.084683
BlackScholes,1800,5000,5060.977178,5267.115350
BlackScholes,2000,5500,5070.174854,5259.545582
BlackScholes,1700,4500,5247.649186,5580.146744
BlackScholes,1900,5000,5363.139957,5538.794702
BlackScholes,1600,4000,5647.560365,5976.699303
BlackScholes,1800,4500,5571.566053,5889.347032
BlackScholes,2000,5000,5650.091566,5817.973383
BlackScholes,1900,4500,5915.339778,6193.006982
BlackScholes,1700,4000,6010.138346,6333.204693
BlackScholes,2000,4500,6220.981343,6507.215078
BlackScholes,1800,4000,6369.393752,6684.541429
BlackScholes,1900,4000,6760.063199,7036.462582
BlackScholes,2000,4000,7132.244262,7391.588499
SobolQRNG,1600,5500,2198914.053898,1660172.689487
SobolQRNG,1700,5500,2358937.781706,1761318.928385
SobolQRNG,1600,5000,2481762.372813,1850841.609941
SobolQRNG,1800,5500,2502321.228611,1862601.558366
SobolQRNG,1700,5000,2650441.807418,1989657.803924
SobolQRNG,1900,5500,2639682.620888,1975807.959580
SobolQRNG,1600,4500,2697164.524544,2102028.178632
SobolQRNG,1800,5000,2722443.120230,2081888.686068
SobolQRNG,2000,5500,2764656.183296,2094300.904386
SobolQRNG,1700,4500,2829578.494660,2240612.479908
SobolQRNG,1900,5000,2859146.986591,2208233.197658
SobolQRNG,1600,4000,2977456.754299,2402935.486150
SobolQRNG,1800,4500,2955013.081574,2368849.610983
SobolQRNG,2000,5000,2993581.882368,2340752.130167
SobolQRNG,1900,4500,3103824.847935,2501081.180208
SobolQRNG,1700,4000,3151785.301468,2552994.688768
SobolQRNG,2000,4500,3270817.669325,2632365.723114
SobolQRNG,1800,4000,3340607.791288,2715643.819120
SobolQRNG,1900,4000,3529603.407053,2866569.981372
SobolQRNG,2000,4000,3720506.799206,3026551.056510
backpropBackward,1600,5500,12203.442183,5304.194709
backpropBackward,1700,5500,12279.723301,5528.464747
backpropBackward,1600,5000,12207.488856,5709.237823
backpropBackward,1800,5500,12188.739354,5753.394759
backpropBackward,1700,5000,12212.858363,5959.011749
backpropBackward,1900,5500,12264.384463,5978.004983
backpropBackward,1600,4500,12212.820955,6215.714799
backpropBackward,1800,5000,12164.944675,6209.761536
backpropBackward,2000,5500,12485.504684,6215.714107
backpropBackward,1700,4500,12182.604477,6497.811198
backpropBackward,1900,5000,12326.356400,6459.238136
backpropBackward,1600,4000,12106.530870,6866.649303
backpropBackward,1800,4500,12164.519858,6779.317938
backpropBackward,2000,5000,12307.557727,6734.933160
backpropBackward,1900,4500,12328.645110,7061.689923
backpropBackward,1700,4000,12285.462334,7189.030594
backpropBackward,2000,4500,12301.357029,7343.554757
backpropBackward,1800,4000,12162.716961,7511.651846
backpropBackward,1900,4000,12325.023708,7835.000386
backpropBackward,2000,4000,12609.079660,8159.902342
backpropForward,1600,5500,5564.807815,5431.580939
backpropForward,1700,5500,5591.630085,5435.504034
backpropForward,1600,5000,5577.605352,5438.393343
backpropForward,1800,5500,5616.051297,5439.688090
backpropForward,1700,5000,5608.900034,5442.725421
backpropForward,1900,5500,5693.942895,5443.971064
backpropForward,1600,4500,5570.941872,5446.282703
backpropForward,1800,5000,5635.031267,5447.419434
backpropForward,2000,5500,5709.693560,5448.084979
backpropForward,1700,4500,5605.002640,5451.345172
backpropForward,1900,5000,5717.324803,5451.981193
backpropForward,1600,4000,5589.337426,5456.988605
backpropForward,1800,4500,5649.039457,5456.470021
backpropForward,2000,5000,5763.693565,5456.478583
backpropForward,1900,4500,5714.628873,5461.660585
backpropForward,1700,4000,5587.662672,5462.244817
backpropForward,2000,4500,5747.184410,5467.264973
backpropForward,1800,4000,5659.977925,5468.356688
backpropForward,1900,4000,5743.200148,5474.326857
backpropForward,2000,4000,5749.533181,5480.732246
binomialOptions,1600,5500,15375949.544200,4063384.150188
binomialOptions,1700,5500,15426021.690625,4059949.895466
binomialOptions,1600,5000,15355256.931000,4060816.090583
binomialOptions,1800,5500,15432420.231900,4059529.611400
binomialOptions,1700,5000,15463565.571453,4059812.979295
binomialOptions,1900,5500,15698904.773169,4059001.038724
binomialOptions,1600,4500,15346131.090150,4060082.475682
binomialOptions,1800,5000,15334236.851063,4056694.459640
binomialOptions,2000,5500,15828851.696000,4057462.410575
