kernel,coreF,memF,real,predict
BlackScholes,400,1000,4379.717467,4413.020426
BlackScholes,400,900,4776.857258,4933.459757
BlackScholes,400,800,5385.673938,5606.618746
BlackScholes,500,1000,5256.556069,5490.359964
BlackScholes,500,900,5831.250609,6111.112358
BlackScholes,400,700,6272.691885,6508.181728
BlackScholes,600,1000,6237.479991,6525.367442
BlackScholes,500,800,6742.196136,6989.991091
BlackScholes,400,600,7528.779765,7731.217438
BlackScholes,600,900,7014.447497,7319.845452
BlackScholes,700,1000,7289.276295,7604.816580
BlackScholes,500,700,7863.022661,8118.351676
BlackScholes,600,800,8017.138472,8321.295850
BlackScholes,700,900,8204.900098,8528.293161
BlackScholes,400,500,9302.629884,9638.149579
BlackScholes,800,1000,8347.524983,8682.017815
BlackScholes,500,600,9274.916963,9573.256533
BlackScholes,600,700,9450.699254,9751.420265
BlackScholes,700,800,9366.064625,9700.848787
BlackScholes,800,900,9392.869126,9736.459550
BlackScholes,900,1000,9413.601604,9762.250637
BlackScholes,400,400,12001.764937,12492.292799
BlackScholes,500,500,11685.377578,12016.931642
BlackScholes,600,600,11337.586165,11577.422470
BlackScholes,700,700,10922.658296,11258.303587
BlackScholes,800,800,10729.336227,11075.939031
BlackScholes,900,900,10589.242594,10951.222138
BlackScholes,1000,1000,10478.463187,10839.527189
BlackScholes,1000,900,11772.518875,12158.091779
BlackScholes,900,800,12079.851754,12452.491482
BlackScholes,800,700,12496.077458,12857.123354
BlackScholes,700,600,13252.073450,13522.190496
BlackScholes,600,500,14100.722506,14400.154972
BlackScholes,500,400,15086.806957,15689.312782
BlackScholes,1000,800,13438.661763,13827.183714
BlackScholes,900,700,14065.984519,14446.571633
BlackScholes,800,600,14959.242115,15307.686568
BlackScholes,700,500,16513.143543,16783.672477
BlackScholes,1000,700,15659.474815,16048.394129
BlackScholes,600,400,18236.259277,18735.382553
BlackScholes,900,600,16834.791684,17193.936952
BlackScholes,800,500,18659.923575,18939.246901
BlackScholes,1000,600,18738.777017,19103.631843
BlackScholes,700,400,20942.283969,21534.045930
BlackScholes,900,500,21049.524804,21287.252703
BlackScholes,800,400,23993.888187,24595.912129
BlackScholes,1000,500,23432.403250,23630.624328
BlackScholes,900,400,27054.466102,27655.612351
BlackScholes,1000,400,30075.438280,30699.504268
SobolQRNG,400,1000,2415608.856576,1397594.866016
SobolQRNG,400,900,2440695.917568,1581378.228597
SobolQRNG,400,800,2458812.432794,1802075.864987
SobolQRNG,500,1000,2414267.505664,1759619.004783
SobolQRNG,500,900,2437391.160115,1978951.597937
SobolQRNG,400,700,2485516.494848,2093048.412487
SobolQRNG,600,1000,2398326.432092,2095399.134882
SobolQRNG,500,800,2462473.789414,2250329.860382
SobolQRNG,400,600,2561042.374656,2491535.887959
