kernel,coreF,memF,real,predict,error
BlackScholes,1600,5500,4007.721988,4270.656033,0.065607
BlackScholes,1700,5500,4263.769504,4517.712294,0.059558
BlackScholes,1600,5000,4476.787960,4714.426107,0.053082
BlackScholes,1800,5500,4530.660445,4766.517477,0.052058
BlackScholes,1700,5000,4770.388410,4990.905824,0.046226
BlackScholes,1900,5500,4792.535941,5012.380857,0.045872
BlackScholes,1600,4500,4929.778917,5270.084683,0.069031
BlackScholes,1800,5000,5060.977178,5267.115350,0.040731
BlackScholes,2000,5500,5070.174854,5259.545582,0.037350
BlackScholes,1700,4500,5247.649186,5580.146744,0.063361
BlackScholes,1900,5000,5363.139957,5538.794702,0.032752
BlackScholes,1600,4000,5647.560365,5976.699303,0.058280
BlackScholes,1800,4500,5571.566053,5889.347032,0.057036
BlackScholes,2000,5000,5650.091566,5817.973383,0.029713
BlackScholes,1900,4500,5915.339778,6193.006982,0.046940
BlackScholes,1700,4000,6010.138346,6333.204693,0.053754
BlackScholes,2000,4500,6220.981343,6507.215078,0.046011
BlackScholes,1800,4000,6369.393752,6684.541429,0.049478
BlackScholes,1900,4000,6760.063199,7036.462582,0.040887
BlackScholes,2000,4000,7132.244262,7391.588499,0.036362
SobolQRNG,1600,5500,2198914.053898,1660172.689487,0.245003
SobolQRNG,1700,5500,2358937.781706,1761318.928385,0.253342
SobolQRNG,1600,5000,2481762.372813,1850841.609941,0.254223
SobolQRNG,1800,5500,2502321.228611,1862601.558366,0.255650
SobolQRNG,1700,5000,2650441.807418,1989657.803924,0.249311
SobolQRNG,1900,5500,2639682.620888,1975807.959580,0.251498
SobolQRNG,1600,4500,2697164.524544,2102028.178632,0.220653
SobolQRNG,1800,5000,2722443.120230,2081888.686068,0.235287
SobolQRNG,2000,5500,2764656.183296,2094300.904386,0.242473
SobolQRNG,1700,4500,2829578.494660,2240612.479908,0.208146
SobolQRNG,1900,5000,2859146.986591,2208233.197658,0.227660
SobolQRNG,1600,4000,2977456.754299,2402935.486150,0.192957
SobolQRNG,1800,4500,2955013.081574,2368849.610983,0.198362
SobolQRNG,2000,5000,2993581.882368,2340752.130167,0.218076
SobolQRNG,1900,4500,3103824.847935,2501081.180208,0.194194
SobolQRNG,1700,4000,3151785.301468,2552994.688768,0.189985
SobolQRNG,2000,4500,3270817.669325,2632365.723114,0.195196
SobolQRNG,1800,4000,3340607.791288,2715643.819120,0.187081
SobolQRNG,1900,4000,3529603.407053,2866569.981372,0.187849
SobolQRNG,2000,4000,3720506.799206,3026551.056510,0.186522
backpropForward,1600,5500,5564.807815,5431.580939,0.023941
backpropForward,1700,5500,5591.630085,5435.504034,0.027921
backpropForward,1600,5000,5577.605352,5438.393343,0.024959
backpropForward,1800,5500,5616.051297,5439.688090,0.031403
backpropForward,1700,5000,5608.900034,5442.725421,0.029627
backpropForward,1900,5500,5693.942895,5443.971064,0.043901
backpropForward,1600,4500,5570.941872,5446.282703,0.022377
backpropForward,1800,5000,5635.031267,5447.419434,0.033294
backpropForward,2000,5500,5709.693560,5448.084979,0.045818
backpropForward,1700,4500,5605.002640,5451.345172,0.027414
backpropForward,1900,5000,5717.324803,5451.981193,0.046410
backpropForward,1600,4000,5589.337426,5456.988605,0.023679
backpropForward,1800,4500,5649.039457,5456.470021,0.034089
backpropForward,2000,5000,5763.693565,5456.478583,0.053302
backpropForward,1900,4500,5714.628873,5461.660585,0.044267
backpropForward,1700,4000,5587.662672,5462.244817,0.022445
backpropForward,2000,4500,5747.184410,5467.264973,0.048705
backpropForward,1800,4000,5659.977925,5468.356688,0.033855
backpropForward,1900,4000,5743.200148,5474.326857,0.046816
backpropForward,2000,4000,5749.533181,5480.732246,0.046752
conjugateGradient,1600,5500,2674.336188,2577.457268,0.036225
conjugateGradient,1700,5500,2789.664458,2689.367097,0.035953
conjugateGradient,1600,5000,2828.626635,2787.861943,0.014411
conjugateGradient,1800,5500,2894.734590,2793.608398,0.034935
