kernel,coreF,memF,real,predict,error
BlackScholes,1600,5500,4007.721988,9385.424628,1.341835
BlackScholes,1700,5500,4263.769504,9415.224557,1.208193
BlackScholes,1600,5000,4476.787960,9432.386026,1.106954
BlackScholes,1800,5500,4530.660445,9445.771204,1.084855
BlackScholes,1700,5000,4770.388410,9463.673799,0.983837
BlackScholes,1900,5500,4792.535941,9467.480838,0.975464
BlackScholes,1600,4500,4929.778917,9483.163683,0.923649
BlackScholes,1800,5000,5060.977178,9491.248442,0.875379
BlackScholes,2000,5500,5070.174854,9486.299897,0.871001
BlackScholes,1700,4500,5247.649186,9509.338881,0.812114
BlackScholes,1900,5000,5363.139957,9507.713626,0.772789
BlackScholes,1600,4000,5647.560365,9523.521210,0.686307
BlackScholes,1800,4500,5571.566053,9532.054196,0.710839
BlackScholes,2000,5000,5650.091566,9523.704660,0.685584
BlackScholes,1900,4500,5915.339778,9543.325836,0.613318
BlackScholes,1700,4000,6010.138346,9551.536023,0.589237
BlackScholes,2000,4500,6220.981343,9570.877631,0.538484
BlackScholes,1800,4000,6369.393752,9569.211910,0.502374
BlackScholes,1900,4000,6760.063199,9586.331784,0.418083
BlackScholes,2000,4000,7132.244262,9606.746423,0.346946
fastWalshTransform,1600,5500,6166.847422,2507.527470,0.593386
fastWalshTransform,1700,5500,6556.828047,2511.232307,0.617005
fastWalshTransform,1600,5000,6879.186772,2516.345259,0.634209
fastWalshTransform,1800,5500,6955.213926,2515.766891,0.638291
fastWalshTransform,1700,5000,7312.106301,2522.355942,0.655044
fastWalshTransform,1900,5500,7341.311548,2519.701272,0.656778
fastWalshTransform,1600,4500,7570.630604,2529.251380,0.665913
fastWalshTransform,1800,5000,7775.996283,2524.439004,0.675355
fastWalshTransform,2000,5500,7731.715704,2523.342390,0.673637
fastWalshTransform,1700,4500,8059.142988,2534.779215,0.685478
fastWalshTransform,1900,5000,8189.880962,2529.737236,0.691114
fastWalshTransform,1600,4000,8684.683924,2542.497295,0.707244
fastWalshTransform,1800,4500,8556.258182,2538.418713,0.703326
fastWalshTransform,2000,5000,8653.654638,2535.109220,0.707048
fastWalshTransform,1900,4500,9075.343424,2544.156537,0.719663
fastWalshTransform,1700,4000,9229.633978,2547.575152,0.723979
fastWalshTransform,2000,4500,9557.772646,2549.273162,0.733277
fastWalshTransform,1800,4000,9792.603992,2552.099424,0.739385
fastWalshTransform,1900,4000,10330.193156,2557.304172,0.752444
fastWalshTransform,2000,4000,10945.990480,2563.075388,0.765843
matrixMulGlobal,1600,5500,793695.663950,1547730.498063,0.950030
matrixMulGlobal,1700,5500,797649.862603,1554449.421911,0.948787
matrixMulGlobal,1600,5000,801022.047000,1570423.948878,0.960525
matrixMulGlobal,1800,5500,812420.466638,1580428.511935,0.945333
matrixMulGlobal,1700,5000,823497.257510,1605305.710726,0.949376
matrixMulGlobal,1900,5500,836711.132275,1600136.343504,0.912412
matrixMulGlobal,1600,4500,812825.057406,1594255.798918,0.961376
matrixMulGlobal,1800,5000,848865.520986,1648931.958165,0.942513
matrixMulGlobal,2000,5500,869617.993781,1650756.690997,0.898255
matrixMulGlobal,1700,4500,842775.716357,1633923.397402,0.938740
matrixMulGlobal,1900,5000,887699.063754,1702124.003967,0.917456
matrixMulGlobal,1600,4000,870636.695906,1704360.315318,0.957602
matrixMulGlobal,1800,4500,870239.089125,1689413.442282,0.941321
matrixMulGlobal,2000,5000,895744.435469,1703140.605064,0.901369
matrixMulGlobal,1900,4500,910230.860299,1722860.439409,0.892773
matrixMulGlobal,1700,4000,888494.429320,1727738.163039,0.944568
matrixMulGlobal,2000,4500,898619.085000,1717592.810577,0.911369
matrixMulGlobal,1800,4000,890557.665170,1731799.284088,0.944623
matrixMulGlobal,1900,4000,892529.330479,1726112.272348,0.933956
matrixMulGlobal,2000,4000,904639.627336,1732324.571148,0.914933
quasirandomGenerator,1600,5500,2142461.016080,6526618.623168,2.046318
quasirandomGenerator,1700,5500,2149486.748547,6522452.153717,2.034423
quasirandomGenerator,1600,5000,2140281.937920,6524087.848993,2.048238
