kernel,coreF,memF,real,predict,error
BlackScholes,1600,5500,4007.721988,4148.496536,0.035126
BlackScholes,1700,5500,4263.769504,4394.357932,0.030627
BlackScholes,1600,5000,4476.787960,4589.690549,0.025220
BlackScholes,1800,5500,4530.660445,4641.966830,0.024567
BlackScholes,1700,5000,4770.388410,4864.811755,0.019794
BlackScholes,1900,5500,4792.535941,4886.628459,0.019633
BlackScholes,1600,4500,4929.778917,5142.037507,0.043056
BlackScholes,1800,5000,5060.977178,5139.664614,0.015548
BlackScholes,2000,5500,5070.174854,5132.618632,0.012316
BlackScholes,1700,4500,5247.649186,5450.523626,0.038660
BlackScholes,1900,5000,5363.139957,5409.981236,0.008734
BlackScholes,1600,4000,5647.560365,5844.257716,0.034829
BlackScholes,1800,4500,5571.566053,5758.159160,0.033490
BlackScholes,2000,5000,5650.091566,5687.900945,0.006692
BlackScholes,1900,4500,5915.339778,6060.256267,0.024498
BlackScholes,1700,4000,6010.138346,6198.908523,0.031409
BlackScholes,2000,4500,6220.981343,6372.885879,0.024418
BlackScholes,1800,4000,6369.393752,6548.402487,0.028105
BlackScholes,1900,4000,6760.063199,6898.480659,0.020476
BlackScholes,2000,4000,7132.244262,7251.754174,0.016756
SobolQRNG,1600,5500,2198914.053898,1657424.558594,0.246253
SobolQRNG,1700,5500,2358937.781706,1758404.140580,0.254578
SobolQRNG,1600,5000,2481762.372813,1847525.465565,0.255559
SobolQRNG,1800,5500,2502321.228611,1859522.678191,0.256881
SobolQRNG,1700,5000,2650441.807418,1986097.524261,0.250654
SobolQRNG,1900,5500,2639682.620888,1972552.119685,0.252731
SobolQRNG,1600,4500,2697164.524544,2097927.977008,0.222173
SobolQRNG,1800,5000,2722443.120230,2078167.100090,0.236654
SobolQRNG,2000,5500,2764656.183296,2091007.577538,0.243665
SobolQRNG,1700,4500,2829578.494660,2236241.197969,0.209691
SobolQRNG,1900,5000,2859146.986591,2204290.757645,0.229039
SobolQRNG,1600,4000,2977456.754299,2397773.317725,0.194691
SobolQRNG,1800,4500,2955013.081574,2364233.049340,0.199925
SobolQRNG,2000,5000,2993581.882368,2336579.045249,0.219470
SobolQRNG,1900,4500,3103824.847935,2496214.044834,0.195762
SobolQRNG,1700,4000,3151785.301468,2547511.014015,0.191724
SobolQRNG,2000,4500,3270817.669325,2627244.980527,0.196762
SobolQRNG,1800,4000,3340607.791288,2709816.385802,0.188825
SobolQRNG,1900,4000,3529603.407053,2860422.662419,0.189591
SobolQRNG,2000,4000,3720506.799206,3020068.297236,0.188264
backpropForward,1600,5500,5564.807815,5732.091341,0.030061
backpropForward,1700,5500,5591.630085,5735.193284,0.025675
backpropForward,1600,5000,5577.605352,5737.636031,0.028692
backpropForward,1800,5500,5616.051297,5738.578655,0.021817
backpropForward,1700,5000,5608.900034,5741.066271,0.023564
backpropForward,1900,5500,5693.942895,5742.071489,0.008453
backpropForward,1600,4500,5570.941872,5743.938295,0.031053
backpropForward,1800,5000,5635.031267,5744.889622,0.019496
backpropForward,2000,5500,5709.693560,5745.379325,0.006250
backpropForward,1700,4500,5605.002640,5748.020184,0.025516
backpropForward,1900,5000,5717.324803,5748.569263,0.005465
backpropForward,1600,4000,5589.337426,5752.733107,0.029233
backpropForward,1800,4500,5649.039457,5752.169841,0.018256
backpropForward,2000,5000,5763.693565,5752.176791,0.001998
backpropForward,1900,4500,5714.628873,5756.390856,0.007308
backpropForward,1700,4000,5587.662672,5756.848330,0.030278
backpropForward,2000,4500,5747.184410,5761.061373,0.002415
backpropForward,1800,4000,5659.977925,5761.892950,0.018006
backpropForward,1900,4000,5743.200148,5766.783650,0.004106
backpropForward,2000,4000,5749.533181,5772.147099,0.003933
conjugateGradient,1600,5500,2674.336188,2482.749801,0.071639
conjugateGradient,1700,5500,2789.664458,2593.712904,0.070242
conjugateGradient,1600,5000,2828.626635,2691.369731,0.048524
conjugateGradient,1800,5500,2894.734590,2696.865487,0.068355
conjugateGradient,1700,5000,2962.459532,2815.798446,0.049507
conjugateGradient,1900,5500,3028.498902,2815.487320,0.070336
conjugateGradient,1600,4500,2998.818874,2936.546901,0.020765
conjugateGradient,1800,5000,3082.354331,2929.128242,0.049711
