kernel,coreF,memF,real,predict,error
BlackScholes,1600,5500,4007.721988,3576.154599,0.107684
BlackScholes,1700,5500,4263.769504,3606.329057,0.154192
BlackScholes,1600,5000,4476.787960,3627.442888,0.189722
BlackScholes,1800,5500,4530.660445,3636.766515,0.197299
BlackScholes,1700,5000,4770.388410,3660.536573,0.232654
BlackScholes,1900,5500,4792.535941,3664.910051,0.235288
BlackScholes,1600,4500,4929.778917,3689.274103,0.251635
BlackScholes,1800,5000,5060.977178,3692.674301,0.270363
BlackScholes,2000,5500,5070.174854,3692.149131,0.271791
BlackScholes,1700,4500,5247.649186,3724.162577,0.290318
BlackScholes,1900,5000,5363.139957,3721.892057,0.306024
BlackScholes,1600,4000,5647.560365,3761.700312,0.333925
BlackScholes,1800,4500,5571.566053,3758.084020,0.325489
BlackScholes,2000,5000,5650.091566,3750.359507,0.336230
BlackScholes,1900,4500,5915.339778,3788.914212,0.359476
BlackScholes,1700,4000,6010.138346,3801.043335,0.367561
BlackScholes,2000,4500,6220.981343,3824.327330,0.385253
BlackScholes,1800,4000,6369.393752,3837.532255,0.397504
BlackScholes,1900,4000,6760.063199,3873.901579,0.426943
BlackScholes,2000,4000,7132.244262,3911.279286,0.451606
backpropForward,1600,5500,5564.807815,5976.866930,0.074047
backpropForward,1700,5500,5591.630085,5993.453679,0.071862
backpropForward,1600,5000,5577.605352,6006.044373,0.076814
backpropForward,1800,5500,5616.051297,6010.084177,0.070162
backpropForward,1700,5000,5608.900034,6024.359507,0.074071
backpropForward,1900,5500,5693.942895,6027.292649,0.058545
backpropForward,1600,4500,5570.941872,6041.983472,0.084553
backpropForward,1800,5000,5635.031267,6043.334894,0.072458
backpropForward,2000,5500,5709.693560,6044.842751,0.058698
backpropForward,1700,4500,5605.002640,6062.867969,0.081689
backpropForward,1900,5000,5717.324803,6061.834235,0.060257
backpropForward,1600,4000,5589.337426,6088.547190,0.089315
backpropForward,1800,4500,5649.039457,6083.806726,0.076963
backpropForward,2000,5000,5763.693565,6080.425768,0.054953
backpropForward,1900,4500,5714.628873,6104.608840,0.068242
backpropForward,1700,4000,5587.662672,6111.844174,0.093811
backpropForward,2000,4500,5747.184410,6126.064516,0.065924
backpropForward,1800,4000,5659.977925,6136.015788,0.084106
backpropForward,1900,4000,5743.200148,6160.037276,0.072579
backpropForward,2000,4000,5749.533181,6184.548629,0.075661
conjugateGradient,1600,5500,2674.336188,2636.338559,0.014208
conjugateGradient,1700,5500,2789.664458,2651.626458,0.049482
conjugateGradient,1600,5000,2828.626635,2669.969200,0.056090
conjugateGradient,1800,5500,2894.734590,2660.842561,0.080799
conjugateGradient,1700,5000,2962.459532,2687.265122,0.092894
conjugateGradient,1900,5500,3028.498902,2682.034121,0.114401
conjugateGradient,1600,4500,2998.818874,2699.743166,0.099731
conjugateGradient,1800,5000,3082.354331,2697.071912,0.124996
conjugateGradient,2000,5500,3143.085443,2694.410080,0.142750
conjugateGradient,1700,4500,3157.203730,2725.076058,0.136870
conjugateGradient,1900,5000,3231.494373,2714.262751,0.160060
conjugateGradient,1600,4000,3365.696577,2754.359629,0.181638
conjugateGradient,1800,4500,3315.696514,2744.167091,0.172371
conjugateGradient,2000,5000,3389.821542,2736.404318,0.192759
conjugateGradient,1900,4500,3468.875510,2756.292723,0.205422
conjugateGradient,1700,4000,3531.754806,2769.472353,0.215837
conjugateGradient,2000,4500,3645.437630,2783.411721,0.236467
conjugateGradient,1800,4000,3709.539520,2790.588331,0.247726
conjugateGradient,1900,4000,3920.309266,2820.213053,0.280615
conjugateGradient,2000,4000,4097.643257,2836.812449,0.307697
convolutionSeparable,1600,5500,17332.265049,16823.434696,0.029357
convolutionSeparable,1700,5500,17336.618465,16846.681214,0.028260
