kernel,coreF,memF,real,predict,error
BlackScholes,1600,5500,4007.721988,9385.469658,1.341846
BlackScholes,1700,5500,4263.769504,9415.282914,1.208206
BlackScholes,1600,5000,4476.787960,9432.428477,1.106963
BlackScholes,1800,5500,4530.660445,9445.847317,1.084872
BlackScholes,1700,5000,4770.388410,9463.735348,0.983850
BlackScholes,1900,5500,4792.535941,9467.543747,0.975477
BlackScholes,1600,4500,4929.778917,9483.227249,0.923662
BlackScholes,1800,5000,5060.977178,9491.333731,0.875395
BlackScholes,2000,5500,5070.174854,9486.440364,0.871028
BlackScholes,1700,4500,5247.649186,9509.390839,0.812124
BlackScholes,1900,5000,5363.139957,9507.779577,0.772801
BlackScholes,1600,4000,5647.560365,9523.588361,0.686319
BlackScholes,1800,4500,5571.566053,9532.124400,0.710852
BlackScholes,2000,5000,5650.091566,9524.119704,0.685658
BlackScholes,1900,4500,5915.339778,9543.387144,0.613329
BlackScholes,1700,4000,6010.138346,9551.601824,0.589248
BlackScholes,2000,4500,6220.981343,9570.944154,0.538494
BlackScholes,1800,4000,6369.393752,9569.279326,0.502385
BlackScholes,1900,4000,6760.063199,9586.404197,0.418094
BlackScholes,2000,4000,7132.244262,9606.815064,0.346955
backpropForward,1600,5500,5564.807815,17327.472299,2.113759
backpropForward,1700,5500,5591.630085,17331.082681,2.099469
backpropForward,1600,5000,5577.605352,17335.102521,2.107983
backpropForward,1800,5500,5616.051297,17335.594949,2.086794
backpropForward,1700,5000,5608.900034,17339.130993,2.091360
backpropForward,1900,5500,5693.942895,17340.452005,2.045421
backpropForward,1600,4500,5570.941872,17342.912831,2.113102
backpropForward,1800,5000,5635.031267,17344.411680,2.077962
backpropForward,2000,5500,5709.693560,17344.568538,2.037741
backpropForward,1700,4500,5605.002640,17348.251781,2.095137
backpropForward,1900,5000,5717.324803,17349.227634,2.034501
backpropForward,1600,4000,5589.337426,17355.603894,2.105127
backpropForward,1800,4500,5649.039457,17353.808112,2.071993
backpropForward,2000,5000,5763.693565,17353.571844,2.010842
backpropForward,1900,4500,5714.628873,17359.589808,2.037746
backpropForward,1700,4000,5587.662672,17360.088983,2.106861
backpropForward,2000,4500,5747.184410,17366.807164,2.021794
backpropForward,1800,4000,5659.977925,17367.538697,2.068482
backpropForward,1900,4000,5743.200148,17374.496603,2.025229
backpropForward,2000,4000,5749.533181,17382.965043,2.023370
conjugateGradient,1600,5500,2674.336188,5086.565820,0.901992
conjugateGradient,1700,5500,2789.664458,5091.840657,0.825252
conjugateGradient,1600,5000,2828.626635,5112.855458,0.807540
conjugateGradient,1800,5500,2894.734590,5079.567467,0.754761
conjugateGradient,1700,5000,2962.459532,5118.388742,0.727750
conjugateGradient,1900,5500,3028.498902,5099.851169,0.683953
conjugateGradient,1600,4500,2998.818874,5112.982341,0.704999
conjugateGradient,1800,5000,3082.354331,5104.880484,0.656163
conjugateGradient,2000,5500,3143.085443,5095.928436,0.621314
conjugateGradient,1700,4500,3157.203730,5135.748925,0.626676
conjugateGradient,1900,5000,3231.494373,5110.079344,0.581336
