kernel,coreF,memF,real,predict,error
BlackScholes,1600,5500,4007.721988,3576.264862,0.107656
BlackScholes,1700,5500,4263.769504,3606.474248,0.154158
BlackScholes,1600,5000,4476.787960,3627.549871,0.189698
BlackScholes,1800,5500,4530.660445,3636.958825,0.197256
BlackScholes,1700,5000,4770.388410,3660.694295,0.232621
BlackScholes,1900,5500,4792.535941,3665.071364,0.235254
BlackScholes,1600,4500,4929.778917,3689.439795,0.251601
BlackScholes,1800,5000,5060.977178,3692.896388,0.270319
BlackScholes,2000,5500,5070.174854,3692.514492,0.271719
BlackScholes,1700,4500,5247.649186,3724.300378,0.290292
BlackScholes,1900,5000,5363.139957,3722.066423,0.305991
BlackScholes,1600,4000,5647.560365,3761.882441,0.333892
BlackScholes,1800,4500,5571.566053,3758.273321,0.325455
BlackScholes,2000,5000,5650.091566,3751.473223,0.336033
BlackScholes,1900,4500,5915.339778,3789.082134,0.359448
BlackScholes,1700,4000,6010.138346,3801.225060,0.367531
BlackScholes,2000,4500,6220.981343,3824.512367,0.385224
BlackScholes,1800,4000,6369.393752,3837.721652,0.397475
BlackScholes,1900,4000,6760.063199,3874.108364,0.426912
BlackScholes,2000,4000,7132.244262,3911.478410,0.451578
backpropForward,1600,5500,5564.807815,6198.397973,0.113857
backpropForward,1700,5500,5591.630085,6220.990620,0.112554
backpropForward,1600,5000,5577.605352,6238.118865,0.118422
backpropForward,1800,5500,5616.051297,6243.857263,0.111788
backpropForward,1700,5000,5608.900034,6263.177044,0.116650
backpropForward,1900,5500,5693.942895,6266.827571,0.100613
backpropForward,1600,4500,5570.941872,6286.954945,0.128526
backpropForward,1800,5000,5635.031267,6288.616909,0.115986
backpropForward,2000,5500,5709.693560,6289.707021,0.101584
backpropForward,1700,4500,5605.002640,6315.315309,0.126728
backpropForward,1900,5000,5717.324803,6313.922301,0.104349
backpropForward,1600,4000,5589.337426,6350.044231,0.136100
backpropForward,1800,4500,5649.039457,6343.741756,0.122977
backpropForward,2000,5000,5763.693565,6339.314584,0.099870
backpropForward,1900,4500,5714.628873,6372.240706,0.115075
backpropForward,1700,4000,5587.662672,6381.845101,0.142131
backpropForward,2000,4500,5747.184410,6401.181781,0.113794
backpropForward,1800,4000,5659.977925,6414.558718,0.133319
backpropForward,1900,4000,5743.200148,6447.124978,0.122567
backpropForward,2000,4000,5749.533181,6480.161134,0.127076
conjugateGradient,1600,5500,2674.336188,2899.856099,0.084327
conjugateGradient,1700,5500,2789.664458,2922.478672,0.047609
conjugateGradient,1600,5000,2828.626635,2945.850953,0.041442
conjugateGradient,1800,5500,2894.734590,2938.255883,0.015035
conjugateGradient,1700,5000,2962.459532,2970.854777,0.002834
conjugateGradient,1900,5500,3028.498902,2966.707771,0.020403
conjugateGradient,1600,4500,2998.818874,2990.362109,0.002820
conjugateGradient,1800,5000,3082.354331,2988.329068,0.030504
conjugateGradient,2000,5500,3143.085443,2985.751535,0.050057
conjugateGradient,1700,4500,3157.203730,3025.010432,0.041870
conjugateGradient,1900,5000,3231.494373,3013.130770,0.067574
conjugateGradient,1600,4000,3365.696577,3064.697626,0.089431
conjugateGradient,1800,4500,3315.696514,3052.538904,0.079367
conjugateGradient,2000,5000,3389.821542,3044.459530,0.101882
conjugateGradient,1900,4500,3468.875510,3073.211138,0.114061
conjugateGradient,1700,4000,3531.754806,3089.474599,0.125230
