kernel,coreF,memF,real,predict,error
BlackScholes,400,1000,4379.717467,9979.383944,1.278545
BlackScholes,400,900,4776.857258,10018.768091,1.097356
BlackScholes,400,800,5385.673938,10093.827378,0.874199
BlackScholes,500,1000,5256.556069,10061.898293,0.914162
BlackScholes,500,900,5831.250609,10127.597515,0.736780
BlackScholes,400,700,6272.691885,10150.455985,0.618198
BlackScholes,600,1000,6237.479991,10151.929852,0.627569
BlackScholes,500,800,6742.196136,10183.153693,0.510362
BlackScholes,400,600,7528.779765,10228.652815,0.358607
BlackScholes,600,900,7014.447497,10213.572948,0.456077
BlackScholes,700,1000,7289.276295,10227.132603,0.403038
BlackScholes,500,700,7863.022661,10248.598459,0.303392
BlackScholes,600,800,8017.138472,10266.447413,0.280563
BlackScholes,700,900,8204.900098,10283.152792,0.253294
BlackScholes,400,500,9302.629884,10425.743128,0.120731
BlackScholes,800,1000,8347.524983,10288.903909,0.232569
BlackScholes,500,600,9274.916963,10330.120003,0.113770
BlackScholes,600,700,9450.699254,10325.463642,0.092561
BlackScholes,700,800,9366.064625,10339.492311,0.103931
BlackScholes,800,900,9392.869126,10342.085927,0.101057
BlackScholes,900,1000,9413.601604,10342.838588,0.098712
BlackScholes,400,400,12001.764937,10502.164351,0.124948
BlackScholes,500,500,11685.377578,10482.450219,0.102943
BlackScholes,600,600,11337.586165,10403.845693,0.082358
BlackScholes,700,700,10922.658296,10411.798236,0.046771
BlackScholes,800,800,10729.336227,10395.230158,0.031139
BlackScholes,900,900,10589.242594,10398.233088,0.018038
BlackScholes,1000,1000,10478.463187,10388.214697,0.008613
BlackScholes,1000,900,11772.518875,10442.725598,0.112957
BlackScholes,900,800,12079.851754,10448.261530,0.135067
BlackScholes,800,700,12496.077458,10470.371471,0.162107
BlackScholes,700,600,13252.073450,10468.756047,0.210029
BlackScholes,600,500,14100.722506,10546.714450,0.252044
BlackScholes,500,400,15086.806957,10567.994361,0.299521
BlackScholes,1000,800,13438.661763,10494.071333,0.219113
BlackScholes,900,700,14065.984519,10517.094702,0.252303
BlackScholes,800,600,14959.242115,10555.877744,0.294357
BlackScholes,700,500,16513.143543,10598.087127,0.358203
BlackScholes,1000,700,15659.474815,10565.734670,0.325282
BlackScholes,600,400,18236.259277,10639.560952,0.416571
BlackScholes,900,600,16834.791684,10597.778167,0.370484
BlackScholes,800,500,18659.923575,10672.655303,0.428044
BlackScholes,1000,600,18738.777017,10652.984413,0.431501
BlackScholes,700,400,20942.283969,10719.345415,0.488148
BlackScholes,900,500,21049.524804,10726.720644,0.490406
BlackScholes,800,400,23993.888187,10785.206655,0.550502
BlackScholes,1000,500,23432.403250,10775.719890,0.540136
BlackScholes,900,400,27054.466102,10850.771911,0.598929
BlackScholes,1000,400,30075.438280,10905.051761,0.637410
matrixMul(Global),400,1000,366707.434450,934364.944842,1.547985
matrixMul(Global),400,900,367372.551287,934170.599069,1.542843
matrixMul(Global),400,800,368322.446363,935357.545923,1.539507
matrixMul(Global),500,1000,369748.665344,937642.144011,1.535891
matrixMul(Global),500,900,371040.937313,940143.849692,1.533801
matrixMul(Global),400,700,371093.237512,938698.837204,1.529550
matrixMul(Global),600,1000,370847.431500,941716.601851,1.539364
matrixMul(Global),500,800,372311.914437,942158.242617,1.530562
matrixMul(Global),400,600,372022.227750,942150.212064,1.532511
matrixMul(Global),600,900,371388.704400,943183.968857,1.539614
matrixMul(Global),700,1000,372549.586828,943133.970006,1.531566
matrixMul(Global),500,700,372974.817188,942610.281118,1.527276
matrixMul(Global),600,800,371591.660981,943095.717557,1.537989
matrixMul(Global),700,900,372589.989975,943074.452658,1.531132
matrixMul(Global),400,500,373162.498800,942532.990934,1.525798
matrixMul(Global),800,1000,374699.560625,943101.543313,1.516954
matrixMul(Global),500,600,373717.581281,942580.656179,1.522174
matrixMul(Global),600,700,372807.696300,942549.660493,1.528246
matrixMul(Global),700,800,373566.308456,942897.971807,1.524044
matrixMul(Global),800,900,375712.052100,943008.747967,1.509924
matrixMul(Global),900,1000,373547.457675,943043.107648,1.524560
matrixMul(Global),400,400,373527.874687,942237.146326,1.522535
matrixMul(Global),500,500,374604.278531,942583.508113,1.516211
matrixMul(Global),600,600,376538.398144,942600.581628,1.503332
matrixMul(Global),700,700,374858.848613,942928.184707,1.515422
matrixMul(Global),800,800,377706.948750,942933.759649,1.496469
matrixMul(Global),900,900,375482.887200,943008.886963,1.511456
matrixMul(Global),1000,1000,377220.166344,942952.207067,1.499740
matrixMul(Global),1000,900,379898.517813,942938.138269,1.482079
matrixMul(Global),900,800,378336.760003,942869.330586,1.492143
matrixMul(Global),800,700,380723.732025,942911.696128,1.476630
matrixMul(Global),700,600,381247.864200,942539.130515,1.472248
matrixMul(Global),600,500,378894.732150,942540.174015,1.487604
matrixMul(Global),500,400,381228.093062,942331.568085,1.471831
matrixMul(Global),1000,800,383406.800938,942640.373159,1.458591
matrixMul(Global),900,700,384129.506250,942468.810543,1.453518
matrixMul(Global),800,600,388193.172475,942328.079431,1.427472
matrixMul(Global),700,500,383844.902831,942111.765302,1.454407
matrixMul(Global),1000,700,390869.938000,941669.043584,1.409162
matrixMul(Global),600,400,387606.212175,941424.488218,1.428817
matrixMul(Global),900,600,395124.085884,942058.534284,1.384209
matrixMul(Global),800,500,393233.244250,941377.608064,1.393942
matrixMul(Global),1000,600,408070.953844,940946.937553,1.305841
matrixMul(Global),700,400,401425.062150,941193.944724,1.344632
matrixMul(Global),900,500,403671.022369,940886.643648,1.330825
matrixMul(Global),800,400,422514.362025,940132.125153,1.225089
