kernel,coreF,memF,real,predict,error
BlackScholes,700,3900,2978.467093,2672.136904,0.102848
BlackScholes,700,3600,2975.209676,2671.617011,0.102041
BlackScholes,700,3100,2959.823862,2678.349804,0.095098
BlackScholes,900,3900,2972.746006,2666.404452,0.103050
BlackScholes,900,3600,2975.899500,2669.055140,0.103110
BlackScholes,700,2600,3037.094789,2802.342177,0.077295
BlackScholes,1100,3900,3089.346378,2865.595006,0.072427
BlackScholes,900,3100,3131.815615,2975.093232,0.050042
BlackScholes,1100,3600,3237.272511,3095.192753,0.043889
BlackScholes,1300,3900,3412.142500,3351.916561,0.017650
BlackScholes,700,2100,3538.572198,3464.548384,0.020919
BlackScholes,900,2600,3597.358129,3549.241247,0.013376
BlackScholes,1100,3100,3607.547246,3582.714546,0.006884
BlackScholes,1300,3600,3687.744196,3631.626330,0.015217
BlackScholes,1500,3900,3892.211364,3838.362119,0.013835
BlackScholes,1500,3600,4225.955263,4168.126491,0.013684
BlackScholes,1300,3100,4238.195633,4229.177969,0.002128
BlackScholes,1100,2600,4345.873473,4298.761034,0.010841
BlackScholes,900,2100,4509.214211,4437.836242,0.015829
BlackScholes,1500,3100,4895.902525,4881.246279,0.002994
BlackScholes,1300,2600,5137.671764,5077.096133,0.011790
BlackScholes,1100,2100,5536.732392,5402.677276,0.024212
BlackScholes,1500,2600,5980.620368,5879.631220,0.016886
BlackScholes,1300,2100,6566.042198,6381.136914,0.028161
BlackScholes,1500,2100,7619.495276,7380.911031,0.031312
backpropForward,700,3900,5735.830505,5618.878297,0.020390
backpropForward,700,3600,5734.837698,5620.876614,0.019872
backpropForward,700,3100,5732.105379,5627.230045,0.018296
backpropForward,900,3900,5736.874850,5607.834338,0.022493
backpropForward,900,3600,5736.215143,5616.520188,0.020867
backpropForward,700,2600,5733.896569,5637.223108,0.016860
backpropForward,1100,3900,5732.521312,5604.563727,0.022321
backpropForward,900,3100,5738.181679,5624.677854,0.019780
backpropForward,1100,3600,5738.077591,5609.692544,0.022374
backpropForward,1300,3900,5757.897381,5602.529311,0.026983
backpropForward,700,2100,5743.150791,5650.976744,0.016049
backpropForward,900,2600,5746.237453,5638.687154,0.018717
backpropForward,1100,3100,5741.483748,5623.735449,0.020508
backpropForward,1300,3600,5759.113109,5607.881969,0.026259
backpropForward,1500,3900,5844.064369,5597.362801,0.042214
backpropForward,1500,3600,5847.421053,5604.126288,0.041607
backpropForward,1300,3100,5763.861285,5621.268121,0.024739
backpropForward,1100,2600,5750.897609,5636.645212,0.019867
backpropForward,900,2100,5759.055033,5657.777721,0.017586
backpropForward,1500,3100,5852.286290,5619.589671,0.039762
backpropForward,1300,2600,5776.746283,5638.553296,0.023922
backpropForward,1100,2100,5768.780188,5661.498948,0.018597
backpropForward,1500,2600,5865.334416,5640.928705,0.038260
backpropForward,1300,2100,5801.857726,5664.552078,0.023666
backpropForward,1500,2100,5892.859992,5670.399011,0.037751
conjugateGradient,700,3900,2268.161702,2178.981419,0.039318
conjugateGradient,700,3600,2279.650153,2184.103533,0.041913
conjugateGradient,700,3100,2238.779424,2192.381060,0.020725
conjugateGradient,900,3900,2299.834026,2177.732651,0.053091
conjugateGradient,900,3600,2309.120255,2184.441943,0.053994
conjugateGradient,700,2600,2348.164371,2203.675752,0.061533
conjugateGradient,1100,3900,2327.580637,2180.800846,0.063061
conjugateGradient,900,3100,2350.886882,2196.708048,0.065583
conjugateGradient,1100,3600,2400.317414,2189.264886,0.087927
conjugateGradient,1300,3900,2476.419165,2183.849070,0.118142
conjugateGradient,700,2100,2534.647712,2230.975097,0.119809
conjugateGradient,900,2600,2503.208756,2218.094661,0.113899
conjugateGradient,1100,3100,2552.928517,2206.095917,0.135857
conjugateGradient,1300,3600,2565.486490,2195.084848,0.144379
conjugateGradient,1500,3900,2695.792990,2290.215037,0.150448
conjugateGradient,1500,3600,2787.448706,2444.385206,0.123074
conjugateGradient,1300,3100,2733.837950,2479.630887,0.092985
conjugateGradient,1100,2600,2798.575377,2529.912005,0.096000
conjugateGradient,900,2100,2924.572830,2591.634082,0.113842
conjugateGradient,1500,3100,2996.681707,2779.647165,0.072425
conjugateGradient,1300,2600,3078.642665,2896.855982,0.059048
conjugateGradient,1100,2100,3244.224972,3058.791753,0.057158
conjugateGradient,1500,2600,3442.042230,3259.483164,0.053038
conjugateGradient,1300,2100,3659.541667,3500.659029,0.043416
conjugateGradient,1500,2100,4122.512897,3963.447036,0.038585
convolutionSeparable,700,3900,17898.751933,17460.886698,0.024463
convolutionSeparable,700,3600,17900.780475,17466.158205,0.024280
convolutionSeparable,700,3100,17887.723440,17482.129993,0.022674
convolutionSeparable,900,3900,17928.233052,17430.304401,0.027773
convolutionSeparable,900,3600,17945.996978,17445.103704,0.027911
convolutionSeparable,700,2600,17870.685431,17474.421279,0.022174
convolutionSeparable,1100,3900,17919.434440,17454.147833,0.025965
convolutionSeparable,900,3100,17956.353529,17459.602289,0.027664
convolutionSeparable,1100,3600,17888.349513,17445.399603,0.024762
convolutionSeparable,1300,3900,17965.994879,17415.256672,0.030654
convolutionSeparable,700,2100,17881.524752,17492.634080,0.021748
convolutionSeparable,900,2600,17961.259982,17466.204602,0.027562
convolutionSeparable,1100,3100,17970.788840,17459.510296,0.028451
convolutionSeparable,1300,3600,17948.472900,17406.143885,0.030216
convolutionSeparable,1500,3900,18263.551011,17407.465927,0.046874
convolutionSeparable,1500,3600,18244.418573,17393.077992,0.046663
convolutionSeparable,1300,3100,17887.657277,17356.242495,0.029708
convolutionSeparable,1100,2600,17849.927080,17348.567125,0.028088
convolutionSeparable,900,2100,17959.494280,17444.409047,0.028680
convolutionSeparable,1500,3100,18200.560388,17329.213414,0.047875
convolutionSeparable,1300,2600,17388.676717,16536.117747,0.049030
convolutionSeparable,1100,2100,18642.225284,17420.949751,0.065511
convolutionSeparable,1500,2600,20115.366175,19004.667693,0.055216
convolutionSeparable,1300,2100,22057.399993,20580.806444,0.066943
convolutionSeparable,1500,2100,25417.213862,23726.014317,0.066538
fastWalshTransform,700,3900,4022.842187,2873.706640,0.285653
fastWalshTransform,700,3600,4022.861627,3096.104276,0.230373
fastWalshTransform,700,3100,3942.520075,3566.640645,0.095340
fastWalshTransform,900,3900,3937.110300,3608.406251,0.083489
fastWalshTransform,900,3600,3940.952444,3892.302294,0.012345
fastWalshTransform,700,2600,4287.976799,4230.131476,0.013490
fastWalshTransform,1100,3900,4409.407179,4344.789764,0.014654
fastWalshTransform,900,3100,4548.701597,4505.090023,0.009588
