kernel,coreF,memF,real,predict,error
BlackScholes,400,1000,4379.717467,3398.171986,0.224112
BlackScholes,400,900,4776.857258,3458.319489,0.276026
BlackScholes,400,800,5385.673938,3541.948119,0.342339
BlackScholes,500,1000,5256.556069,3525.307048,0.329350
BlackScholes,500,900,5831.250609,3604.660238,0.381838
BlackScholes,400,700,6272.691885,3637.553064,0.420097
BlackScholes,600,1000,6237.479991,3654.151574,0.414162
BlackScholes,500,800,6742.196136,3699.636078,0.451271
BlackScholes,400,600,7528.779765,3770.258165,0.499221
BlackScholes,600,900,7014.447497,3745.663188,0.466007
BlackScholes,700,1000,7289.276295,3780.000240,0.481430
BlackScholes,500,700,7863.022661,3821.460644,0.513996
BlackScholes,600,800,8017.138472,3854.636530,0.519200
BlackScholes,700,900,8204.900098,3882.496815,0.526808
BlackScholes,400,500,9302.629884,3993.412349,0.570722
BlackScholes,800,1000,8347.524983,3902.182911,0.532534
BlackScholes,500,600,9274.916963,3982.180483,0.570651
BlackScholes,600,700,9450.699254,3996.421064,0.577130
BlackScholes,700,800,9366.064625,4008.395026,0.572030
BlackScholes,800,900,9392.869126,4016.606306,0.572377
BlackScholes,900,1000,9413.601604,4022.772329,0.572664
BlackScholes,400,400,12001.764937,4270.227580,0.644200
BlackScholes,500,500,11685.377578,4232.353513,0.637808
BlackScholes,600,600,11337.586165,4187.972328,0.630612
BlackScholes,700,700,10922.658296,4173.419180,0.617912
BlackScholes,800,800,10729.336227,4157.770177,0.612486
BlackScholes,900,900,10589.242594,4150.462497,0.608049
BlackScholes,1000,1000,10478.463187,4141.008697,0.604808
BlackScholes,1000,900,11772.518875,4280.874280,0.636367
BlackScholes,900,800,12079.851754,4306.335422,0.643511
BlackScholes,800,700,12496.077458,4344.361534,0.652342
BlackScholes,700,600,13252.073450,4388.570283,0.668839
BlackScholes,600,500,14100.722506,4477.465897,0.682465
BlackScholes,500,400,15086.806957,4579.987472,0.696424
BlackScholes,1000,800,13438.661763,4453.146024,0.668632
BlackScholes,900,700,14065.984519,4511.880043,0.679235
BlackScholes,800,600,14959.242115,4594.413499,0.692871
BlackScholes,700,500,16513.143543,4712.059369,0.714648
BlackScholes,1000,700,15659.474815,4680.846867,0.701085
BlackScholes,600,400,18236.259277,4888.458523,0.731937
BlackScholes,900,600,16834.791684,4789.040911,0.715527
BlackScholes,800,500,18659.923575,4957.634501,0.734316
BlackScholes,1000,600,18738.777017,4987.996761,0.733814
BlackScholes,700,400,20942.283969,5192.319533,0.752065
BlackScholes,900,500,21049.524804,5197.081613,0.753102
BlackScholes,800,400,23993.888187,5499.710116,0.770787
BlackScholes,1000,500,23432.403250,5435.345312,0.768041
BlackScholes,900,400,27054.466102,5806.471052,0.785378
BlackScholes,1000,400,30075.438280,6110.336933,0.796833
backprop,400,1000,5603.071904,6144.164717,0.096571
backprop,400,900,5611.156200,6182.746258,0.101867
backprop,400,800,5619.495074,6225.920180,0.107915
backprop,500,1000,5833.613834,6212.924691,0.065022
backprop,500,900,5837.102057,6262.326804,0.072849
backprop,400,700,5631.193310,6288.236077,0.116679
backprop,600,1000,5831.952345,6283.300045,0.077392
backprop,500,800,5852.408435,6323.377061,0.080474
backprop,400,600,5649.142813,6372.659587,0.128075
backprop,600,900,5840.810618,6339.476063,0.085376
backprop,700,1000,5822.649768,6349.508346,0.090484
backprop,500,700,5872.510000,6400.146186,0.089848
backprop,600,800,5861.479345,6410.566017,0.093677
backprop,700,900,5838.963301,6415.300419,0.098705
backprop,400,500,5793.699871,6504.984945,0.122769
backprop,800,1000,5861.961875,6417.981175,0.094852
backprop,500,600,5900.522270,6504.606456,0.102378
backprop,600,700,5893.366130,6497.824794,0.102566
backprop,700,800,5867.607471,6498.921410,0.107593
backprop,800,900,5894.675117,6492.665323,0.101446
backprop,900,1000,5806.292524,6483.797370,0.116685
backprop,400,400,6583.712112,6700.770851,0.017780
backprop,500,500,6523.863205,6669.432139,0.022313
backprop,600,600,6045.957275,6621.468743,0.095189
backprop,700,700,6007.453984,6611.469339,0.100544
backprop,800,800,5975.491078,6591.193881,0.103038
backprop,900,900,5924.294145,6572.453339,0.109407
backprop,1000,1000,5964.216016,6556.371511,0.099285
backprop,1000,900,6191.014500,6660.812730,0.075884
backprop,900,800,6250.457836,6690.752492,0.070442
backprop,800,700,6306.407262,6707.357438,0.063578
backprop,700,600,6696.788365,6750.577484,0.008032
backprop,600,500,7295.891165,6850.822402,0.061003
backprop,500,400,7740.175434,6936.436274,0.103840
backprop,1000,800,6713.696547,6773.120995,0.008851
backprop,900,700,7025.720435,6830.546668,0.027780
backprop,800,600,7452.283359,6897.589202,0.074433
backprop,700,500,8306.090842,7018.422440,0.155027
backprop,1000,700,7756.272504,6945.741253,0.104500
backprop,600,400,9126.534285,7130.667132,0.218688
backprop,900,600,8366.794525,7039.095338,0.158687
backprop,800,500,9255.114155,7183.955357,0.223785
backprop,1000,600,9261.845734,7175.087426,0.225307
backprop,700,400,10421.462918,7352.887233,0.294448
backprop,900,500,10417.521653,7349.072141,0.294547
backprop,800,400,11879.387881,7580.473589,0.361880
backprop,1000,500,11546.506133,7525.863380,0.348213
backprop,900,400,13322.260732,7795.850542,0.414825
backprop,1000,400,14765.058000,8005.147684,0.457832
conjugateGradient,400,1000,2618.057293,2687.738169,0.026615
conjugateGradient,400,900,2768.724307,2723.537954,0.016320
conjugateGradient,400,800,2936.973307,2777.354355,0.054348
conjugateGradient,500,1000,2919.875927,2760.989859,0.054415
conjugateGradient,500,900,3147.902581,2805.880966,0.108651
conjugateGradient,400,700,3238.461778,2836.042255,0.124263
conjugateGradient,600,1000,3278.031287,2833.662994,0.135560
conjugateGradient,500,800,3434.626739,2864.229492,0.166073
conjugateGradient,400,600,3660.233252,2915.321918,0.203515
conjugateGradient,600,900,3581.454596,2887.401397,0.193791
conjugateGradient,700,1000,3693.122901,2904.976237,0.213409
conjugateGradient,500,700,3839.677725,2945.911001,0.232771
conjugateGradient,600,800,3965.943048,2957.279460,0.254331
conjugateGradient,700,900,4051.118626,2967.946537,0.267376
conjugateGradient,400,500,4627.367292,3027.892292,0.345656
conjugateGradient,800,1000,4130.777602,2976.211052,0.279503
conjugateGradient,500,600,4452.463638,3039.459920,0.317353
conjugateGradient,600,700,4505.735555,3046.476196,0.323867
conjugateGradient,700,800,4526.954934,3049.333133,0.326405
conjugateGradient,800,900,4551.884080,3048.591271,0.330257
conjugateGradient,900,1000,4557.057694,3047.873344,0.331175
conjugateGradient,400,400,5847.571350,3200.523379,0.452675
conjugateGradient,500,500,5722.379996,3190.843198,0.442392
conjugateGradient,600,600,5338.531908,3161.831089,0.407734
conjugateGradient,700,700,5185.118603,3152.526034,0.392005
conjugateGradient,800,800,5129.954512,3141.914524,0.387536
conjugateGradient,900,900,5072.786559,3129.995908,0.382983
conjugateGradient,1000,1000,5020.271195,3120.649198,0.378390
conjugateGradient,1000,900,5570.190717,3211.604252,0.423430
conjugateGradient,900,800,5705.207453,3233.215598,0.433287
conjugateGradient,800,700,5873.235129,3259.706344,0.444990
conjugateGradient,700,600,6102.137803,3287.577717,0.461242
conjugateGradient,600,500,6724.646428,3338.682252,0.503516
conjugateGradient,500,400,7337.574389,3401.699464,0.536400
conjugateGradient,1000,800,6307.269788,3326.623732,0.472573
conjugateGradient,900,700,6571.842469,3365.926929,0.487826
conjugateGradient,800,600,6922.705500,3400.402191,0.508804
conjugateGradient,700,500,7830.224207,3487.922057,0.554557
conjugateGradient,1000,700,7279.786158,3473.329095,0.522880
conjugateGradient,600,400,8624.317050,3599.250280,0.582663
conjugateGradient,900,600,7715.829487,3518.055904,0.544047
conjugateGradient,800,500,8873.277984,3639.298814,0.589859
conjugateGradient,1000,600,8488.387507,3642.610042,0.570871
conjugateGradient,700,400,9938.491882,3797.516313,0.617898
conjugateGradient,900,500,9971.480236,3793.167413,0.619598
conjugateGradient,800,400,11352.955419,3993.221899,0.648266
conjugateGradient,1000,500,11073.255788,3949.203652,0.643357
conjugateGradient,900,400,12774.713042,4191.272479,0.671909
conjugateGradient,1000,400,14179.745289,4389.483170,0.690440
convolutionSeparable,400,1000,17375.798080,18178.653828,0.046205
convolutionSeparable,400,900,17520.058453,18235.141393,0.040815
convolutionSeparable,400,800,17752.967680,17369.894633,0.021578
convolutionSeparable,500,1000,17540.962703,17408.238940,0.007567
convolutionSeparable,500,900,19188.630681,17476.472315,0.089228
convolutionSeparable,400,700,20648.441487,17567.625091,0.149203
convolutionSeparable,600,1000,20449.535150,17539.953080,0.142281
convolutionSeparable,500,800,21839.282267,17624.841223,0.192975
convolutionSeparable,400,600,24845.313963,17763.115304,0.285052
convolutionSeparable,600,900,22925.850908,17685.557791,0.228576
convolutionSeparable,700,1000,23856.068841,17736.271745,0.256530
convolutionSeparable,500,700,25407.701453,17838.308703,0.297917
convolutionSeparable,600,800,26134.857840,17838.687306,0.317437
convolutionSeparable,700,900,26701.296469,17848.364330,0.331554
convolutionSeparable,400,500,29907.582294,17999.527980,0.398162
convolutionSeparable,800,1000,27162.351578,17856.184747,0.342613
convolutionSeparable,500,600,30138.195850,18010.322336,0.402409
convolutionSeparable,600,700,30719.860640,18000.753824,0.414035
convolutionSeparable,700,800,30324.460950,17964.333625,0.407596
convolutionSeparable,800,900,30445.497600,17989.178402,0.409135
convolutionSeparable,900,1000,30483.667200,17970.200080,0.410497
convolutionSeparable,400,400,38257.537593,18286.123632,0.522026
convolutionSeparable,500,500,37583.841151,18282.604557,0.513551
convolutionSeparable,600,600,36454.947550,18206.636409,0.500572
convolutionSeparable,700,700,35247.763833,18162.919273,0.484707
convolutionSeparable,800,800,34625.548222,18126.157646,0.476509
convolutionSeparable,900,900,34147.181143,18097.370445,0.470019
convolutionSeparable,1000,1000,33752.881900,18068.060466,0.464696
convolutionSeparable,1000,900,37904.826750,18243.045153,0.518714
convolutionSeparable,900,800,38873.298140,18285.135072,0.529622
