kernel,coreF,memF,real,predict,error
BlackScholes,700,3900,2978.467093,2079.387138,0.301860
BlackScholes,700,3600,2975.209676,2077.349981,0.301780
BlackScholes,700,3100,2959.823862,2183.173722,0.262397
BlackScholes,900,3900,2972.746006,2192.640423,0.262419
BlackScholes,900,3600,2975.899500,2376.396529,0.201453
BlackScholes,700,2600,3037.094789,2585.115829,0.148820
BlackScholes,1100,3900,3089.346378,2646.998975,0.143185
BlackScholes,900,3100,3131.815615,2755.410534,0.120187
BlackScholes,1100,3600,3237.272511,2873.891795,0.112249
BlackScholes,700,2100,3538.572198,3238.616171,0.084768
BlackScholes,1300,3900,3412.142500,3127.206985,0.083506
BlackScholes,900,2600,3597.358129,3320.961213,0.076833
BlackScholes,1100,3100,3607.547246,3353.689229,0.070369
BlackScholes,1300,3600,3687.744196,3401.015995,0.077752
BlackScholes,1500,3900,3892.211364,3604.752055,0.073855
BlackScholes,1500,3600,4225.955263,3929.582640,0.070132
BlackScholes,1300,3100,4238.195633,3990.808348,0.058371
BlackScholes,1100,2600,4345.873473,4060.729050,0.065613
BlackScholes,900,2100,4509.214211,4196.655752,0.069316
BlackScholes,1500,3100,4895.902525,4632.426424,0.053816
BlackScholes,1300,2600,5137.671764,4826.132119,0.060638
BlackScholes,1100,2100,5536.732392,5148.150221,0.070183
BlackScholes,1500,2600,5980.620368,5616.982131,0.060803
BlackScholes,1300,2100,6566.042198,6112.069342,0.069139
BlackScholes,1500,2100,7619.495276,7098.094602,0.068430
SobolQRNG,700,3900,297768.701031,184187.743987,0.381440
SobolQRNG,700,3600,297651.220307,200048.731182,0.327909
SobolQRNG,700,3100,289979.924470,232190.255799,0.199289
SobolQRNG,900,3900,291744.121048,236336.070130,0.189920
SobolQRNG,900,3600,291363.045608,255485.484096,0.123137
SobolQRNG,700,2600,314509.882925,280741.144027,0.107369
SobolQRNG,1100,3900,324386.762372,290677.558044,0.103917
SobolQRNG,900,3100,332990.439727,301389.835750,0.094899
SobolQRNG,1100,3600,352343.160762,316960.590401,0.100421
SobolQRNG,700,2100,394745.748634,355093.787428,0.100449
SobolQRNG,1300,3900,381992.708039,346724.606449,0.092327
SobolQRNG,900,2600,401229.204213,365345.268580,0.089435
SobolQRNG,1100,3100,404909.182200,372633.488439,0.079711
SobolQRNG,1300,3600,414173.324511,377273.110263,0.089094
SobolQRNG,1500,3900,436683.119777,402715.520587,0.077785
SobolQRNG,1500,3600,478743.795057,438089.722821,0.084918
SobolQRNG,1300,3100,476001.153306,442380.920916,0.070631
SobolQRNG,1100,2600,487878.509702,450244.940358,0.077137
SobolQRNG,900,2100,504501.337267,462114.074031,0.084018
SobolQRNG,1500,3100,550033.411415,514719.500987,0.064203
SobolQRNG,1300,2600,575592.496740,534719.102153,0.071011
SobolQRNG,1100,2100,615515.695872,567167.713697,0.078549
SobolQRNG,1500,2600,664841.828321,620486.437055,0.066716
SobolQRNG,1300,2100,728325.680809,671771.223577,0.077650
SobolQRNG,1500,2100,842320.897536,778904.327377,0.075288
backpropForward,700,3900,5735.830505,4654.317890,0.188554
backpropForward,700,3600,5734.837698,4654.380481,0.188402
backpropForward,700,3100,5732.105379,4656.316429,0.187678
backpropForward,900,3900,5736.874850,4639.228830,0.191332
backpropForward,900,3600,5736.215143,4644.407966,0.190336
backpropForward,700,2600,5733.896569,4659.989694,0.187291
backpropForward,1100,3900,5732.521312,4630.614833,0.192220
backpropForward,900,3100,5738.181679,4646.878141,0.190183
backpropForward,1100,3600,5738.077591,4632.367793,0.192697
backpropForward,700,2100,5743.150791,4664.581363,0.187801
backpropForward,1300,3900,5757.897381,4623.041785,0.197095
backpropForward,900,2600,5746.237453,4652.581599,0.190326
backpropForward,1100,3100,5741.483748,4638.787913,0.192058
backpropForward,1300,3600,5759.113109,4624.524756,0.197007
backpropForward,1500,3900,5844.064369,4612.856552,0.210677
backpropForward,1500,3600,5847.421053,4615.060673,0.210753
backpropForward,1300,3100,5763.861285,4629.444277,0.196815
backpropForward,1100,2600,5750.897609,4642.239821,0.192780
backpropForward,900,2100,5759.055033,4659.655373,0.190899
backpropForward,1500,3100,5852.286290,4620.748615,0.210437
backpropForward,1300,2600,5776.746283,4635.202998,0.197610
backpropForward,1100,2100,5768.780188,4652.158956,0.193563
backpropForward,1500,2600,5865.334416,4628.564542,0.210861
backpropForward,1300,2100,5801.857726,4644.125385,0.199545
backpropForward,1500,2100,5892.859992,4638.409443,0.212876
conjugateGradient,700,3900,2268.161702,1745.999060,0.230214
conjugateGradient,700,3600,2279.650153,1748.690798,0.232913
conjugateGradient,700,3100,2238.779424,1752.267423,0.217311
conjugateGradient,900,3900,2299.834026,1738.936881,0.243886
conjugateGradient,900,3600,2309.120255,1742.529956,0.245371
conjugateGradient,700,2600,2348.164371,1757.109247,0.251709
conjugateGradient,1100,3900,2327.580637,1735.581655,0.254341
conjugateGradient,900,3100,2350.886882,1748.603927,0.256194
conjugateGradient,1100,3600,2400.317414,1762.851713,0.265576
conjugateGradient,700,2100,2534.647712,1952.427824,0.229704
conjugateGradient,1300,3900,2476.419165,1874.230738,0.243169
