kernel,coreF,memF,real,predict,error
BlackScholes,400,1000,4379.717467,9979.660659,1.278608
BlackScholes,400,900,4776.857258,10018.989526,1.097402
BlackScholes,400,800,5385.673938,10093.827378,0.874199
BlackScholes,500,1000,5256.556069,10062.163514,0.914212
BlackScholes,500,900,5831.250609,10127.732560,0.736803
BlackScholes,400,700,6272.691885,10151.317822,0.618335
BlackScholes,600,1000,6237.479991,10152.099106,0.627596
BlackScholes,500,800,6742.196136,10183.223800,0.510372
BlackScholes,400,600,7528.779765,10229.864872,0.358768
BlackScholes,600,900,7014.447497,10213.767242,0.456104
BlackScholes,700,1000,7289.276295,10227.330679,0.403065
BlackScholes,500,700,7863.022661,10248.598459,0.303392
BlackScholes,600,800,8017.138472,10266.711327,0.280595
BlackScholes,700,900,8204.900098,10283.433634,0.253328
BlackScholes,400,500,9302.629884,10425.743128,0.120731
BlackScholes,800,1000,8347.524983,10289.214263,0.232607
BlackScholes,500,600,9274.916963,10330.505758,0.113811
BlackScholes,600,700,9450.699254,10325.985283,0.092616
BlackScholes,700,800,9366.064625,10339.898080,0.103975
BlackScholes,800,900,9392.869126,10342.473523,0.101098
BlackScholes,900,1000,9413.601604,10343.168896,0.098747
BlackScholes,400,400,12001.764937,12163.589689,0.013483
BlackScholes,500,500,11685.377578,11709.131735,0.002033
BlackScholes,600,600,11337.586165,11262.174332,0.006651
BlackScholes,700,700,10922.658296,10947.076935,0.002236
BlackScholes,800,800,10729.336227,10763.506766,0.003185
BlackScholes,900,900,10589.242594,10637.527497,0.004560
BlackScholes,1000,1000,10478.463187,10523.499509,0.004298
BlackScholes,1000,900,11772.518875,11823.996111,0.004373
BlackScholes,900,800,12079.851754,12118.302938,0.003183
BlackScholes,800,700,12496.077458,12520.533733,0.001957
BlackScholes,700,600,13252.073450,13190.332143,0.004659
BlackScholes,600,500,14100.722506,14026.844648,0.005239
BlackScholes,500,400,15086.806957,15304.733828,0.014445
BlackScholes,1000,800,13438.661763,13469.447959,0.002291
BlackScholes,900,700,14065.984519,14085.032774,0.001354
BlackScholes,800,600,14959.242115,14938.716690,0.001372
BlackScholes,700,500,16513.143543,16426.263076,0.005261
BlackScholes,1000,700,15659.474815,15656.483170,0.000191
BlackScholes,600,400,18236.259277,18295.185046,0.003231
BlackScholes,900,600,16834.791684,16792.665372,0.002502
BlackScholes,800,500,18659.923575,18495.075320,0.008834
BlackScholes,1000,600,18738.777017,18673.104210,0.003505
BlackScholes,700,400,20942.283969,21065.553798,0.005886
BlackScholes,900,500,21049.524804,20806.774480,0.011532
BlackScholes,800,400,23993.888187,24074.782418,0.003371
BlackScholes,1000,500,23432.403250,23109.227281,0.013792
BlackScholes,900,400,27054.466102,27090.159549,0.001319
BlackScholes,1000,400,30075.438280,30076.423881,0.000033
backprop,400,1000,5603.071904,18623.469981,2.323796
backprop,400,900,5611.156200,18638.303657,2.321651
backprop,400,800,5619.495074,18640.143119,2.317049
backprop,500,1000,5833.613834,18612.817145,2.190615
backprop,500,900,5837.102057,18635.492090,2.192593
backprop,400,700,5631.193310,18659.866195,2.313661
backprop,600,1000,5831.952345,18606.944209,2.190517
backprop,500,800,5852.408435,18649.047677,2.186559
backprop,400,600,5649.142813,18680.600715,2.306803
backprop,600,900,5840.810618,18622.904313,2.188411
backprop,700,1000,5822.649768,18588.094430,2.192377
backprop,500,700,5872.510000,18663.722549,2.178151
backprop,600,800,5861.479345,18642.427232,2.180499
backprop,700,900,5838.963301,18607.745966,2.186824
backprop,400,500,5793.699871,18734.438047,2.233588
backprop,800,1000,5861.961875,18575.547067,2.168828
backprop,500,600,5900.522270,18701.815328,2.169519
backprop,600,700,5893.366130,18660.874364,2.166420
backprop,700,800,5867.607471,18633.081093,2.175584
backprop,800,900,5894.675117,18596.699007,2.154830
backprop,900,1000,5806.292524,18555.908426,2.195827
backprop,400,400,6583.712112,18826.120279,1.859499
backprop,500,500,6523.863205,18790.280131,1.880238
backprop,600,600,6045.957275,18721.092007,2.096464
backprop,700,700,6007.453984,18676.501927,2.108888
backprop,800,800,5975.491078,18635.076513,2.118585
backprop,900,900,5924.294145,18594.896411,2.138753
backprop,1000,1000,5964.216016,18557.598519,2.111490
backprop,1000,900,6191.014500,18618.995879,2.007422
backprop,900,800,6250.457836,18662.902538,1.985846
backprop,800,700,6306.407262,18708.880817,1.966646
backprop,700,600,6696.788365,18773.164835,1.803309
backprop,600,500,7295.891165,18872.285997,1.586701
backprop,500,400,7740.175434,18936.847294,1.446566
backprop,1000,800,6713.696547,18695.036019,1.784611
backprop,900,700,7025.720435,18771.853744,1.671876
backprop,800,600,7452.283359,18842.075622,1.528363
backprop,700,500,8306.090842,18930.529931,1.279114
