kernel,coreF,memF,real,predict,error
BlackScholes,500,1000,5133.556143,5081.856348,0.010071
BlackScholes,500,900,5756.255686,5737.478758,0.003262
BlackScholes,600,1000,6137.626499,6116.886882,0.003379
BlackScholes,500,800,6529.130646,6522.859720,0.000960
BlackScholes,600,900,6885.726405,6884.362030,0.000198
BlackScholes,700,1000,7217.950968,7227.849080,0.001371
BlackScholes,500,700,7594.509446,7592.029422,0.000327
BlackScholes,600,800,7872.271847,7861.574259,0.001359
BlackScholes,700,900,8051.879472,8057.280363,0.000671
BlackScholes,800,1000,8258.322336,8264.541060,0.000753
BlackScholes,500,600,9084.956323,9071.402926,0.001492
BlackScholes,600,700,9147.067248,9148.449779,0.000151
BlackScholes,700,800,9182.930239,9196.349501,0.001461
BlackScholes,800,900,9283.951600,9286.661637,0.000292
BlackScholes,900,1000,9297.697609,9310.422381,0.001369
BlackScholes,500,500,11368.149047,11540.988655,0.015204
BlackScholes,600,600,10947.244882,10929.204876,0.001648
BlackScholes,700,700,10702.953891,10712.265763,0.000870
BlackScholes,800,800,10576.094705,10579.519675,0.000324
BlackScholes,900,900,10452.778245,10462.165597,0.000898
BlackScholes,1000,1000,10385.245269,10389.428078,0.000403
BlackScholes,1000,900,11696.464466,11740.936993,0.003802
BlackScholes,900,800,11909.135292,11922.578128,0.001129
BlackScholes,800,700,12276.279353,12271.998714,0.000349
BlackScholes,700,600,12779.510040,12764.665016,0.001162
BlackScholes,600,500,13620.115517,13667.309715,0.003465
BlackScholes,1000,800,13333.912600,13375.862246,0.003146
BlackScholes,900,700,13864.236499,13855.942646,0.000598
BlackScholes,800,600,14659.711192,14602.040562,0.003934
BlackScholes,700,500,15968.569325,15963.437196,0.000321
BlackScholes,1000,700,15485.146281,15380.040289,0.006788
BlackScholes,900,600,16540.840761,16481.166510,0.003608
BlackScholes,800,500,18273.328731,18179.313244,0.005145
BlackScholes,1000,600,18542.301396,18353.748214,0.010169
BlackScholes,900,500,20583.373211,20383.635269,0.009704
BlackScholes,1000,500,23115.268536,22949.187756,0.007185
SobolQRNG,500,1000,761843.643520,569212.013482,0.252849
SobolQRNG,500,900,766048.549376,638966.554583,0.165893
SobolQRNG,600,1000,759245.444168,682697.007428,0.100822
SobolQRNG,500,800,774749.523354,728341.920867,0.059900
SobolQRNG,600,900,774729.103073,766648.802382,0.010430
SobolQRNG,700,1000,787845.786829,797149.309367,0.011809
SobolQRNG,500,700,829362.703104,846139.859282,0.020229
SobolQRNG,600,800,856225.022976,875272.586601,0.022246
SobolQRNG,700,900,886577.487667,898894.786714,0.013893
SobolQRNG,800,1000,895174.659441,913107.081601,0.020032
SobolQRNG,500,600,983260.081690,1009038.789932,0.026218
SobolQRNG,600,700,991330.275103,1016497.564553,0.025387
SobolQRNG,700,800,998651.276206,1022776.208177,0.024158
SobolQRNG,800,900,1003411.792404,1025934.593373,0.022446
SobolQRNG,900,1000,1007095.576643,1028370.452057,0.021125
SobolQRNG,500,500,1122345.067085,1242645.074928,0.107186
SobolQRNG,600,600,1175016.968387,1207826.537360,0.027923
SobolQRNG,700,700,1153866.969436,1184680.288153,0.026704
SobolQRNG,800,800,1137929.272115,1166204.842306,0.024848
SobolQRNG,900,900,1125582.384292,1152370.300569,0.023799
SobolQRNG,1000,1000,1125142.069709,1144971.154123,0.017624
SobolQRNG,1000,900,1259984.513638,1284492.349571,0.019451
SobolQRNG,900,800,1277573.161375,1310715.480470,0.025942
SobolQRNG,800,700,1314467.301622,1351106.705539,0.027874
SobolQRNG,700,600,1367714.836777,1408089.074687,0.029519
SobolQRNG,600,500,1344128.490732,1489563.573966,0.108200
SobolQRNG,1000,800,1431676.121702,1460008.106291,0.019789
SobolQRNG,900,700,1477159.060009,1519595.970080,0.028729
SobolQRNG,800,600,1562353.746330,1609562.465334,0.030216
SobolQRNG,700,500,1566545.005384,1737631.970390,0.109213
SobolQRNG,1000,700,1662712.663450,1698155.480549,0.021316
SobolQRNG,900,600,1758663.635328,1812844.075660,0.030808
SobolQRNG,800,500,1792846.484275,1988580.876388,0.109175
SobolQRNG,1000,600,1983543.860429,2025249.239944,0.021026
SobolQRNG,900,500,2019102.592020,2240545.031518,0.109674
SobolQRNG,1000,500,2272101.765939,2504958.616111,0.102485
backpropForward,500,1000,5727.271119,4683.152815,0.182306
backpropForward,500,900,5740.316993,4687.601229,0.183390
backpropForward,600,1000,5830.533213,4682.382381,0.196920
backpropForward,500,800,5753.595286,4693.425192,0.184262
backpropForward,600,900,5842.114642,4688.062140,0.197540
backpropForward,700,1000,5810.597542,4679.903893,0.194592
backpropForward,500,700,5772.198882,4700.405202,0.185682
backpropForward,600,800,5859.481296,4694.928833,0.198747
backpropForward,700,900,5828.343239,4686.909849,0.195842
backpropForward,800,1000,5849.705287,4679.205219,0.200096
backpropForward,500,600,5798.861241,4759.494962,0.179236
backpropForward,600,700,5891.192311,4786.232647,0.187561
backpropForward,700,800,5860.373641,4800.746220,0.180812
backpropForward,800,900,5879.760164,4810.369348,0.181877
backpropForward,900,1000,5799.988339,4809.027312,0.170856
backpropForward,500,500,6438.711048,5847.579915,0.091809
backpropForward,600,600,6002.057336,5575.543590,0.071061
backpropForward,700,700,6007.078742,5521.702922,0.080801
backpropForward,800,800,5960.388704,5428.616765,0.089218
backpropForward,900,900,5917.690591,5357.030089,0.094743
backpropForward,1000,1000,5971.054761,5306.784717,0.111248
backpropForward,1000,900,6206.906475,5922.493303,0.045822
backpropForward,900,800,6236.465944,6059.431377,0.028387
backpropForward,800,700,6309.380025,6206.722072,0.016271
backpropForward,700,600,6610.494268,6438.784462,0.025975
backpropForward,600,500,7286.570874,6921.260372,0.050135
backpropForward,1000,800,6738.119144,6685.478956,0.007812
backpropForward,900,700,7024.259453,6917.612484,0.015183
backpropForward,800,600,7468.436456,7303.926544,0.022027
backpropForward,700,500,8107.279976,7979.398187,0.015774
backpropForward,1000,700,7818.899880,7658.085988,0.020567
backpropForward,900,600,8331.612423,8202.334400,0.015517
backpropForward,800,500,9223.806934,9056.677837,0.018119
backpropForward,1000,600,9292.722261,9104.170959,0.020290
backpropForward,900,500,10372.578160,10174.178250,0.019127
backpropForward,1000,500,11613.585900,11366.416984,0.021283
conjugateGradient,500,1000,2984.000934,2841.824496,0.047646
conjugateGradient,500,900,3192.639879,3143.278075,0.015461
conjugateGradient,600,1000,3339.698435,3330.746399,0.002680
conjugateGradient,500,800,3474.012010,3532.269846,0.016770
conjugateGradient,600,900,3638.531160,3692.809617,0.014918
conjugateGradient,700,1000,3704.171436,3833.630823,0.034950
conjugateGradient,500,700,3890.787964,4043.975459,0.039372
conjugateGradient,600,800,4042.729819,4158.085250,0.028534
conjugateGradient,700,900,4116.597993,4241.623580,0.030371
conjugateGradient,800,1000,4126.813616,4303.665475,0.042854
conjugateGradient,500,600,4506.210938,4738.747047,0.051603
conjugateGradient,600,700,4555.611644,4769.803205,0.047017
conjugateGradient,700,800,4593.638569,4782.746476,0.041167
conjugateGradient,800,900,4558.361003,4789.514756,0.050710
conjugateGradient,900,1000,4563.361735,4788.405153,0.049315
conjugateGradient,500,500,5752.291200,5780.800557,0.004956
conjugateGradient,600,600,5343.875842,5603.488496,0.048581
conjugateGradient,700,700,5253.868047,5494.888238,0.045875
conjugateGradient,800,800,5131.769213,5408.628575,0.053950
conjugateGradient,900,900,5074.086032,5335.625326,0.051544
conjugateGradient,1000,1000,5031.552869,5295.499352,0.052458
conjugateGradient,1000,900,5586.782143,5898.194758,0.055741
conjugateGradient,900,800,5702.351954,6033.755994,0.058117
conjugateGradient,800,700,5866.665709,6222.279924,0.060616
conjugateGradient,700,600,6125.128242,6466.544852,0.055740
conjugateGradient,600,500,6804.959438,6826.468413,0.003161
conjugateGradient,1000,800,6321.908496,6661.450527,0.053709
conjugateGradient,900,700,6569.425136,6947.725164,0.057585
conjugateGradient,800,600,6919.781940,7249.772096,0.047688
conjugateGradient,700,500,7910.741081,7893.661711,0.002159
conjugateGradient,1000,700,7312.658747,7681.167687,0.050393
conjugateGradient,900,600,7709.691810,8058.513756,0.045245
conjugateGradient,800,500,8879.156051,8959.741297,0.009076
conjugateGradient,1000,600,8534.430428,8983.698049,0.052642
conjugateGradient,900,500,9970.301505,10027.253756,0.005712
conjugateGradient,1000,500,11155.578541,11142.798910,0.001146
convolutionSeparable,500,1000,17363.416657,17387.341640,0.001378
convolutionSeparable,500,900,19154.723647,19396.105301,0.012602
convolutionSeparable,600,1000,20452.813783,20707.757479,0.012465
convolutionSeparable,500,800,21814.540096,22048.181738,0.010710
convolutionSeparable,600,900,22947.030120,23228.985953,0.012287
convolutionSeparable,700,1000,23991.806903,24190.701436,0.008290
convolutionSeparable,500,700,25307.552325,25540.306953,0.009197
convolutionSeparable,600,800,26084.880228,26345.308944,0.009984
convolutionSeparable,700,900,26717.533978,26994.097009,0.010351
convolutionSeparable,800,1000,27170.074289,27451.679427,0.010365
convolutionSeparable,500,600,30105.590000,30298.003139,0.006391
convolutionSeparable,600,700,30308.904500,30521.298033,0.007008
convolutionSeparable,700,800,30459.377676,30696.246893,0.007777
convolutionSeparable,800,900,30552.364013,30822.807400,0.008852
convolutionSeparable,900,1000,30485.017710,30754.977924,0.008856
convolutionSeparable,500,500,37300.756783,37336.573126,0.000960
convolutionSeparable,600,600,36047.246400,36161.581892,0.003172
convolutionSeparable,700,700,35174.140663,35336.269007,0.004609
convolutionSeparable,800,800,34629.795200,34846.345834,0.006253
convolutionSeparable,900,900,34269.347570,34512.215559,0.007087
convolutionSeparable,1000,1000,34075.896850,34241.328018,0.004855
convolutionSeparable,1000,900,38225.855778,38332.470482,0.002789
convolutionSeparable,900,800,38799.793590,38986.471098,0.004811
convolutionSeparable,800,700,40264.572762,40409.202377,0.003592
convolutionSeparable,700,600,41832.692673,41865.152597,0.000776
convolutionSeparable,600,500,44461.710133,44328.058599,0.003006
convolutionSeparable,1000,800,43553.312458,43654.082244,0.002314
convolutionSeparable,900,700,45124.849300,45215.689472,0.002013
convolutionSeparable,800,600,47836.806120,47815.679013,0.000442
convolutionSeparable,700,500,52233.881280,51793.110438,0.008438
convolutionSeparable,1000,700,50727.942436,50659.525195,0.001349
convolutionSeparable,900,600,54013.762675,53896.938576,0.002163
convolutionSeparable,800,500,59569.424960,58758.372428,0.013615
convolutionSeparable,1000,600,60086.726986,59784.421952,0.005031
convolutionSeparable,900,500,66888.403240,65788.373560,0.016446
convolutionSeparable,1000,500,74623.326189,72861.165384,0.023614
convolutionTexture,500,1000,4039.403419,3249.079339,0.195654
convolutionTexture,500,900,4041.088969,3490.405460,0.136271
convolutionTexture,600,1000,4032.152864,3629.177088,0.099941
convolutionTexture,500,800,4052.313394,3789.181888,0.064934
convolutionTexture,600,900,4061.234767,3914.703819,0.036080
convolutionTexture,700,1000,4055.028488,4002.441214,0.012968
convolutionTexture,500,700,4144.485651,4184.317273,0.009611
convolutionTexture,600,800,4188.044030,4271.838145,0.020008
convolutionTexture,700,900,4202.303045,4330.426988,0.030489
convolutionTexture,800,1000,4237.758258,4376.660772,0.032777
convolutionTexture,500,600,4459.781322,4729.421637,0.060460
convolutionTexture,600,700,4482.107190,4749.256305,0.059603
convolutionTexture,700,800,4489.901981,4754.033926,0.058828
convolutionTexture,800,900,4511.209733,4754.824197,0.054002
convolutionTexture,900,1000,4504.720825,4750.984373,0.054668
convolutionTexture,500,500,5586.178850,5565.784508,0.003651
convolutionTexture,600,600,5069.110364,5403.378760,0.065942
convolutionTexture,700,700,4978.778159,5310.878727,0.066703
convolutionTexture,800,800,4938.257170,5241.056481,0.061317
convolutionTexture,900,900,4885.602614,5177.437604,0.059734
convolutionTexture,1000,1000,4871.791227,5163.482584,0.059874
convolutionTexture,1000,900,5275.913969,5614.915696,0.064255
