kernel,coreF,memF,real,predict,error
BlackScholes,1100,3600,3237.272511,3095.192753,0.043889
SobolQRNG,1100,3600,352343.160762,317125.457673,0.099953
backpropBackward,1100,3600,8793.269057,4140.586519,0.529119
backpropForward,1100,3600,5738.077591,5609.692544,0.022374
binomialOptions,1100,3600,4341386.181943,2015550.872874,0.535736
cfd,1100,3600,17806.697557,32509.854573,0.825709
conjugateGradient,1100,3600,2400.317414,2189.264886,0.087927
convolutionSeparable,1100,3600,17888.349513,17445.399603,0.024762
convolutionTexture,1100,3600,3978.904019,1707.196252,0.570938
dxtc,1100,3600,34389.248850,35816.513943,0.041503
eigenvalues,1100,3600,24413743.411200,584998.867305,0.976038
fastWalshTransform,1100,3600,4808.667256,4701.521345,0.022282
gaussian,1100,3600,1590.336952,2761.989069,0.736732
histogram,1100,3600,1395185.181084,1356946.055470,0.027408
hotspot,1100,3600,7597.786722,3130.440133,0.587980
matrixMulGlobal,1100,3600,201030.687633,161760.846444,0.195343
matrixMulShared,1100,3600,58942.630172,61837.555544,0.049114
mergeSort,1100,3600,37579.913482,43270.874521,0.151436
nn,1100,3600,1823.984047,2471.821919,0.355177
pathfinder,1100,3600,84772.883710,78262.085239,0.076803
quasirandomGenerator,1100,3600,540285.383147,489201.302169,0.094550
reduction,1100,3600,2839.782099,2154.423922,0.241342
scalarProd,1100,3600,2859454.515390,2690192.877410,0.059194
scanScanExclusiveShared,1100,3600,5400.342245,5300.666062,0.018457
scanUniformUpdate,1100,3600,5059.858536,4996.683407,0.012486
sortingNetworks,1100,3600,46280.195967,47945.052699,0.035973
srad,1100,3600,10714.835860,6048.459406,0.435506
stereoDisparity,1100,3600,95373.533888,99906.519531,0.047529
transpose,1100,3600,1372.618377,1457.149498,0.061584
vectorAdd,1100,3600,1781.886776,2014.860053,0.130745
