kernel,coreF,memF,real,predict,error
BlackScholes,400,1000,4379.717467,3399.088922,0.223902
BlackScholes,400,900,4776.857258,3459.081439,0.275867
BlackScholes,400,800,5385.673938,3541.948119,0.342339
BlackScholes,500,1000,5256.556069,3526.246151,0.329172
BlackScholes,500,900,5831.250609,3605.154768,0.381753
BlackScholes,400,700,6272.691885,3640.790552,0.419581
BlackScholes,600,1000,6237.479991,3654.780032,0.414061
BlackScholes,500,800,6742.196136,3699.902785,0.451232
BlackScholes,400,600,7528.779765,3775.048354,0.498584
BlackScholes,600,900,7014.447497,3746.407977,0.465901
BlackScholes,700,1000,7289.276295,3780.763578,0.481325
BlackScholes,500,700,7863.022661,3821.460644,0.513996
BlackScholes,600,800,8017.138472,3855.682983,0.519070
BlackScholes,700,900,8204.900098,3883.611245,0.526672
BlackScholes,400,500,9302.629884,3993.412349,0.570722
BlackScholes,800,1000,8347.524983,3903.414375,0.532387
BlackScholes,500,600,9274.916963,3983.778744,0.570478
BlackScholes,600,700,9450.699254,3998.571790,0.576902
BlackScholes,700,800,9366.064625,4010.056413,0.571853
BlackScholes,800,900,9392.869126,4018.186546,0.572209
BlackScholes,900,1000,9413.601604,4024.114213,0.572521
BlackScholes,400,400,12001.764937,4270.227580,0.644200
BlackScholes,500,500,11685.377578,4234.823536,0.637596
BlackScholes,600,600,11337.586165,4189.591247,0.630469
BlackScholes,700,700,10922.658296,4175.535913,0.617718
BlackScholes,800,800,10729.336227,4159.757520,0.612301
BlackScholes,900,900,10589.242594,4152.305473,0.607875
BlackScholes,1000,1000,10478.463187,4142.570577,0.604659
BlackScholes,1000,900,11772.518875,4283.219679,0.636168
BlackScholes,900,800,12079.851754,4309.026007,0.643288
BlackScholes,800,700,12496.077458,4347.211700,0.652114
BlackScholes,700,600,13252.073450,4392.565137,0.668538
BlackScholes,600,500,14100.722506,4477.465897,0.682465
BlackScholes,500,400,15086.806957,4579.987472,0.696424
BlackScholes,1000,800,13438.661763,4456.312566,0.668396
BlackScholes,900,700,14065.984519,4515.500099,0.678977
BlackScholes,800,600,14959.242115,4598.347367,0.692608
BlackScholes,700,500,16513.143543,4718.877433,0.714235
BlackScholes,1000,700,15659.474815,4684.592136,0.700846
BlackScholes,600,400,18236.259277,4888.458523,0.731937
BlackScholes,900,600,16834.791684,4793.482205,0.715263
BlackScholes,800,500,18659.923575,4959.660005,0.734208
BlackScholes,1000,600,18738.777017,4993.287559,0.733532
BlackScholes,700,400,20942.283969,5195.290567,0.751923
BlackScholes,900,500,21049.524804,5200.005742,0.752963
BlackScholes,800,400,23993.888187,5502.983572,0.770651
BlackScholes,1000,500,23432.403250,5438.648533,0.767901
BlackScholes,900,400,27054.466102,5810.943849,0.785213
BlackScholes,1000,400,30075.438280,6114.577199,0.796692
backprop,400,1000,5603.071904,6270.362060,0.119094
backprop,400,900,5611.156200,6322.470557,0.126768
backprop,400,800,5619.495074,6385.034636,0.136229
backprop,500,1000,5833.613834,6368.798671,0.091742
backprop,500,900,5837.102057,6434.569527,0.102357
backprop,400,700,5631.193310,6470.094613,0.148974
backprop,600,1000,5831.952345,6467.316123,0.108945
