kernel,coreF,memF,real,predict,error
cachebench,1100,3600,961808.903770,1410715.533554,0.466732
cachebench,1100,3600,962000.539280,1365714.811461,0.419661
cachebench,1100,3600,962302.828630,1330277.347415,0.382390
cachebench,1100,3600,962420.305770,1304339.701038,0.355270
cachebench,1100,3600,962980.696260,1284649.840763,0.334035
cachebench,1100,3600,962984.975040,1271547.894812,0.320423
cachebench,1100,3600,962910.374580,1279148.354460,0.328419
cachebench,1100,3600,964114.272000,1267802.973815,0.314992
cachebench,1100,3600,967755.966320,1268703.985298,0.310975
cachebench,1100,3600,968438.065980,1267067.014745,0.308361
cachebench,1100,3600,968826.098240,1263346.842814,0.303998
cachebench,1100,3600,969323.891140,1263746.796667,0.303740
cachebench,1100,3600,969806.136640,1263225.023179,0.302554
cachebench,1100,3600,970088.305120,1264196.705963,0.303177
cachebench,1100,3600,970668.621120,1259306.126991,0.297359
cachebench,1100,3600,971268.376980,1257189.367420,0.294379
cachebench,1100,3600,1886323.454400,2306070.801736,0.222521
cachebench,1100,3600,1183652.127240,2314390.764865,0.955296
cachebench,1100,3600,1183804.564800,2204169.214032,0.861937
cachebench,1100,3600,1183896.846990,2152601.358369,0.818234
cachebench,1100,3600,1187270.241300,2140951.960464,0.803256
cachebench,1100,3600,1188770.259600,2139069.219176,0.799397
cachebench,1100,3600,1189089.893640,2131690.709799,0.792708
cachebench,1100,3600,1189812.518620,2130538.174734,0.790650
cachebench,1100,3600,1190743.787750,2123817.153707,0.783605
cachebench,1100,3600,2427826.766310,4302174.541965,0.772027
cachebench,1100,3600,1347576.779780,3995308.123020,1.964809
cachebench,1100,3600,1349996.486850,3903790.771181,1.891704
cachebench,1100,3600,1359662.447440,3977608.419125,1.925438
cachebench,1100,3600,2726691.392700,8343208.252391,2.059829
cachebench-l2-only,1100,3600,2144616.995400,2205668.008257,0.028467
cachebench-l2-only,1100,3600,2143682.393380,2226234.951339,0.038510
cachebench-l2-only,1100,3600,2145113.687200,2199459.436648,0.025335
cachebench-l2-only,1100,3600,2144425.397840,2236510.629685,0.042942
cachebench-l2-only,1100,3600,2141980.909200,2262744.958485,0.056380
cachebench-l2-only,1100,3600,2147333.749440,2253465.506777,0.049425
cachebench-l2-only,1100,3600,2142212.240740,2247987.288326,0.049377
cachebench-l2-only,1100,3600,2149046.616750,2254448.539499,0.049046
cachebench-l2-only,1100,3600,2148353.604100,2234806.114566,0.040241
cachebench-l2-only,1100,3600,2155059.491200,2235587.312975,0.037367
cachebench-l2-only,1100,3600,2153665.032090,2233141.063230,0.036903
cachebench-l2-only,1100,3600,2154268.098180,2229396.015883,0.034874
cachebench-l2-only,1100,3600,2157167.782770,2228030.654307,0.032850
cachebench-l2-only,1100,3600,2157034.418440,2230863.058722,0.034227
cachebench-l2-only,1100,3600,2159257.524160,2233683.978140,0.034469
cachebench-l2-only,1100,3600,2159961.031250,2221543.495048,0.028511
cachebench-l2-only,1100,3600,3270028.361820,3003371.246544,0.081546
cachebench-l2-only,1100,3600,2582200.214000,3844489.792881,0.488843
cachebench-l2-only,1100,3600,2579060.702900,3885376.263283,0.506508
cachebench-l2-only,1100,3600,2567817.833240,3932964.183708,0.531637
cachebench-l2-only,1100,3600,2588060.219250,3948171.598484,0.525533
cachebench-l2-only,1100,3600,2588193.759360,3916108.469727,0.513066
cachebench-l2-only,1100,3600,2586838.787280,3915550.814265,0.513643
cachebench-l2-only,1100,3600,2591194.617000,3898088.612689,0.504360
cachebench-l2-only,1100,3600,2591696.726850,3915229.604378,0.510682
cachebench-l2-only,1100,3600,4409659.587300,5459834.999734,0.238153
cachebench-l2-only,1100,3600,2460581.504810,7295635.776646,1.965005
cachebench-l2-only,1100,3600,2465539.501920,7439277.422044,2.017302
cachebench-l2-only,1100,3600,2479634.081650,7624090.288628,2.074684
cachebench-l2-only,1100,3600,2728810.863900,8456262.961470,2.098882
cachebench-tex-loads,1100,3600,1061728.728390,1341262.189686,0.263281
cachebench-tex-loads,1100,3600,1059558.368000,1299172.117211,0.226145
cachebench-tex-loads,1100,3600,1062203.059610,1256313.858186,0.182744
cachebench-tex-loads,1100,3600,1066533.505290,1227971.707096,0.151367
cachebench-tex-loads,1100,3600,1072429.845300,1230801.695935,0.147676
cachebench-tex-loads,1100,3600,1074775.110090,1224290.879091,0.139114
cachebench-tex-loads,1100,3600,1075497.536190,1221178.447635,0.135454
cachebench-tex-loads,1100,3600,1077900.459020,1215806.274493,0.127939
cachebench-tex-loads,1100,3600,1093547.364800,1216447.770946,0.112387
cachebench-tex-loads,1100,3600,1095272.229480,1214629.905341,0.108975
cachebench-tex-loads,1100,3600,1095607.503760,1208821.366694,0.103334
cachebench-tex-loads,1100,3600,1097051.422720,1211492.630012,0.104317
cachebench-tex-loads,1100,3600,1848008.450860,1481987.445723,0.198062
cachebench-tex-loads,1100,3600,1971667.469420,1566903.606776,0.205290
cachebench-tex-loads,1100,3600,2103539.892300,1719716.717451,0.182465
cachebench-tex-loads,1100,3600,2117366.857100,1745123.451968,0.175805
cachebench-tex-loads,1100,3600,3363687.118000,2821842.942020,0.161086
cachebench-tex-loads,1100,3600,1004671.061460,1985012.505306,0.975783
cachebench-tex-loads,1100,3600,1004973.704350,2038207.915669,1.028121
cachebench-tex-loads,1100,3600,1005291.721720,2075212.241451,1.064289
cachebench-tex-loads,1100,3600,1008303.539980,2071141.128113,1.054085
cachebench-tex-loads,1100,3600,1009561.482600,2068742.661996,1.049150
cachebench-tex-loads,1100,3600,1010209.898610,2059190.123534,1.038378
cachebench-tex-loads,1100,3600,1010842.165740,2057655.723649,1.035586
cachebench-tex-loads,1100,3600,1011693.158520,2052670.838084,1.028946
cachebench-tex-loads,1100,3600,2308957.163370,4198648.851339,0.818418
cachebench-tex-loads,1100,3600,1323604.763800,3772789.992386,1.850390
cachebench-tex-loads,1100,3600,1325968.952000,3897755.261229,1.939552
cachebench-tex-loads,1100,3600,1352949.312000,3927160.665016,1.902667
cachebench-tex-loads,1100,3600,2592811.710720,7601500.634222,1.931760
mixbench-cuda-alt,1100,3600,2775518.109375,2921415.491971,0.052566
mixbench-cuda-alt,1100,3600,2613791.342250,2928548.719218,0.120422
mixbench-cuda-alt,1100,3600,2759185.860200,2992169.471211,0.084439
mixbench-cuda-alt,1100,3600,3121155.316125,3139458.253415,0.005864
mixbench-cuda-alt,1100,3600,3351356.090775,3229980.782279,0.036217
mixbench-cuda-alt,1100,3600,3675850.310688,3291022.878117,0.104691
mixbench-cuda-alt,1100,3600,4102795.855812,3501032.608985,0.146672
mixbench-cuda-alt,1100,3600,4575149.364500,3875600.919244,0.152902
mixbench-cuda-alt,1100,3600,5444708.276700,4613974.073865,0.152576
mixbench-cuda-alt,1100,3600,6490142.695575,5389760.999633,0.169547
mixbench-cuda-alt,1100,3600,7614688.500650,6155110.146244,0.191679
mixbench-cuda-alt,1100,3600,8935424.159063,6177956.159166,0.308600
mixbench-cuda-alt,1100,3600,995086.660232,1136995.522360,0.142610
mixbench-cuda-alt,1100,3600,1120419.233175,1295745.590036,0.156483
mixbench-cuda-alt,1100,3600,1579002.955200,1692117.958472,0.071637
mixbench-cuda-alt,1100,3600,2535086.888125,2426902.950864,0.042675
mixbench-cuda-alt,1100,3600,3008417.454900,2788745.206281,0.073019
mixbench-cuda-alt,1100,3600,3443584.817200,3153516.223736,0.084234
mixbench-cuda-alt,1100,3600,3962581.054300,3524605.725595,0.110528
mixbench-cuda-alt,1100,3600,4494144.475975,3895972.440784,0.133100
mixbench-cuda-alt,1100,3600,5296355.964075,4627134.427846,0.126355
mixbench-cuda-alt,1100,3600,6412093.842413,5387957.348162,0.159720
mixbench-cuda-alt,1100,3600,7565147.157838,6159053.858619,0.185865
mixbench-cuda-alt,1100,3600,8190572.857500,6179448.567640,0.245541
mixbench-cuda-alt,1100,3600,19958881.937500,2189337.817510,0.890308
mixbench-cuda-alt,1100,3600,19295333.310000,2573781.184721,0.866611
mixbench-cuda-alt,1100,3600,18057588.780000,3162416.758602,0.824870
mixbench-cuda-alt,1100,3600,15690054.688000,4400809.444437,0.719516
mixbench-cuda-alt,1100,3600,14441449.955625,5021775.859528,0.652267
mixbench-cuda-alt,1100,3600,13145763.394500,5632323.899489,0.571548
mixbench-cuda-alt,1100,3600,11877627.832125,6288728.591587,0.470540
mixbench-cuda-alt,1100,3600,10588837.286500,6933572.297838,0.345200
mixbench-cuda-ro,1100,3600,22484.461715,20186.127939,0.102219
mixbench-cuda-ro,1100,3600,22630.603256,20308.881069,0.102592
mixbench-cuda-ro,1100,3600,24326.075084,20332.658416,0.164162
mixbench-cuda-ro,1100,3600,29785.861341,26443.487673,0.112213
mixbench-cuda-ro,1100,3600,31753.676384,30396.882370,0.042729
mixbench-cuda-ro,1100,3600,37937.698631,35603.521682,0.061527
mixbench-cuda-ro,1100,3600,40110.545970,39563.965194,0.013627
mixbench-cuda-ro,1100,3600,46478.630880,44865.778426,0.034701
mixbench-cuda-ro,1100,3600,55025.328531,54097.383141,0.016864
mixbench-cuda-ro,1100,3600,63912.596619,63680.427580,0.003633
mixbench-cuda-ro,1100,3600,72396.818522,72994.023794,0.008249
mixbench-cuda-ro,1100,3600,80656.667403,81921.433358,0.015681
mixbench-cuda-ro,1100,3600,22203.518809,20193.606562,0.090522
mixbench-cuda-ro,1100,3600,22247.319700,20365.125232,0.084603
mixbench-cuda-ro,1100,3600,22976.236139,20387.774727,0.112658
mixbench-cuda-ro,1100,3600,24659.831703,20426.172805,0.171682
mixbench-cuda-ro,1100,3600,24906.168710,20366.988964,0.182251
mixbench-cuda-ro,1100,3600,27508.852749,20992.585567,0.236879
mixbench-cuda-ro,1100,3600,27931.455545,22786.275623,0.184207
mixbench-cuda-ro,1100,3600,31784.418928,25629.788478,0.193637
mixbench-cuda-ro,1100,3600,36436.158687,30143.354257,0.172708
mixbench-cuda-ro,1100,3600,41301.077232,34567.130903,0.163045
mixbench-cuda-ro,1100,3600,46270.928261,39262.242947,0.151471
mixbench-cuda-ro,1100,3600,51262.246166,43786.311019,0.145837
mixbench-cuda-ro,1100,3600,43371.504743,40285.969001,0.071142
mixbench-cuda-ro,1100,3600,45068.497870,40114.318871,0.109926
mixbench-cuda-ro,1100,3600,73016.657601,40004.965389,0.452112
mixbench-cuda-ro,1100,3600,135426.345684,40123.167881,0.703727
mixbench-cuda-ro,1100,3600,166241.817913,39900.906142,0.759983
mixbench-cuda-ro,1100,3600,197431.907784,40069.636838,0.797046
mixbench-cuda-ro,1100,3600,226584.276621,39735.248536,0.824634
mixbench-cuda-ro,1100,3600,255271.450809,39394.825610,0.845675
mixbench-cuda-ro,1100,3600,319437.318200,40033.480208,0.874675
mixbench-cuda-ro,1100,3600,377440.563637,39768.088289,0.894637
mixbench-cuda-ro,1100,3600,458905.739600,41650.202426,0.909240
mixbench-cuda-ro,1100,3600,529420.268162,42541.729523,0.919645
shmembench,1100,3600,4261.867485,4387.569542,0.029495
shmembench,1100,3600,4334.004610,4904.334769,0.131594
shmembench,1100,3600,6809.650405,7694.256642,0.129905
shmembench,1100,3600,12431.221419,13644.542814,0.097603
shmembench,1100,3600,18122.684308,19658.777359,0.084761
shmembench,1100,3600,23800.595105,25659.293366,0.078095
shmembench,1100,3600,29484.171446,31665.436448,0.073981
shmembench,1100,3600,35186.766058,37678.347056,0.070810
shmembench,1100,3600,40889.833813,43697.688399,0.068669
shmembench,1100,3600,46596.664599,48122.442578,0.032744
shmembench,1100,3600,92303.693140,94583.825577,0.024703
shmembench,1100,3600,8554.724337,8395.720339,0.018587
shmembench,1100,3600,8700.471029,8482.554493,0.025047
shmembench,1100,3600,12380.513613,11797.126162,0.047121
shmembench,1100,3600,23220.831216,21855.880769,0.058781
shmembench,1100,3600,34253.542125,32026.405208,0.065019
shmembench,1100,3600,45235.504380,42176.102417,0.067633
shmembench,1100,3600,56228.299858,52362.696593,0.068748
shmembench,1100,3600,67246.826433,62546.236682,0.069901
