kernel,coreF,memF,real,predict,error
BlackScholes,607,715,7747.508053,5593.914839,0.277972
BlackScholes,810,715,7764.875390,6943.357762,0.105799
BlackScholes,1012,715,7804.952850,8198.411236,0.050411
BlackScholes,1202,715,9027.140070,9354.062362,0.036215
BlackScholes,1328,715,9953.246165,10284.780806,0.033309
matrixMulGlobal,607,715,490568.044508,77765.392425,0.841479
matrixMulGlobal,810,715,504856.676961,78367.379501,0.844773
matrixMulGlobal,1012,715,517149.936732,78939.827261,0.847356
matrixMulGlobal,1202,715,523447.378587,80920.413907,0.845409
matrixMulGlobal,1328,715,538893.110018,82584.254724,0.846752
quasirandomGenerator,607,715,88600.524631,14657.015683,0.834572
quasirandomGenerator,810,715,89819.669659,18244.149963,0.796880
quasirandomGenerator,1012,715,88550.488135,21680.753600,0.755159
quasirandomGenerator,1202,715,90461.334638,25331.824275,0.719971
quasirandomGenerator,1328,715,90320.448371,27517.743453,0.695332
sortingNetworks,607,715,3758.065788,3488.710386,0.071674
sortingNetworks,810,715,4961.782857,4625.399896,0.067795
sortingNetworks,1012,715,6148.167790,5768.396665,0.061770
sortingNetworks,1202,715,7298.076327,6866.294303,0.059164
sortingNetworks,1328,715,8074.286358,7603.436295,0.058315
vectorAdd,607,715,1368.795769,1339.542889,0.021371
vectorAdd,810,715,1831.456492,1776.861490,0.029810
vectorAdd,1012,715,2317.060236,2230.676065,0.037282
vectorAdd,1202,715,2777.163682,2669.399031,0.038804
vectorAdd,1328,715,3083.186028,2962.424056,0.039168
