kernel,coreF,memF,real,predict,error
BlackScholes,607,715,5536.313731,5999.231899,0.083615
BlackScholes,810,715,5506.176165,5944.446774,0.079596
BlackScholes,1012,715,5579.449560,5974.682588,0.070837
BlackScholes,1202,715,5805.195630,5965.631452,0.027637
BlackScholes,1328,715,6120.734658,5965.616767,0.025343
SobolQRNG,607,715,788474.774570,775126.192227,0.016930
SobolQRNG,810,715,968285.105061,830782.241456,0.142007
SobolQRNG,1012,715,1173116.819804,860522.065048,0.266465
SobolQRNG,1202,715,1350655.173291,988644.974250,0.268026
SobolQRNG,1328,715,1468740.806776,1083260.142840,0.262457
backpropForward,607,715,13680.824440,12720.362154,0.070205
backpropForward,810,715,13714.741737,12704.370575,0.073670
backpropForward,1012,715,13711.491356,12701.696401,0.073646
backpropForward,1202,715,13735.754844,12708.733831,0.074770
backpropForward,1328,715,13845.736850,12712.699559,0.081833
conjugateGradient,607,715,3545.149401,3618.247067,0.020619
conjugateGradient,810,715,3707.468303,3767.790254,0.016270
conjugateGradient,1012,715,3743.486483,3806.211101,0.016756
conjugateGradient,1202,715,3846.558724,3784.713404,0.016078
conjugateGradient,1328,715,3970.433504,3807.669602,0.040994
convolutionSeparable,607,715,13770.269593,13920.554718,0.010914
convolutionSeparable,810,715,13806.116656,13901.526962,0.006911
convolutionSeparable,1012,715,13802.500365,13882.799871,0.005818
convolutionSeparable,1202,715,13701.944177,13740.005348,0.002778
convolutionSeparable,1328,715,13922.570251,13631.380769,0.020915
convolutionTexture,607,715,7935.352188,5991.616472,0.244946
convolutionTexture,810,715,8187.408045,6299.742486,0.230557
convolutionTexture,1012,715,8602.793944,6582.429400,0.234850
convolutionTexture,1202,715,8914.605132,6810.777625,0.235998
convolutionTexture,1328,715,9218.765976,6963.926335,0.244592
fastWalshTransform,607,715,3336.775966,3281.457754,0.016578
fastWalshTransform,810,715,4523.676774,4353.351612,0.037652
fastWalshTransform,1012,715,5713.214094,5447.392214,0.046528
fastWalshTransform,1202,715,6878.733856,6523.308752,0.051670
