kernel,coreF,memF,real,predict,error
BlackScholes,607,715,7747.508053,15252.129907,0.968650
BlackScholes,810,715,7764.875390,15068.388725,0.940583
BlackScholes,1012,715,7804.952850,14667.054347,0.879198
BlackScholes,1202,715,9027.140070,14326.450204,0.587042
BlackScholes,1328,715,9953.246165,14374.414227,0.444194
backprop,607,715,7494.867112,11842.937356,0.580140
backprop,810,715,7514.333776,11813.868174,0.572178
backprop,1012,715,7522.737565,11798.706627,0.568406
backprop,1202,715,7574.006255,11808.705407,0.559110
backprop,1328,715,7615.937016,11813.585836,0.551166
conjugateGradient,607,715,3819.610540,5419.098963,0.418757
conjugateGradient,810,715,3790.720020,5382.050975,0.419796
conjugateGradient,1012,715,3812.778892,5399.680280,0.416206
conjugateGradient,1202,715,3874.592193,5360.560117,0.383516
conjugateGradient,1328,715,4014.583117,5405.241852,0.346402
convolutionSeparable,607,715,13794.095049,6868.873240,0.502042
convolutionSeparable,810,715,13886.792023,9150.058997,0.341096
convolutionSeparable,1012,715,13915.566579,11411.206059,0.179968
convolutionSeparable,1202,715,13897.343534,13526.330646,0.026697
convolutionSeparable,1328,715,14026.954033,14793.454615,0.054645
fastWalshTransform,607,715,12809.520097,15754.160334,0.229879
fastWalshTransform,810,715,13086.512450,15744.298290,0.203094
fastWalshTransform,1012,715,13295.831152,15741.589190,0.183949
fastWalshTransform,1202,715,13582.260054,15765.453517,0.160739
fastWalshTransform,1328,715,14040.161943,15789.463022,0.124593
histogram,607,715,205035.148916,76030.969673,0.629181
histogram,810,715,251951.597211,101955.219620,0.595338
histogram,1012,715,270233.527084,127517.140551,0.528122
histogram,1202,715,277836.420440,151370.975382,0.455180
histogram,1328,715,291706.758298,167110.236550,0.427129
matrixMulGlobal,607,715,490568.044508,1136779.611212,1.317272
matrixMulGlobal,810,715,504856.676961,1142419.558171,1.262859
matrixMulGlobal,1012,715,517149.936732,1145303.271270,1.214645
matrixMulGlobal,1202,715,523447.378587,1146050.243455,1.189428
matrixMulGlobal,1328,715,538893.110018,1151792.723449,1.137331
matrixMulShared,607,715,136146.939465,89346.187751,0.343752
matrixMulShared,810,715,138269.962656,89313.331918,0.354066
matrixMulShared,1012,715,138200.613705,89309.399961,0.353770
matrixMulShared,1202,715,138040.247968,89551.840978,0.351263
matrixMulShared,1328,715,138648.522237,89192.051177,0.356704
mergeSort,607,715,7488.043027,9292.223142,0.240941
mergeSort,810,715,7560.950687,9275.578174,0.226774
mergeSort,1012,715,7585.492429,9263.068441,0.221156
mergeSort,1202,715,7632.456955,9271.389640,0.214732
mergeSort,1328,715,7742.931682,9284.222485,0.199058
quasirandomGenerator,607,715,88600.524631,17453.668870,0.803007
quasirandomGenerator,810,715,89819.669659,21654.090061,0.758916
quasirandomGenerator,1012,715,88550.488135,25463.069137,0.712446
quasirandomGenerator,1202,715,90461.334638,29359.838403,0.675443
quasirandomGenerator,1328,715,90320.448371,31673.201073,0.649324
scalarProd,607,715,18741.771899,9893.443999,0.472118
scalarProd,810,715,21139.458006,13062.347102,0.382087
scalarProd,1012,715,23660.912408,16240.597879,0.313611
scalarProd,1202,715,26029.975324,19227.352886,0.261338
scalarProd,1328,715,27804.323618,21191.220132,0.237844
scan,607,715,5561.980354,5328.083030,0.042053
scan,810,715,5586.401612,5316.785193,0.048263
scan,1012,715,6435.542018,6434.505301,0.000161
scan,1202,715,7643.368884,7651.301482,0.001038
scan,1328,715,8460.397323,8463.408561,0.000356
sortingNetworks,607,715,3758.065788,3410.741677,0.092421
sortingNetworks,810,715,4961.782857,4584.049397,0.076129
sortingNetworks,1012,715,6148.167790,5755.324153,0.063896
sortingNetworks,1202,715,7298.076327,6875.785061,0.057863
sortingNetworks,1328,715,8074.286358,7624.067221,0.055760
transpose,607,715,1442.678749,1381.747834,0.042235
transpose,810,715,1528.722657,1398.221491,0.085366
transpose,1012,715,1657.216165,1498.198599,0.095955
transpose,1202,715,1862.494932,1818.048675,0.023864
transpose,1328,715,2036.959645,2032.806398,0.002039
vectorAdd,607,715,1368.795769,1239.776452,0.094258
vectorAdd,810,715,1831.456492,1702.606687,0.070354
vectorAdd,1012,715,2317.060236,2171.795405,0.062694
vectorAdd,1202,715,2777.163682,2620.265584,0.056496
vectorAdd,1328,715,3083.186028,2918.216833,0.053506
