kernel,coreF,memF,real,predict,error
BlackScholes,1328,715,6121.248760,6181.840828,0.009899
SobolQRNG,1328,715,1469464.568050,1283984.137020,0.126223
backpropForward,1328,715,13846.240311,11092.037207,0.198913
conjugateGradient,1328,715,3968.558270,3421.348940,0.137886
convolutionSeparable,1328,715,13918.280452,15002.486936,0.077898
convolutionTexture,1328,715,9226.887056,3169.042272,0.656543
fastWalshTransform,1328,715,7648.464898,8369.220142,0.094235
histogram,1328,715,3423001.558323,3043698.513976,0.110810
hotspot,1328,715,12440.617047,11129.214504,0.105413
matrixMulGlobal,1328,715,1229149.409910,1124770.196760,0.084920
matrixMulShared,1328,715,311223.654605,302822.351099,0.026994
mergeSort,1328,715,75462.751058,68368.154991,0.094015
nn,1328,715,2961.297172,3317.193057,0.120182
quasirandomGenerator,1328,715,3069417.916947,2207001.344397,0.280971
reduction,1328,715,8416.975750,4462.179261,0.469860
scalarProd,1328,715,5957918.918784,7212804.477571,0.210625
scanScanExclusiveShared,1328,715,11324.305250,9300.086254,0.178750
sortingNetworks,1328,715,57981.036728,58247.259695,0.004592
transpose,1328,715,2147.108130,2353.547273,0.096148
vectorAdd,1328,715,2959.049177,3486.883711,0.178380
