kernel,coreF,memF,real,predict,error
BlackScholes,607,715,7747.508053,8272.844129,0.067807
BlackScholes,810,715,7764.875390,8256.097624,0.063262
BlackScholes,1012,715,7804.952850,8126.223591,0.041162
BlackScholes,1202,715,9027.140070,8021.092599,0.111447
BlackScholes,1328,715,9953.246165,8092.155656,0.186983
backprop,607,715,7494.867112,7261.424790,0.031147
backprop,810,715,7514.333776,7301.359043,0.028342
backprop,1012,715,7522.737565,7348.860377,0.023114
backprop,1202,715,7574.006255,7407.607315,0.021970
backprop,1328,715,7615.937016,7445.545889,0.022373
conjugateGradient,607,715,3819.610540,3751.325122,0.017878
conjugateGradient,810,715,3790.720020,3782.996626,0.002037
conjugateGradient,1012,715,3812.778892,3848.035718,0.009247
conjugateGradient,1202,715,3874.592193,3873.976074,0.000159
conjugateGradient,1328,715,4014.583117,3935.984204,0.019578
convolutionSeparable,607,715,13794.095049,14016.407059,0.016116
convolutionSeparable,810,715,13886.792023,14087.773592,0.014473
convolutionSeparable,1012,715,13915.566579,14157.752156,0.017404
convolutionSeparable,1202,715,13897.343534,14220.492676,0.023253
convolutionSeparable,1328,715,14026.954033,14148.083264,0.008635
fastWalshTransform,607,715,12809.520097,14888.709888,0.162316
fastWalshTransform,810,715,13086.512450,14949.185311,0.142335
fastWalshTransform,1012,715,13295.831152,15015.847790,0.129365
fastWalshTransform,1202,715,13582.260054,15103.027480,0.111967
fastWalshTransform,1328,715,14040.161943,15168.495891,0.080365
histogram,607,715,205035.148916,282625.257099,0.378423
histogram,810,715,251951.597211,286465.498058,0.136986
histogram,1012,715,270233.527084,288635.322130,0.068096
histogram,1202,715,277836.420440,289962.052200,0.043643
histogram,1328,715,291706.758298,290652.469483,0.003614
matrixMulGlobal,607,715,490568.044508,571470.119428,0.164915
matrixMulGlobal,810,715,504856.676961,575111.015535,0.139157
matrixMulGlobal,1012,715,517149.936732,577341.920588,0.116392
matrixMulGlobal,1202,715,523447.378587,578537.809743,0.105245
matrixMulGlobal,1328,715,538893.110018,581956.446594,0.079911
matrixMulShared,607,715,136146.939465,146514.610374,0.076151
matrixMulShared,810,715,138269.962656,146673.117508,0.060774
matrixMulShared,1012,715,138200.613705,146885.973351,0.062846
matrixMulShared,1202,715,138040.247968,147468.413571,0.068300
matrixMulShared,1328,715,138648.522237,147006.239333,0.060280
mergeSort,607,715,7488.043027,7321.169786,0.022285
mergeSort,810,715,7560.950687,7368.580366,0.025443
mergeSort,1012,715,7585.492429,7418.590064,0.022003
mergeSort,1202,715,7632.456955,7480.639478,0.019891
mergeSort,1328,715,7742.931682,7527.359363,0.027841
quasirandomGenerator,607,715,88600.524631,63803.245371,0.279877
quasirandomGenerator,810,715,89819.669659,64624.621246,0.280507
quasirandomGenerator,1012,715,88550.488135,64039.867415,0.276798
quasirandomGenerator,1202,715,90461.334638,64554.589661,0.286385
quasirandomGenerator,1328,715,90320.448371,64203.685393,0.289157
scalarProd,607,715,18741.771899,6382.574239,0.659447
scalarProd,810,715,21139.458006,6594.223101,0.688061
scalarProd,1012,715,23660.912408,6808.930451,0.712229
scalarProd,1202,715,26029.975324,7004.740434,0.730897
scalarProd,1328,715,27804.323618,7129.252699,0.743592
scan,607,715,5561.980354,4898.711522,0.119250
scan,810,715,5586.401612,4957.971195,0.112493
scan,1012,715,6435.542018,5008.984031,0.221669
scan,1202,715,7643.368884,5093.479443,0.333608
scan,1328,715,8460.397323,5150.107189,0.391269
sortingNetworks,607,715,3758.065788,1580.469515,0.579446
sortingNetworks,810,715,4961.782857,1660.329802,0.665376
sortingNetworks,1012,715,6148.167790,1737.361314,0.717418
sortingNetworks,1202,715,7298.076327,1811.089238,0.751840
sortingNetworks,1328,715,8074.286358,1859.850540,0.769658
transpose,607,715,1442.678749,1745.072905,0.209606
transpose,810,715,1528.722657,1809.891902,0.183924
transpose,1012,715,1657.216165,1879.280183,0.133998
transpose,1202,715,1862.494932,1962.409117,0.053645
transpose,1328,715,2036.959645,2015.319575,0.010624
vectorAdd,607,715,1368.795769,995.862930,0.272453
vectorAdd,810,715,1831.456492,1064.944739,0.418526
vectorAdd,1012,715,2317.060236,1132.145817,0.511387
vectorAdd,1202,715,2777.163682,1194.804494,0.569775
vectorAdd,1328,715,3083.186028,1235.697065,0.599214
