kernel,coreF,memF,real,predict,error
cusparse,1417,5005,55307.735456,55657.913299,0.006331
cusparse,1417,5005,128732.347904,123910.680208,0.037455
cusparse,1417,5005,198821.122720,191804.386869,0.035292
cusparse,1417,5005,106313.608768,125868.337643,0.183934
cusparse,1417,5005,161757.839718,194948.117334,0.205185
cusparse,1417,5005,222274.033460,278263.908293,0.251896
cusparse,1417,5005,284185.500910,358849.540494,0.262730
cusparse,1417,5005,340433.364065,438681.232506,0.288596
cusparse,1417,5005,202647.451703,258537.295113,0.275798
cusparse,1417,5005,228985.389304,297467.996387,0.299070
cusparse,1417,5005,261554.713393,335139.966505,0.281338
cusparse,1417,5005,297411.908045,373299.839745,0.255161
cusparse,1417,5005,327236.832493,411366.296501,0.257090
cusparse,1417,5005,193643.420652,241967.349006,0.249551
cusparse,1417,5005,253981.981946,315043.357595,0.240416
cusparse,1417,5005,333548.154571,393617.423021,0.180092
cusparse,1417,5005,23665.544886,18758.344380,0.207356
cusparse,1417,5005,39668.071076,40054.638637,0.009745
cusparse,1417,5005,56264.238437,58225.091364,0.034851
cusparse,1417,5005,76978.596764,77944.591053,0.012549
cusparse,1417,5005,101240.965140,117466.956935,0.160271
cusparse,1417,5005,119421.087399,154287.337242,0.291961
cusparse,1417,5005,151441.957576,190157.721498,0.255648
cusparse,1417,5005,181863.160418,229651.219673,0.262769
cusparse,1417,5005,107859.257822,135723.173216,0.258336
cusparse,1417,5005,123011.373030,159004.797196,0.292602
cusparse,1417,5005,140406.996701,181451.891264,0.292328
cusparse,1417,5005,157757.221249,203255.208317,0.288405
cusparse,1417,5005,171076.587660,224439.072661,0.311922
cusparse,1417,5005,100647.523614,132223.555716,0.313729
cusparse,1417,5005,128095.938986,167873.239382,0.310527
cusparse,1417,5005,160292.848831,208756.827024,0.302346
groupspgemm,1417,5005,38895.703735,18463.423374,0.525309
groupspgemm,1417,5005,69961.130797,46531.186183,0.334899
groupspgemm,1417,5005,101954.889315,72218.641581,0.291661
groupspgemm,1417,5005,104394.738348,97089.538884,0.069977
groupspgemm,1417,5005,156876.687371,146047.657342,0.069029
groupspgemm,1417,5005,213979.318769,194289.523904,0.092017
groupspgemm,1417,5005,275098.466738,242607.685989,0.118106
groupspgemm,1417,5005,339702.898956,297284.516673,0.124869
groupspgemm,1417,5005,412689.610789,345923.465080,0.161783
groupspgemm,1417,5005,459149.974034,394840.354878,0.140062
groupspgemm,1417,5005,563916.410802,443309.052926,0.213875
groupspgemm,1417,5005,623479.438515,491607.787972,0.211509
groupspgemm,1417,5005,726161.573320,545713.241756,0.248496
groupspgemm,1417,5005,741605.944351,594400.141359,0.198496
groupspgemm,1417,5005,886804.711272,651514.229918,0.265324
groupspgemm,1417,5005,941139.158932,704151.596938,0.251809
groupspgemm,1417,5005,12297.272240,5629.792156,0.542192
groupspgemm,1417,5005,21106.804012,12786.379934,0.394206
groupspgemm,1417,5005,28540.310120,19019.259891,0.333600
groupspgemm,1417,5005,36936.631840,25594.855901,0.307060
groupspgemm,1417,5005,45794.922271,37798.455412,0.174615
groupspgemm,1417,5005,55712.308765,50108.150083,0.100591
groupspgemm,1417,5005,72525.073098,62199.365798,0.142374
groupspgemm,1417,5005,102242.722036,75949.408314,0.257166
groupspgemm,1417,5005,109515.200937,88211.641933,0.194526
groupspgemm,1417,5005,119777.098478,100519.843486,0.160776
groupspgemm,1417,5005,149989.364403,112602.899373,0.249261
groupspgemm,1417,5005,167380.562560,124739.466671,0.254755
groupspgemm,1417,5005,195725.684632,140208.748254,0.283647
groupspgemm,1417,5005,194970.361704,150741.639015,0.226848
groupspgemm,1417,5005,238146.126637,173460.018118,0.271624
groupspgemm,1417,5005,249252.424507,187484.325743,0.247813
