kernel,coreF,memF,real,predict,error
cusparse,1417,5005,302381.429225,402044.544815,0.329594
cusparse,1417,5005,288816.343188,381448.316591,0.320730
cusparse,1417,5005,272857.603662,358047.284591,0.312213
cusparse,1417,5005,255637.952086,333466.325276,0.304448
cusparse,1417,5005,563386.818648,632335.282874,0.122382
cusparse,1417,5005,433227.034592,560958.032532,0.294836
cusparse,1417,5005,370654.281207,480166.666329,0.295457
cusparse,1417,5005,277095.199428,352904.830773,0.273587
cusparse,1417,5005,1001545.702641,817901.992405,0.183360
cusparse,1417,5005,952216.912576,770224.307036,0.191125
cusparse,1417,5005,903973.378426,715165.845980,0.208864
cusparse,1417,5005,802176.358520,633012.081415,0.210882
cusparse,1417,5005,717298.608418,568752.276428,0.207091
cusparse,1417,5005,635031.882915,501801.305181,0.209801
cusparse,1417,5005,542198.256806,426060.121928,0.214199
cusparse,1417,5005,424239.166117,513491.798610,0.210383
groupspgemm,1417,5005,2192558.763107,2045333.255354,0.067148
groupspgemm,1417,5005,1720838.757838,1857403.505205,0.079359
groupspgemm,1417,5005,1565367.566571,1662975.524557,0.062355
groupspgemm,1417,5005,1390069.972836,1467692.054862,0.055840
groupspgemm,1417,5005,1301782.863680,1268948.662760,0.025222
groupspgemm,1417,5005,1115557.269074,1066288.222060,0.044165
groupspgemm,1417,5005,891272.777370,860897.119436,0.034081
groupspgemm,1417,5005,706152.902891,652914.091419,0.075393
groupspgemm,1417,5005,7521511.149353,7304299.196958,0.028879
groupspgemm,1417,5005,7277256.472461,6627784.219720,0.089247
groupspgemm,1417,5005,6541133.601968,5940087.430141,0.091887
groupspgemm,1417,5005,5876019.292090,5242375.046433,0.107836
groupspgemm,1417,5005,4993452.154280,4532553.709963,0.092301
groupspgemm,1417,5005,4260156.965456,3809979.007628,0.105672
groupspgemm,1417,5005,3442934.059459,3075014.594799,0.106862
groupspgemm,1417,5005,2675939.899310,2327733.972632,0.130125
