kernel,coreF,memF,real,predict,error
BlackScholes,510,877,3910.578228,2213.915601,0.433865
BlackScholes,652,877,3951.842725,2739.644056,0.306743
BlackScholes,802,877,3765.552934,3284.632748,0.127716
BlackScholes,945,877,3782.478457,3835.125470,0.013919
BlackScholes,1087,877,4049.615913,4417.549796,0.090856
BlackScholes,1237,877,4502.735174,5074.887512,0.127068
BlackScholes,1380,877,5015.130083,5682.878224,0.133147
SobolQRNG,510,877,622140.423252,373954.790504,0.398922
SobolQRNG,652,877,657084.038038,473193.398663,0.279859
SobolQRNG,802,877,630304.043986,575827.491254,0.086429
SobolQRNG,945,877,641685.209034,678373.533625,0.057175
SobolQRNG,1087,877,714085.692581,781707.424626,0.094697
SobolQRNG,1237,877,795803.603476,890944.630004,0.119553
SobolQRNG,1380,877,874931.150259,988233.228232,0.129498
backpropForward,510,877,2963.174049,2858.418390,0.035353
backpropForward,652,877,2941.273216,2844.004982,0.033070
backpropForward,802,877,2908.457771,2848.023983,0.020779
backpropForward,945,877,2905.462485,2853.288759,0.017957
backpropForward,1087,877,3000.589704,2861.291578,0.046424
backpropForward,1237,877,3113.131073,2871.118053,0.077739
backpropForward,1380,877,3247.897778,2980.123362,0.082445
conjugateGradient,510,877,2549.141561,1739.603425,0.317573
conjugateGradient,652,877,2428.942815,1669.383271,0.312712
conjugateGradient,802,877,2363.250987,1718.971882,0.272624
conjugateGradient,945,877,2418.670978,1987.900958,0.178102
conjugateGradient,1087,877,2653.586503,2281.170774,0.140344
conjugateGradient,1237,877,2898.678281,2607.920577,0.100307
conjugateGradient,1380,877,3145.742445,2897.211858,0.079005
convolutionSeparable,510,877,20942.559069,18283.292852,0.126979
convolutionSeparable,652,877,21118.275240,18292.418121,0.133811
convolutionSeparable,802,877,21017.348084,18293.769688,0.129587
convolutionSeparable,945,877,20873.515018,18299.023584,0.123338
convolutionSeparable,1087,877,21125.582326,18296.406964,0.133922
convolutionSeparable,1237,877,21291.728013,18949.304692,0.110016
convolutionSeparable,1380,877,21447.812920,20993.839122,0.021166
convolutionTexture,510,877,7940.733136,6370.414404,0.197755
convolutionTexture,652,877,8099.151969,6537.804359,0.192779
convolutionTexture,802,877,8025.431596,6781.915118,0.154947
convolutionTexture,945,877,8003.126333,6996.886734,0.125731
convolutionTexture,1087,877,8218.449054,7169.696437,0.127610
convolutionTexture,1237,877,8448.576886,7400.291840,0.124078
convolutionTexture,1380,877,8681.252321,7616.303410,0.122672
fastWalshTransform,510,877,4897.797535,3613.105918,0.262300
fastWalshTransform,652,877,5554.575397,4560.296828,0.179002
fastWalshTransform,802,877,5347.405702,5550.439039,0.037969
fastWalshTransform,945,877,5464.424804,6495.091782,0.188614
fastWalshTransform,1087,877,6346.368874,7496.127805,0.181168
fastWalshTransform,1237,877,7276.011926,8557.216835,0.176086
fastWalshTransform,1380,877,8155.101739,9569.968091,0.173495
histogram,510,877,1971304.120640,417030.040751,0.788450
histogram,652,877,2014273.627236,412298.736990,0.795311
histogram,802,877,2026807.816614,445544.457255,0.780174
histogram,945,877,2024662.717056,411643.689380,0.796685
histogram,1087,877,2069098.532612,406114.118643,0.803724
histogram,1237,877,2100168.098805,413546.179803,0.803089
histogram,1380,877,2125136.643648,420632.205616,0.802068
hotspot,510,877,5406.065236,5927.836823,0.096516
hotspot,652,877,5473.562983,5912.080082,0.080115
hotspot,802,877,5469.539377,5917.424010,0.081887
hotspot,945,877,5429.663928,5920.709843,0.090438
hotspot,1087,877,5473.334960,5923.771798,0.082297
hotspot,1237,877,5474.397793,5928.586728,0.082966
hotspot,1380,877,5469.494456,5932.973051,0.084739
matrixMulGlobal,510,877,497018.769188,275584.995622,0.445524
matrixMulGlobal,652,877,504231.439900,275908.626990,0.452814
matrixMulGlobal,802,877,503804.640675,275896.325177,0.452374
matrixMulGlobal,945,877,501090.871271,276029.489583,0.449143
matrixMulGlobal,1087,877,505989.444016,276124.637392,0.454288
matrixMulGlobal,1237,877,507437.165520,276067.614090,0.455957
matrixMulGlobal,1380,877,508444.327013,276341.786807,0.456495
matrixMulShared,510,877,237646.702148,238191.535797,0.002293
matrixMulShared,652,877,239651.754080,238196.790272,0.006071
matrixMulShared,802,877,239471.058008,238235.545097,0.005159
matrixMulShared,945,877,237717.395775,238244.768541,0.002218
matrixMulShared,1087,877,240280.651144,238241.943345,0.008485
matrixMulShared,1237,877,242402.833406,238230.324231,0.017213
matrixMulShared,1380,877,243040.629596,238191.421668,0.019952
mergeSort,510,877,34111.680044,41027.265836,0.202734
