kernel,coreF,memF,real,predict
cusparse,1417,5005,151080.305584,138829.695632
cusparse,1417,5005,131122.918479,111687.517471
cusparse,1417,5005,213254.462787,199179.716097
cusparse,1417,5005,127988.037002,113463.046658
cusparse,1417,5005,179615.875328,171951.203344
cusparse,1417,5005,71828.779306,70582.306411
spgemm,1417,5005,621168.246048,504778.493390
spgemm,1417,5005,490134.417302,386696.686099
spgemm,1417,5005,349205.422743,263435.757481
spgemm,1417,5005,189859.340789,135894.163919
spgemm,1417,5005,122019.452612,89913.536897
spgemm,1417,5005,50681.433107,39773.045476
