,appName,coreF,memF,n_shm_ld,n_shm_st,n_gld,n_gst,l2_miss,l2_hit,mem_insts,insts,act_util,L_DM,D_DM,tex_trans
0,backprop,607,715,7.75,4.875,4.753173828125,6.00152587890625,0.8306092335631793,0.16939076643682072,19.72344970703125,161.40155029296875,0.931132,300.9611643356643,2.0217591129150567,6.0
1,backprop,810,715,7.75,4.875,4.753082275390625,6.001434326171875,0.8302317794349667,0.16976822056503327,19.7232666015625,161.4017333984375,0.928148,308.8675174825175,2.69789931047973,6.0
2,backprop,1012,715,7.75,4.875,4.7529296875,6.001556396484375,0.829967395283241,0.17003260471675896,19.723236083984375,161.40176391601562,0.92629,316.73492307692305,3.370708768154922,6.0
3,backprop,1202,715,7.75,4.875,4.753143310546875,6.00140380859375,0.8298009392602261,0.17019906073977387,19.723297119140625,161.40170288085938,0.9265,324.13495804195804,4.003549347156341,6.0
4,backprop,1328,715,7.75,4.875,4.7530517578125,6.00152587890625,0.8298695254904854,0.17013047450951457,19.72332763671875,161.40167236328125,0.9264979999999999,329.04234965034965,4.423222573230965,6.0
5,BlackScholes,607,715,0.0,0.0,24.00250244140625,16.000335693359375,1.0,0.0,40.002838134765625,208.99716186523438,0.93148,300.9611643356643,2.0217591129150567,24.0
6,BlackScholes,810,715,0.0,0.0,24.002243041992188,16.000350952148438,0.999764648441225,0.0002353515587749655,40.002593994140625,208.99740600585938,0.919539,308.8675174825175,2.69789931047973,24.0
7,BlackScholes,1012,715,0.0,0.0,24.00244140625,16.000350952148438,0.9995014538703696,0.0004985461296304061,40.00279235839844,208.99720764160156,0.8940459999999999,316.73492307692305,3.370708768154922,24.0
8,BlackScholes,1202,715,0.0,0.0,24.002243041992188,16.000350952148438,0.9991932438463387,0.0008067561536613255,40.002593994140625,208.99740600585938,0.8723639999999999,324.13495804195804,4.003549347156341,24.0
9,BlackScholes,1328,715,0.0,0.0,24.002365112304688,16.000350952148438,0.9989426377145717,0.0010573622854282982,40.002716064453125,208.99728393554688,0.8750469999999999,329.04234965034965,4.423222573230965,24.0
10,conjugateGradient,607,715,6.0,2.0,9.249794006347656,1.0002059936523438,0.9134171648723323,0.08658283512766773,16.75,74.25,0.897541,300.9611643356643,2.0217591129150567,20.0
11,conjugateGradient,810,715,6.0,2.0,9.249069213867188,1.000213623046875,0.9134058958131419,0.08659410418685809,16.749282836914062,74.25071716308594,0.889649,308.8675174825175,2.69789931047973,20.0
12,conjugateGradient,1012,715,6.0,2.0,9.248420715332031,1.0002059936523438,0.9135149943274364,0.08648500567256356,16.748626708984375,74.25137329101562,0.8913530000000001,316.73492307692305,3.370708768154922,20.0
13,conjugateGradient,1202,715,6.0,2.0,9.246810913085938,1.0002059936523438,0.9136726535760261,0.08632734642397388,16.74701690673828,74.25298309326172,0.8831760000000001,324.13495804195804,4.003549347156341,20.0
14,conjugateGradient,1328,715,6.0,2.0,9.246665954589844,1.0002059936523438,0.9137027037893555,0.08629729621064453,16.746871948242188,74.25312805175781,0.890149,329.04234965034965,4.423222573230965,20.0
15,convolutionSeparable,607,715,258.0,20.0,39.661838107638886,32.00059678819444,0.8960414329213359,0.10395856707866413,334.6624348958333,0.0,0.740772,300.9611643356643,2.0217591129150567,39.666666666666664
16,convolutionSeparable,810,715,258.0,20.0,39.660319010416664,32.00059678819444,0.8961599843737461,0.10384001562625389,334.6609157986111,0.0,0.739496,308.8675174825175,2.69789931047973,39.666666666666664
17,convolutionSeparable,1012,715,258.0,20.0,39.658447265625,32.00059678819444,0.8964207448481795,0.10357925515182054,334.65904405381946,0.0,0.738175,316.73492307692305,3.370708768154922,39.666666666666664
18,convolutionSeparable,1202,715,258.0,20.0,39.650607638888886,32.00059678819444,0.8977924167565828,0.10220758324341717,334.6512044270833,0.0,0.736769,324.13495804195804,4.003549347156341,39.666666666666664
19,convolutionSeparable,1328,715,258.0,20.0,39.63091362847222,32.00059678819444,0.9050951593259776,0.09490484067402238,334.63151041666663,0.0,0.729536,329.04234965034965,4.423222573230965,39.666666666666664
20,convolutionTexture,607,715,0.0,0.0,7.916998969184028,4.000196668836805,0.6735768485291324,0.32642315147086765,11.917195638020832,83.08280436197917,0.8849889999999999,300.9611643356643,2.0217591129150567,136.0
21,convolutionTexture,810,715,0.0,0.0,7.79730224609375,4.000189887152778,0.6804170587562391,0.31958294124376085,11.797492133246529,83.20250786675348,0.8816639999999999,308.8675174825175,2.69789931047973,136.0
22,convolutionTexture,1012,715,0.0,0.0,7.785861545138889,4.000189887152778,0.6810643043078983,0.3189356956921017,11.786051432291668,83.21394856770833,0.881875,316.73492307692305,3.370708768154922,136.0
23,convolutionTexture,1202,715,0.0,0.0,7.773213704427083,4.000189887152778,0.6817942247354497,0.3182057752645503,11.77340359157986,83.22659640842014,0.882159,324.13495804195804,4.003549347156341,136.0
24,convolutionTexture,1328,715,0.0,0.0,7.7669677734375,4.000196668836805,0.6821551472245163,0.3178448527754837,11.767164442274305,83.23283555772569,0.8826200000000001,329.04234965034965,4.423222573230965,136.0
25,fastWalshTransform,607,715,52.0,52.0,16.001708984375,16.000335693359375,0.9998197670703948,0.00018023292960522852,97.00204467773438,209.99795532226562,0.958169,300.9611643356643,2.0217591129150567,16.0
26,fastWalshTransform,810,715,52.0,52.0,16.00164794921875,16.000335693359375,0.9998965327504837,0.00010346724951626474,97.00198364257812,209.99801635742188,0.957067,308.8675174825175,2.69789931047973,16.0
27,fastWalshTransform,1012,715,52.0,52.0,16.001602172851562,16.000335693359375,0.9999294323740427,7.056762595725186e-05,97.00193786621094,209.99806213378906,0.956411,316.73492307692305,3.370708768154922,16.0
28,fastWalshTransform,1202,715,52.0,52.0,16.001632690429688,16.000335693359375,0.9999470743310028,5.292566899717244e-05,97.00196838378906,209.99803161621094,0.957432,324.13495804195804,4.003549347156341,16.0
29,fastWalshTransform,1328,715,52.0,52.0,16.001541137695312,16.000335693359375,0.9999694842116555,3.051578834445401e-05,97.00187683105469,209.9981231689453,0.958616,329.04234965034965,4.423222573230965,16.0
30,histogram,607,715,5153.611805555555,5153.611805555555,1456.43125,5.347916666666666,1.0,0.0,7903.793923611111,1266.2060763888894,0.393942,300.9611643356643,2.0217591129150567,1456.3555555555556
31,histogram,810,715,5153.611805555555,5153.611805555555,1456.4340277777778,5.347916666666666,1.0,0.0,7903.796701388888,1266.2032986111117,0.397924,308.8675174825175,2.69789931047973,1456.3555555555556
32,histogram,1012,715,5153.611805555555,5153.611805555555,1456.4416666666666,5.347916666666666,1.0,0.0,7903.804340277778,1266.1956597222224,0.399555,316.73492307692305,3.370708768154922,1456.3555555555556
33,histogram,1202,715,5153.611805555555,5153.611805555555,1456.4527777777778,5.347916666666666,1.0,0.0,7903.8154513888885,1266.1845486111115,0.400081,324.13495804195804,4.003549347156341,1456.3555555555556
34,histogram,1328,715,5153.611805555555,5153.611805555555,1456.4305555555557,5.347916666666666,1.0,0.0,7903.793229166667,1266.2067708333334,0.40016199999999996,329.04234965034965,4.423222573230965,1456.3555555555556
