,appName,n_dm,n_l2,n_shm,tex_trans,n_flop_sp,n_flop_dp,n_int,branch,act_util,warp_eff,sm_act,coreF,memF,avg_power
0,BlackScholes,0.09881879613276967,0.09871263631734944,0.0,0.05853488899479258,0.49457847305062963,0.0,0.11706977798958516,0.0025913883148736294,0.896668,1.0,0.9706,1.0,1.0,1.0
1,BlackScholes,0.0954206610449438,0.09601034022689252,0.0,0.05754037948326681,0.4861755700283228,0.0,0.11508075896653362,0.0025473605500404574,0.881057,1.0,0.9679,1.0,1.2,1.0490104864534082
2,BlackScholes,0.09439601036564178,0.0947137731673816,0.0,0.056765701255351214,0.4796300861015974,0.0,0.11353140251070243,0.0025130648993254446,0.873793,1.0,0.9631,1.0,1.4,1.0798397303891227
3,BlackScholes,0.09343132356738539,0.09367016403426784,0.0,0.05613142513486843,0.4742709008268332,0.0,0.11226285026973686,0.0024849849669082383,0.868648,1.0,0.9581,1.0,1.6,1.1103754563996113
4,BlackScholes,0.09300722583189512,0.0931923213007923,0.0,0.05586376088651985,0.4720093269601729,0.0,0.1117275217730397,0.002473135247580306,0.8681200000000001,1.0,0.9541,1.0,1.8,1.1448862611551736
5,BlackScholes,0.09185382883953531,0.09205715454108716,0.0,0.05517117837439142,0.46615749385358707,0.0,0.11034235674878284,0.0024424740426162864,0.860716,1.0,0.9504,1.0,2.0,1.16571513397627
6,BlackScholes,0.09797482031077646,0.09857002462537127,0.0,0.059084932861151414,0.4992259552651909,0.0,0.11816986572230283,0.002615739215207224,0.900495,1.0,0.9724,1.2,1.0,1.0188617058244496
7,BlackScholes,0.09612866322191267,0.09680729547373805,0.0,0.05802508128530103,0.49027095794571157,0.0,0.11605016257060206,0.002568818702734681,0.8871760000000001,1.0,0.9692,1.2,1.2,1.0728799039358135
8,BlackScholes,0.0952995971866034,0.09571179584955125,0.0,0.05737165079631494,0.4847499317844385,0.0,0.11474330159262988,0.0025398907904618595,0.8803479999999999,1.0,0.966,1.2,1.4,1.0863370909337218
9,BlackScholes,0.09444226008734131,0.0948241359448713,0.0,0.05682947017526024,0.4801688884394561,0.0,0.11365894035052047,0.0025158880025505834,0.8759899999999999,1.0,0.9617,1.2,1.6,1.1186681812295423
10,BlackScholes,0.09366960325882323,0.09385275547485926,0.0,0.05626436076627483,0.47539411302940254,0.0,0.11252872153254966,0.002490870138090292,0.870682,1.0,0.9581,1.2,1.8,1.1537553814863633
11,BlackScholes,0.0928235014384999,0.09302906832678491,0.0,0.055779310607960035,0.47129578174746173,0.0,0.11155862121592007,0.002469396563373231,0.8667389999999999,1.0,0.9541,1.2,2.0,1.17167995801993
12,BlackScholes,0.09837108280599392,0.09904192414033819,0.0,0.05936531709357777,0.5015950040141043,0.0,0.11873063418715554,0.0026281520588302652,0.903123,1.0,0.9741,1.4,1.0,1.0290546413073407
13,BlackScholes,0.09653710261246488,0.09729186560415248,0.0,0.05833036252740491,0.4928503688434442,0.0,0.11666072505480982,0.0025823337577236547,0.8902479999999999,1.0,0.9708,1.4,1.2,1.0820383898608377
14,BlackScholes,0.09585735925568917,0.09638500705370985,0.0,0.05774319719408202,0.4878892364492419,0.0,0.11548639438816403,0.0025563394591130058,0.885493,1.0,0.9666,1.4,1.4,1.1115391472720353
15,BlackScholes,0.09490195560561243,0.09525938364115348,0.0,0.05709290604475034,0.48239473549096024,0.0,0.11418581208950068,0.002527550528022802,0.8798860000000001,1.0,0.9619,1.4,1.6,1.1415049657990628
16,BlackScholes,0.0940977681313084,0.09440853563120039,0.0,0.056573496869221314,0.47800609477884604,0.0,0.11314699373844263,0.002504555850981152,0.875966,1.0,0.9575,1.4,1.8,1.1686129422460017
17,BlackScholes,0.09391896745960754,0.09500739707590657,0.0,0.05633114432946871,0.47595838697399395,0.0,0.11266228865893742,0.0024938267020858545,0.876976,1.0,0.9537,1.4,2.0,1.1976146413281028
