appName,coreF,memF,argNo,kernel,time/ms,blocks,warps,achieved_occupancy,sm_efficiency,warp_execution_efficiency,eligible_warps_per_cycle,branch_efficiency,cf_executed,gld_throughput,gld_transactions,gld_transactions_per_request,gst_throughput,gst_transactions,gst_transactions_per_request,global_hit_rate,dram_read_transactions,dram_read_throughput,dram_write_transactions,dram_write_throughput,l2_read_transactions,l2_read_throughput,l2_write_transactions,l2_write_throughput,shared_load_transactions,shared_load_throughput,shared_load_transactions_per_request,shared_store_transactions,shared_store_throughput,shared_store_transactions_per_request,l2_tex_read_throughput,l2_tex_read_transactions,l2_tex_write_throughput,l2_tex_write_throughput,tex_cache_hit_rate,tex_cache_throughput,tex_cache_transactions,flop_count_dp,flop_count_dp_fma,flop_count_sp,flop_count_sp_fma,flop_count_sp_special,inst_integer,inst_fp_32,inst_per_warp,ipc
cachebench-l2-only,1100,3600,input00,benchmark_func,5.2855,(128 1 1) (256 1 1),1024,0.368868,0.8947,1,1.275362,1,265216,94.4,33554432,8,94.404,16777216,4,0.5,85611,0.47398,1310171,7.9637,16867666,94.979,16777222,94.58,0,0,0,0,0,0,94.413,16777216,94.41,94.387,0.5,94.586,16777216,0,0,0,0,32768,1151893504,32768,8.07E+04,1.005658
cachebench-l2-only,1100,3600,input01,benchmark_func,5.2882,(128 1 1) (256 1 1),1024,0.368519,0.8961,1,1.278513,1,265216,94.349,33554432,8,94.336,16777216,4,0.5,96343,0.55599,2003087,13.147,16851791,95.134,16777222,94.568,0,0,0,0,0,0,94.332,16777216,94.361,94.351,0.5,94.566,16777216,0,0,0,0,32768,1150844928,32768,8.07E+04,1.002488
cachebench-l2-only,1100,3600,input02,benchmark_func,5.288,(128 1 1) (256 1 1),1024,0.368779,0.8957,1,1.274048,1,265216,94.349,33554432,8,94.318,16777216,4,0.5,93395,0.5579,1097763,7.0734,16871164,94.648,16777228,94.562,0,0,0,0,0,0,94.317,16777216,94.35,94.35,0.5,94.558,16777216,0,0,0,0,32768,1150517248,32768,8.07E+04,1.003561
cachebench-l2-only,1100,3600,input03,benchmark_func,5.2891,(128 1 1) (256 1 1),1024,0.368584,0.8959,1,1.277409,1,265216,94.29,33554432,8,94.267,16777216,4,0.5,98100,0.57983,2301974,14.013,16872296,94.667,16777244,94.536,0,0,0,0,0,0,94.276,16777216,94.303,94.303,0.5,94.529,16777216,0,0,0,0,32768,1150320640,32768,8.07E+04,1.003509
cachebench-l2-only,1100,3600,input04,benchmark_func,5.2895,(128 1 1) (256 1 1),1024,0.368136,0.897,1,1.275143,1,265216,94.249,33554432,8,94.257,16777216,4,0.5,102864,0.61798,3167718,19.929,16869699,94.756,16777227,94.517,0,0,0,0,0,0,94.246,16777216,94.261,94.251,0.5,94.506,16777216,0,0,0,0,32768,1150255104,32768,8.07E+04,1.002591
cachebench-l2-only,1100,3600,input05,benchmark_func,5.2896,(128 1 1) (256 1 1),1024,0.369049,0.8953,1,1.275132,1,265216,94.284,33554432,8,94.246,16777216,4,0.5,107784,0.63324,2877138,18.163,16841475,94.583,16777244,94.544,0,0,0,0,0,0,94.241,16777216,94.255,94.253,0.5,94.53,16777216,0,0,0,0,32768,1150189568,32768,8.07E+04,1.002778
cachebench-l2-only,1100,3600,input06,benchmark_func,5.2901,(128 1 1) (256 1 1),1024,0.368134,0.8969,1,1.27339,1,265216,94.214,33554432,8,94.227,16777216,4,0.5,119408,0.65899,2673399,16.252,16868361,94.764,16777222,94.535,0,0,0,0,0,0,94.23,16777216,94.258,94.257,0.5,94.534,16777216,0,0,0,0,32768,1150124032,32768,8.07E+04,1.00225
cachebench-l2-only,1100,3600,input07,benchmark_func,5.2925,(128 1 1) (256 1 1),1024,0.369141,0.8947,1,1.275604,1,265216,94.218,33554432,8,94.186,16777216,4,0.5,113360,0.67043,2862387,17.551,16866469,94.516,16777222,94.417,0,0,0,0,0,0,94.197,16777216,94.217,94.193,0.5,94.417,16777216,0,0,0,0,32768,1150058496,32768,8.07E+04,1.002737
cachebench-l2-only,1100,3600,input08,benchmark_func,5.3059,(128 1 1) (256 1 1),1024,0.36809,0.897,1,1.275877,1,265216,94.2,33554432,8,94.19,16777216,4,0.5,112483,0.67234,2233921,13.613,16880737,94.74,16777253,94.242,0,0,0,0,0,0,94.178,16777216,94.168,94.192,0.5,94.235,16777216,0,0,0,0,32768,1150058496,32768,8.07E+04,1.00046
cachebench-l2-only,1100,3600,input09,benchmark_func,5.306,(128 1 1) (256 1 1),1024,0.369232,0.8951,1,1.276067,1,265216,94.219,33554432,8,94.189,16777216,4,0.5,130151,0.71049,2242458,13.419,16858047,94.853,16777238,94.237,0,0,0,0,0,0,94.201,16777216,94.221,94.197,0.5,94.238,16777216,0,0,0,0,32768,1150058496,32768,8.07E+04,1.000209
