kernel,coreF,memF,real,predict
BlackScholes,1700,4000,1.250976,1.145726
BlackScholes,1700,4500,1.096147,1.097644
BlackScholes,1700,5000,1.000630,1.047731
BlackScholes,1700,5500,0.898564,0.996575
BlackScholes,1600,4000,1.252109,1.165485
BlackScholes,1600,4500,1.096713,1.117694
BlackScholes,1600,5000,1.000756,1.068080
BlackScholes,1600,5500,0.900013,1.017054
BlackScholes,1800,4000,1.250409,1.125393
BlackScholes,1800,4500,1.096965,1.076997
BlackScholes,1800,5000,1.000000,1.026855
BlackScholes,1800,5500,0.899068,0.975577
BlackScholes,1900,4000,1.255635,1.104446
BlackScholes,1900,4500,1.102569,1.055927
BlackScholes,1900,5000,1.002582,1.005618
BlackScholes,1900,5500,0.899194,0.954255
BlackScholes,2000,4000,1.256454,1.082918
BlackScholes,2000,4500,1.098791,1.034182
BlackScholes,2000,5000,1.001826,0.983978
BlackScholes,2000,5500,0.902153,0.932611
SobolQRNG,1700,4000,1.217542,1.163069
SobolQRNG,1700,4500,1.088165,1.109863
SobolQRNG,1700,5000,1.018702,1.055327
SobolQRNG,1700,5500,0.920362,1.000643
SobolQRNG,1600,4000,1.221976,1.182656
SobolQRNG,1600,4500,1.105616,1.130040
SobolQRNG,1600,5000,1.025466,1.076281
SobolQRNG,1600,5500,0.910186,1.021198
SobolQRNG,1800,4000,1.213165,1.142725
SobolQRNG,1800,4500,1.074864,1.089490
SobolQRNG,1800,5000,1.000000,1.035170
SobolQRNG,1800,5500,0.923204,0.979756
SobolQRNG,1900,4000,1.214302,1.122195
SobolQRNG,1900,4500,1.069293,1.068657
SobolQRNG,1900,5000,0.990109,1.013908
SobolQRNG,1900,5500,0.918088,0.958374
SobolQRNG,2000,4000,1.212256,1.101158
SobolQRNG,2000,4500,1.070600,1.047550
SobolQRNG,2000,5000,0.977945,0.992345
SobolQRNG,2000,5500,0.908709,0.936842
backpropBackward,1700,4000,1.069134,1.177155
backpropBackward,1700,4500,1.060321,1.103976
backpropBackward,1700,5000,1.063063,1.029541
backpropBackward,1700,5500,1.068939,0.954746
backpropBackward,1600,4000,1.119467,1.184400
backpropBackward,1600,4500,1.129456,1.111407
