kernel,coreF,memF,real,predict
BlackScholes,1100,2100,1.648504,1.306076
BlackScholes,1100,2600,1.318015,1.184848
BlackScholes,1100,3100,1.109448,1.092479
BlackScholes,1100,3600,1.000000,1.027848
BlackScholes,1100,3900,0.959169,1.001007
BlackScholes,1300,2100,1.646748,1.199852
BlackScholes,1300,2600,1.307011,1.061413
BlackScholes,1300,3100,1.092422,0.951576
BlackScholes,1300,3600,0.958903,0.868181
BlackScholes,1300,3900,0.893185,0.830829
BlackScholes,1500,2100,1.647707,1.124846
BlackScholes,1500,2600,1.306337,0.969006
BlackScholes,1500,3100,1.083765,0.840951
BlackScholes,1500,3600,0.947511,0.739540
BlackScholes,1500,3900,0.877077,0.691172
BlackScholes,700,2100,1.695888,1.606517
BlackScholes,700,2600,1.470111,1.524464
BlackScholes,700,3100,1.429913,1.472412
BlackScholes,700,3600,1.437344,1.443844
BlackScholes,700,3900,1.436140,1.438908
BlackScholes,900,2100,1.658303,1.442245
BlackScholes,900,2600,1.342677,1.339708
BlackScholes,900,3100,1.180270,1.265929
BlackScholes,900,3600,1.125413,1.219234
BlackScholes,900,3900,1.123882,1.203504
SobolQRNG,1100,2100,1.707130,1.488436
SobolQRNG,1100,2600,1.363437,1.334957
SobolQRNG,1100,3100,1.138642,1.209643
SobolQRNG,1100,3600,1.000000,1.110159
SobolQRNG,1100,3900,0.926400,1.063257
SobolQRNG,1300,2100,1.702176,1.437658
SobolQRNG,1300,2600,1.353483,1.266925
SobolQRNG,1300,3100,1.127232,1.122762
SobolQRNG,1300,3600,0.985826,1.005837
SobolQRNG,1300,3900,0.913292,0.947929
SobolQRNG,1500,2100,1.698872,1.419787
SobolQRNG,1500,2600,1.350149,1.230647
SobolQRNG,1500,3100,1.123268,1.068138
SobolQRNG,1500,3600,0.981382,0.931879
SobolQRNG,1500,3900,0.898473,0.862515
SobolQRNG,700,2100,1.744966,1.676648
SobolQRNG,700,2600,1.410417,1.557864
SobolQRNG,700,3100,1.308349,1.471744
SobolQRNG,700,3600,1.339309,1.415719
SobolQRNG,700,3900,1.339910,1.393378
SobolQRNG,900,2100,1.719892,1.568246
SobolQRNG,900,2600,1.380013,1.432967
SobolQRNG,900,3100,1.158146,1.324327
SobolQRNG,900,3600,1.025134,1.243556
SobolQRNG,900,3900,1.023933,1.210905
backpropBackward,1100,2100,1.009795,1.356373
backpropBackward,1100,2600,1.004002,1.154925
backpropBackward,1100,3100,1.001182,0.978115
backpropBackward,1100,3600,1.000000,0.824603
backpropBackward,1100,3900,0.999466,0.746083
backpropBackward,1300,2100,0.864924,1.334827
backpropBackward,1300,2600,0.855090,1.115091
backpropBackward,1300,3100,0.851164,0.916714
backpropBackward,1300,3600,0.850250,0.745292
backpropBackward,1300,3900,0.849678,0.655344
backpropBackward,1500,2100,0.773640,1.345098
backpropBackward,1500,2600,0.757289,1.104407
backpropBackward,1500,3100,0.748447,0.890167
backpropBackward,1500,3600,0.746770,0.699070
backpropBackward,1500,3900,0.746503,0.598170
backpropBackward,700,2100,1.561802,1.502473
backpropBackward,700,2600,1.559210,1.339631
backpropBackward,700,3100,1.558791,1.200158
backpropBackward,700,3600,1.559744,1.084125
backpropBackward,700,3900,1.560163,1.027177
backpropBackward,900,2100,1.227579,1.412547
backpropBackward,900,2600,1.222625,1.230096
backpropBackward,900,3100,1.220948,1.072027
backpropBackward,900,3600,1.220719,0.938622
backpropBackward,900,3900,1.221024,0.870330
backpropForward,1100,2100,1.005154,1.248913
backpropForward,1100,2600,1.002119,1.138491
backpropForward,1100,3100,1.000573,1.056520
backpropForward,1100,3600,1.000000,1.002323
backpropForward,1100,3900,0.999026,0.983501
backpropForward,1300,2100,0.858035,1.141466
backpropForward,1300,2600,0.854484,1.014478
backpropForward,1300,3100,0.852594,0.915315
backpropForward,1300,3600,0.851964,0.844916
backpropForward,1300,3900,0.851792,0.814615
backpropForward,1500,2100,0.757702,1.065269
backpropForward,1500,2600,0.754266,0.921110
backpropForward,1500,3100,0.752663,0.803898
backpropForward,1500,3600,0.752090,0.715662
backpropForward,1500,3900,0.751689,0.675021
backpropForward,700,2100,1.562421,1.550068
backpropForward,700,2600,1.559959,1.475311
backpropForward,700,3100,1.559501,1.427988
backpropForward,700,3600,1.560302,1.408193
backpropForward,700,3900,1.560589,1.409818
backpropForward,900,2100,1.222483,1.384855
backpropForward,900,2600,1.219792,1.292192
backpropForward,900,3100,1.218245,1.227741
backpropForward,900,3600,1.217787,1.190900
backpropForward,900,3900,1.217959,1.181319
cfd,1100,2100,1.170495,1.183021
cfd,1100,2600,1.078327,1.099251
cfd,1100,3100,1.022817,1.042328
cfd,1100,3600,1.000000,1.012302
cfd,1100,3900,0.982719,1.007056
cfd,1300,2100,1.063365,1.148891
cfd,1300,2600,0.967607,1.045717
cfd,1300,3100,0.910601,0.969791
cfd,1300,3600,0.878881,0.920647
cfd,1300,3900,0.861375,0.904355
cfd,1500,2100,1.010623,1.148482
cfd,1500,2600,0.912097,1.026998
cfd,1500,3100,0.852024,0.930893
cfd,1500,3600,0.823595,0.862717
cfd,1500,3900,0.804369,0.834851
cfd,700,2100,1.585322,1.352456
cfd,700,2600,1.518142,1.306379
cfd,700,3100,1.493304,1.287449
cfd,700,3600,1.498167,1.295458
cfd,700,3900,1.494726,1.313184
cfd,900,2100,1.324979,1.251013
cfd,900,2600,1.247400,1.186179
cfd,900,3100,1.199671,1.147898
cfd,900,3600,1.179322,1.137328
cfd,900,3900,1.174609,1.143634
conjugateGradient,1100,2100,1.331412,1.282462
conjugateGradient,1100,2600,1.155528,1.174247
conjugateGradient,1100,3100,1.060324,1.093989
conjugateGradient,1100,3600,1.000000,1.042383
conjugateGradient,1100,3900,0.971271,1.023886
conjugateGradient,1300,2100,1.269638,1.189287
conjugateGradient,1300,2600,1.076460,1.064104
conjugateGradient,1300,3100,0.964057,0.965975
conjugateGradient,1300,3600,0.907823,0.895968
conjugateGradient,1300,3900,0.878547,0.867297
conjugateGradient,1500,2100,1.238719,1.129535
conjugateGradient,1500,2600,1.042997,0.986981
conjugateGradient,1500,3100,0.916680,0.870849
conjugateGradient,1500,3600,0.855970,0.782848
conjugateGradient,1500,3900,0.829528,0.743323
conjugateGradient,700,2100,1.627685,1.565542
conjugateGradient,700,2600,1.518181,1.492844
conjugateGradient,700,3100,1.449064,1.450494
conjugateGradient,700,3600,1.476312,1.434620
conjugateGradient,700,3900,1.469387,1.437298
conjugateGradient,900,2100,1.465877,1.406349
conjugateGradient,900,2600,1.260846,1.316870
conjugateGradient,900,3100,1.188863,1.255458
conjugateGradient,900,3600,1.170408,1.221421
conjugateGradient,900,3900,1.166672,1.213623
convolutionSeparable,1100,2100,1.109951,1.246064
convolutionSeparable,1100,2600,1.005096,1.158972
convolutionSeparable,1100,3100,1.004424,1.078219
convolutionSeparable,1100,3600,1.000000,1.020917
convolutionSeparable,1100,3900,1.000918,0.999800
convolutionSeparable,1300,2100,1.106641,1.141461
convolutionSeparable,1300,2600,0.876383,1.018558
convolutionSeparable,1300,3100,0.851836,0.930820
convolutionSeparable,1300,3600,0.851574,0.856769
convolutionSeparable,1300,3900,0.851639,0.824932
convolutionSeparable,1500,2100,1.103790,1.065726
convolutionSeparable,1500,2600,0.877169,0.924322
convolutionSeparable,1500,3100,0.753011,0.814848
convolutionSeparable,1500,3600,0.751323,0.723225
convolutionSeparable,1500,3900,0.751159,0.680248
convolutionSeparable,700,2100,1.567060,1.582075
convolutionSeparable,700,2600,1.566471,1.507960
convolutionSeparable,700,3100,1.566372,1.460017
convolutionSeparable,700,3600,1.568339,1.438457
convolutionSeparable,700,3900,1.568339,1.438408
convolutionSeparable,900,2100,1.229128,1.411251
convolutionSeparable,900,2600,1.226359,1.319662
convolutionSeparable,900,3100,1.225605,1.253775
convolutionSeparable,900,3600,1.225294,1.214775
convolutionSeparable,900,3900,1.224835,1.204224
convolutionTexture,1100,2100,1.033336,1.046571
convolutionTexture,1100,2600,1.003286,1.006584
convolutionTexture,1100,3100,0.999760,0.992302
convolutionTexture,1100,3600,1.000000,1.004132
convolutionTexture,1100,3900,1.000160,1.023648
convolutionTexture,1300,2100,0.927799,0.887902
convolutionTexture,1300,2600,0.862489,0.829630
convolutionTexture,1300,3100,0.851430,0.797315
convolutionTexture,1300,3600,0.851190,0.791025
convolutionTexture,1300,3900,0.851511,0.800219
convolutionTexture,1500,2100,0.890376,0.763112
convolutionTexture,1500,2600,0.793613,0.686217
convolutionTexture,1500,3100,0.757993,0.635925
convolutionTexture,1500,3600,0.753426,0.612167
convolutionTexture,1500,3900,0.751879,0.610047
convolutionTexture,700,2100,1.565270,1.467159
convolutionTexture,700,2600,1.565590,1.462705
convolutionTexture,700,3100,1.566632,1.484271
convolutionTexture,700,3600,1.567914,1.531165
convolutionTexture,700,3900,1.568315,1.572316
convolutionTexture,900,2100,1.226541,1.240302
convolutionTexture,900,2600,1.222854,1.217808
convolutionTexture,900,3100,1.223015,1.221367
convolutionTexture,900,3600,1.223415,1.250754
convolutionTexture,900,3900,1.223576,1.280939
dxtc,1100,2100,1.001351,1.130366
dxtc,1100,2600,0.999018,1.128861
dxtc,1100,3100,0.999550,1.157347
dxtc,1100,3600,1.000000,1.215893
dxtc,1100,3900,1.000286,1.265380
dxtc,1300,2100,0.851484,1.043140
dxtc,1300,2600,0.850911,1.021710
dxtc,1300,3100,0.851320,1.030185
dxtc,1300,3600,0.851770,1.068670
dxtc,1300,3900,0.852056,1.106129
dxtc,1500,2100,0.752363,0.990314
dxtc,1500,2600,0.752855,0.949003
dxtc,1500,3100,0.753223,0.937392
dxtc,1500,3600,0.753755,0.955802
dxtc,1500,3900,0.753878,0.981231
dxtc,700,2100,1.564968,1.407507
dxtc,700,2600,1.565705,1.446032
dxtc,700,3100,1.565787,1.514590
dxtc,700,3600,1.567383,1.613147
dxtc,700,3900,1.567383,1.686515
dxtc,900,2100,1.221977,1.251764
dxtc,900,2600,1.222386,1.270282
dxtc,900,3100,1.222509,1.318842
dxtc,900,3600,1.223000,1.397429
dxtc,900,3900,1.216861,1.458972
fastWalshTransform,1100,2100,1.759140,1.580383
fastWalshTransform,1100,2600,1.393899,1.382631
fastWalshTransform,1100,3100,1.153039,1.210508
fastWalshTransform,1100,3600,1.000000,1.063434
fastWalshTransform,1100,3900,0.918606,0.987259
fastWalshTransform,1300,2100,1.759583,1.595904
fastWalshTransform,1300,2600,1.393308,1.379503
fastWalshTransform,1300,3100,1.152448,1.189027
fastWalshTransform,1300,3600,0.998080,1.023956
fastWalshTransform,1300,3900,0.917350,0.936965
fastWalshTransform,1500,2100,1.757220,1.643690
fastWalshTransform,1500,2600,1.393308,1.409531
fastWalshTransform,1500,3100,1.152375,1.200578
fastWalshTransform,1500,3600,0.998523,1.016879
fastWalshTransform,1500,3900,0.917202,0.918854
fastWalshTransform,700,2100,1.760765,1.646869
fastWalshTransform,700,2600,1.397518,1.485384
fastWalshTransform,700,3100,1.286506,1.350250
fastWalshTransform,700,3600,1.312800,1.240835
fastWalshTransform,700,3900,1.312800,1.187159
fastWalshTransform,900,2100,1.759583,1.597106
fastWalshTransform,900,2600,1.394712,1.417965
fastWalshTransform,900,3100,1.154517,1.263998
fastWalshTransform,900,3600,1.002881,1.135195
fastWalshTransform,900,3900,1.002142,1.070460
gaussian,1100,2100,1.000565,1.269955
gaussian,1100,2600,1.000175,1.168015
gaussian,1100,3100,1.000041,1.091919
gaussian,1100,3600,1.000000,1.038119
gaussian,1100,3900,0.999959,1.016126
gaussian,1300,2100,1.000267,1.214419
gaussian,1300,2600,0.999918,1.094878
gaussian,1300,3100,0.999774,1.000042
gaussian,1300,3600,0.999743,0.929140
gaussian,1300,3900,0.999712,0.897086
gaussian,1500,2100,1.000092,1.187424
gaussian,1500,2600,0.999784,1.050407
