kernel,m2_error
BlackScholes,0.132332
SobolQRNG,0.087338
backpropBackward,0.243538
backpropForward,0.324359
cfd,0.075343
conjugateGradient,0.039883
convolutionSeparable,0.300062
convolutionTexture,0.253471
dxtc,0.408935
fastWalshTransform,0.156003
gaussian,0.034692
histogram,0.156859
hotspot,0.496211
matrixMulShared,0.195340
mergeSort,0.168639
nn,0.409935
pathfinder,0.002407
scalarProd,0.051378
scanScanExclusiveShared,0.011841
scanUniformUpdate,0.151538
sortingNetworks,0.001880
srad,0.116488
transpose,0.023213
vectorAdd,0.133657
average,0.165639
