kernel,coreF,memF,real,predict
BlackScholes,1100,2100,1.648504,1.340902
BlackScholes,1100,2600,1.318015,1.224137
BlackScholes,1100,3100,1.109448,1.134958
BlackScholes,1100,3600,1.000000,1.073918
BlackScholes,1100,3900,0.959169,1.051136
BlackScholes,1300,2100,1.646748,1.226203
BlackScholes,1300,2600,1.307011,1.097163
BlackScholes,1300,3100,1.092422,0.996283
BlackScholes,1300,3600,0.958903,0.924220
BlackScholes,1300,3900,0.893185,0.895441
BlackScholes,1500,2100,1.647707,1.156480
BlackScholes,1500,2600,1.306337,1.018414
BlackScholes,1500,3100,1.083765,0.907972
BlackScholes,1500,3600,0.947511,0.826822
BlackScholes,1500,3900,0.877077,0.792545
BlackScholes,700,2100,1.695888,1.690172
BlackScholes,700,2600,1.470111,1.607257
BlackScholes,700,3100,1.429913,1.548214
BlackScholes,700,3600,1.437344,1.512106
BlackScholes,700,3900,1.436140,1.501751
BlackScholes,900,2100,1.658303,1.498021
BlackScholes,900,2600,1.342677,1.396639
BlackScholes,900,3100,1.180270,1.321235
BlackScholes,900,3600,1.125413,1.272381
BlackScholes,900,3900,1.123882,1.255683
SobolQRNG,1100,2100,1.707130,1.406585
SobolQRNG,1100,2600,1.363437,1.266843
SobolQRNG,1100,3100,1.138642,1.152878
SobolQRNG,1100,3600,1.000000,1.066223
SobolQRNG,1100,3900,0.926400,1.028224
SobolQRNG,1300,2100,1.702176,1.340427
SobolQRNG,1300,2600,1.353483,1.188937
SobolQRNG,1300,3100,1.127232,1.062198
SobolQRNG,1300,3600,0.985826,0.963704
SobolQRNG,1300,3900,0.913292,0.918675
SobolQRNG,1500,2100,1.698872,1.318992
SobolQRNG,1500,2600,1.350149,1.158580
SobolQRNG,1500,3100,1.123268,1.022301
SobolQRNG,1500,3600,0.981382,0.912944
SobolQRNG,1500,3900,0.898473,0.861725
SobolQRNG,700,2100,1.744966,1.658319
SobolQRNG,700,2600,1.410417,1.551496
SobolQRNG,700,3100,1.308349,1.470973
SobolQRNG,700,3600,1.339309,1.416780
SobolQRNG,700,3900,1.339910,1.395854
SobolQRNG,900,2100,1.719892,1.513870
SobolQRNG,900,2600,1.380013,1.389704
SobolQRNG,900,3100,1.158146,1.289912
SobolQRNG,900,3600,1.025134,1.217614
SobolQRNG,900,3900,1.023933,1.188695
backpropBackward,1100,2100,1.009795,1.446458
backpropBackward,1100,2600,1.004002,1.247741
backpropBackward,1100,3100,1.001182,1.076521
backpropBackward,1100,3600,1.000000,0.937004
backpropBackward,1100,3900,0.999466,0.870491
backpropBackward,1300,2100,0.864924,1.441947
backpropBackward,1300,2600,0.855090,1.229116
backpropBackward,1300,3100,0.851164,1.041519
backpropBackward,1300,3600,0.850250,0.887372
backpropBackward,1300,3900,0.849678,0.812120
backpropBackward,1500,2100,0.773640,1.476742
backpropBackward,1500,2600,0.757289,1.252829
backpropBackward,1500,3100,0.748447,1.056136
backpropBackward,1500,3600,0.746770,0.890466
backpropBackward,1500,3900,0.746503,0.808068
backpropBackward,700,2100,1.561802,1.584063
backpropBackward,700,2600,1.559210,1.425971
backpropBackward,700,3100,1.558791,1.293782
backpropBackward,700,3600,1.559744,1.190694
backpropBackward,700,3900,1.560163,1.144707
backpropBackward,900,2100,1.227579,1.494578
backpropBackward,900,2600,1.222625,1.314255
backpropBackward,900,3100,1.220948,1.161382
backpropBackward,900,3600,1.220719,1.039897
backpropBackward,900,3900,1.221024,0.983011
backpropForward,1100,2100,1.005154,1.236769
backpropForward,1100,2600,1.002119,1.124285
backpropForward,1100,3100,1.000573,1.041023
backpropForward,1100,3600,1.000000,0.989003
backpropForward,1100,3900,0.999026,0.973215
backpropForward,1300,2100,0.858035,1.134833
backpropForward,1300,2600,0.854484,1.008616
backpropForward,1300,3100,0.852594,0.911928
backpropForward,1300,3600,0.851964,0.847639
backpropForward,1300,3900,0.851792,0.823779
backpropForward,1500,2100,0.757702,1.081955
backpropForward,1500,2600,0.754266,0.944901
backpropForward,1500,3100,0.752663,0.836698
backpropForward,1500,3600,0.752090,0.760913
backpropForward,1500,3900,0.751689,0.730501
backpropForward,700,2100,1.562421,1.572450
backpropForward,700,2600,1.559959,1.495641
backpropForward,700,3100,1.559501,1.444988
backpropForward,700,3600,1.560302,1.421835
backpropForward,700,3900,1.560589,1.421551
backpropForward,900,2100,1.222483,1.384322
backpropForward,900,2600,1.219792,1.288596
backpropForward,900,3100,1.218245,1.221183
backpropForward,900,3600,1.217787,1.183304
backpropForward,900,3900,1.217959,1.174367
cfd,1100,2100,1.170495,1.160414
cfd,1100,2600,1.078327,1.075049
cfd,1100,3100,1.022817,1.016991
cfd,1100,3600,1.000000,0.987958
cfd,1100,3900,0.982719,0.984677
cfd,1300,2100,1.063365,1.114304
cfd,1300,2600,0.967607,1.017287
cfd,1300,3100,0.910601,0.947917
cfd,1300,3600,0.878881,0.907691
cfd,1300,3900,0.861375,0.898092
cfd,1500,2100,1.010623,1.110966
cfd,1500,2600,0.912097,1.005940
cfd,1500,3100,0.852024,0.926613
cfd,1500,3600,0.823595,0.876807
cfd,1500,3900,0.804369,0.860952
cfd,700,2100,1.585322,1.377768
cfd,700,2600,1.518142,1.321075
cfd,700,3100,1.493304,1.290425
cfd,700,3600,1.498167,1.286725
cfd,700,3900,1.494726,1.296979
cfd,900,2100,1.324979,1.249340
cfd,900,2600,1.247400,1.177502
cfd,900,3100,1.199671,1.132103
cfd,900,3600,1.179322,1.115764
cfd,900,3900,1.174609,1.119415
conjugateGradient,1100,2100,1.331412,1.268660
conjugateGradient,1100,2600,1.155528,1.137881
conjugateGradient,1100,3100,1.060324,1.038313
conjugateGradient,1100,3600,1.000000,0.973136
conjugateGradient,1100,3900,0.971271,0.949771
conjugateGradient,1300,2100,1.269638,1.177405
conjugateGradient,1300,2600,1.076460,1.034203
conjugateGradient,1300,3100,0.964057,0.921212
conjugateGradient,1300,3600,0.907823,0.842816
conjugateGradient,1300,3900,0.878547,0.812830
conjugateGradient,1500,2100,1.238719,1.134131
conjugateGradient,1500,2600,1.042997,0.980499
conjugateGradient,1500,3100,0.916680,0.857286
conjugateGradient,1500,3600,0.855970,0.768403
conjugateGradient,1500,3900,0.829528,0.732079
conjugateGradient,700,2100,1.627685,1.580030
conjugateGradient,700,2600,1.518181,1.484688
