kernel,m1_error
BlackScholes,0.133361
SobolQRNG,0.159065
backpropBackward,0.612664
backpropForward,0.229301
cfd,0.318941
conjugateGradient,0.237968
convolutionSeparable,0.163308
convolutionTexture,0.650560
dxtc,1.013618
fastWalshTransform,0.238519
gaussian,0.303724
histogram,0.257936
hotspot,0.492825
matrixMulShared,0.045583
mergeSort,0.167152
nn,0.185128
pathfinder,0.086707
scalarProd,0.203649
scanScanExclusiveShared,0.118282
scanUniformUpdate,0.453626
sortingNetworks,0.461449
srad,0.294672
transpose,0.240295
vectorAdd,0.238942
average,0.304470
