kernel,coreF,memF,real,predict
BlackScholes,1100,2100,1.648504,1.324000
BlackScholes,1100,2600,1.318015,1.142414
BlackScholes,1100,3100,1.109448,1.029850
BlackScholes,1100,3600,1.000000,0.975946
BlackScholes,1100,3900,0.959169,0.964767
BlackScholes,1300,2100,1.646748,1.239630
BlackScholes,1300,2600,1.307011,1.042119
BlackScholes,1300,3100,1.092422,0.936095
BlackScholes,1300,3600,0.958903,0.876507
BlackScholes,1300,3900,0.893185,0.855954
BlackScholes,1500,2100,1.647707,1.190862
BlackScholes,1500,2600,1.306337,0.993560
BlackScholes,1500,3100,1.083765,0.876209
BlackScholes,1500,3600,0.947511,0.813434
BlackScholes,1500,3900,0.877077,0.801266
BlackScholes,700,2100,1.695888,1.593182
BlackScholes,700,2600,1.470111,1.545721
BlackScholes,700,3100,1.429913,1.538807
BlackScholes,700,3600,1.437344,1.540951
BlackScholes,700,3900,1.436140,1.540557
BlackScholes,900,2100,1.658303,1.485077
BlackScholes,900,2600,1.342677,1.270606
BlackScholes,900,3100,1.180270,1.206673
BlackScholes,900,3600,1.125413,1.169436
BlackScholes,900,3900,1.123882,1.163689
SobolQRNG,1100,2100,1.707130,1.562553
SobolQRNG,1100,2600,1.363437,1.288366
SobolQRNG,1100,3100,1.138642,1.117096
SobolQRNG,1100,3600,1.000000,0.989321
SobolQRNG,1100,3900,0.926400,0.964929
SobolQRNG,1300,2100,1.702176,1.552636
SobolQRNG,1300,2600,1.353483,1.255090
SobolQRNG,1300,3100,1.127232,1.068977
SobolQRNG,1300,3600,0.985826,0.952638
SobolQRNG,1300,3900,0.913292,0.933426
SobolQRNG,1500,2100,1.698872,1.519411
SobolQRNG,1500,2600,1.350149,1.223672
SobolQRNG,1500,3100,1.123268,1.036080
SobolQRNG,1500,3600,0.981382,0.913649
SobolQRNG,1500,3900,0.898473,0.882248
SobolQRNG,700,2100,1.744966,1.763281
SobolQRNG,700,2600,1.410417,1.446101
SobolQRNG,700,3100,1.308349,1.377764
SobolQRNG,700,3600,1.339309,1.416798
SobolQRNG,700,3900,1.339910,1.360248
SobolQRNG,900,2100,1.719892,1.728660
SobolQRNG,900,2600,1.380013,1.384551
SobolQRNG,900,3100,1.158146,1.188015
SobolQRNG,900,3600,1.025134,1.129843
SobolQRNG,900,3900,1.023933,1.121289
backpropBackward,1100,2100,1.009795,1.647041
backpropBackward,1100,2600,1.004002,1.321463
backpropBackward,1100,3100,1.001182,1.122387
backpropBackward,1100,3600,1.000000,0.990536
backpropBackward,1100,3900,0.999466,0.936955
backpropBackward,1300,2100,0.864924,1.647442
backpropBackward,1300,2600,0.855090,1.324012
backpropBackward,1300,3100,0.851164,1.116306
backpropBackward,1300,3600,0.850250,0.993087
backpropBackward,1300,3900,0.849678,0.939065
backpropBackward,1500,2100,0.773640,1.628542
backpropBackward,1500,2600,0.757289,1.302040
backpropBackward,1500,3100,0.748447,1.093647
backpropBackward,1500,3600,0.746770,0.971088
backpropBackward,1500,3900,0.746503,0.916927
backpropBackward,700,2100,1.561802,1.717946
backpropBackward,700,2600,1.559210,1.431963
backpropBackward,700,3100,1.558791,1.381411
backpropBackward,700,3600,1.559744,1.360687
backpropBackward,700,3900,1.560163,1.360923
backpropBackward,900,2100,1.227579,1.664110
backpropBackward,900,2600,1.222625,1.384881
backpropBackward,900,3100,1.220948,1.168142
backpropBackward,900,3600,1.220719,1.103377
backpropBackward,900,3900,1.221024,1.088149
backpropForward,1100,2100,1.005154,1.008421
backpropForward,1100,2600,1.002119,1.005581
backpropForward,1100,3100,1.000573,1.005019
backpropForward,1100,3600,1.000000,0.993857
backpropForward,1100,3900,0.999026,0.995862
backpropForward,1300,2100,0.858035,0.877875
backpropForward,1300,2600,0.854484,0.857821
backpropForward,1300,3100,0.852594,0.856070
backpropForward,1300,3600,0.851964,0.844915
backpropForward,1300,3900,0.851792,0.845489
backpropForward,1500,2100,0.757702,0.796346
backpropForward,1500,2600,0.754266,0.770358
backpropForward,1500,3100,0.752663,0.764277
backpropForward,1500,3600,0.752090,0.754229
backpropForward,1500,3900,0.751689,0.753408
backpropForward,700,2100,1.562421,1.561673
backpropForward,700,2600,1.559959,1.558375
backpropForward,700,3100,1.559501,1.556461
backpropForward,700,3600,1.560302,1.561075
backpropForward,700,3900,1.560589,1.561869
backpropForward,900,2100,1.222483,1.231034
backpropForward,900,2600,1.219792,1.222186
backpropForward,900,3100,1.218245,1.210490
backpropForward,900,3600,1.217787,1.202862
backpropForward,900,3900,1.217959,1.208711
cfd,1100,2100,1.170495,1.039957
cfd,1100,2600,1.078327,1.023303
cfd,1100,3100,1.022817,1.020092
cfd,1100,3600,1.000000,1.000634
cfd,1100,3900,0.982719,0.995333
cfd,1300,2100,1.063365,0.960440
cfd,1300,2600,0.967607,0.920337
cfd,1300,3100,0.910601,0.907629
cfd,1300,3600,0.878881,0.895294
cfd,1300,3900,0.861375,0.889902
cfd,1500,2100,1.010623,0.958269
cfd,1500,2600,0.912097,0.911926
cfd,1500,3100,0.852024,0.900602
cfd,1500,3600,0.823595,0.886624
cfd,1500,3900,0.804369,0.881233
cfd,700,2100,1.585322,1.512915
cfd,700,2600,1.518142,1.376385
cfd,700,3100,1.493304,1.376527
cfd,700,3600,1.498167,1.378622
cfd,700,3900,1.494726,1.378788
cfd,900,2100,1.324979,1.194476
cfd,900,2600,1.247400,1.158786
cfd,900,3100,1.199671,1.146287
cfd,900,3600,1.179322,1.130130
cfd,900,3900,1.174609,1.127589
conjugateGradient,1100,2100,1.331412,1.269440
conjugateGradient,1100,2600,1.155528,1.085143
conjugateGradient,1100,3100,1.060324,1.027332
conjugateGradient,1100,3600,1.000000,1.000335
conjugateGradient,1100,3900,0.971271,0.982633
conjugateGradient,1300,2100,1.269638,1.190468
conjugateGradient,1300,2600,1.076460,0.982419
conjugateGradient,1300,3100,0.964057,0.911380
conjugateGradient,1300,3600,0.907823,0.899204
conjugateGradient,1300,3900,0.878547,0.874867
conjugateGradient,1500,2100,1.238719,1.167335
conjugateGradient,1500,2600,1.042997,0.948206
conjugateGradient,1500,3100,0.916680,0.877651
conjugateGradient,1500,3600,0.855970,0.864092
conjugateGradient,1500,3900,0.829528,0.840767
conjugateGradient,700,2100,1.627685,1.660373
conjugateGradient,700,2600,1.518181,1.441599
