kernel,m3_error
BlackScholes,0.083815
SobolQRNG,0.069986
backpropBackward,0.458544
backpropForward,0.283171
cfd,0.380987
conjugateGradient,0.098791
convolutionSeparable,0.370407
convolutionTexture,0.606403
dxtc,0.092236
fastWalshTransform,0.159597
gaussian,0.132256
histogram,0.218660
hotspot,0.279145
matrixMulShared,0.137265
mergeSort,0.222521
nn,0.435733
pathfinder,0.086028
scalarProd,0.079628
scanScanExclusiveShared,0.007197
scanUniformUpdate,0.110383
sortingNetworks,0.049489
srad,0.357714
transpose,0.108973
vectorAdd,0.077040
average,0.204415
