,appName,coreF,memF,avg_power,modelled_power
0,BlackScholes,607,715,91.644279661,110.88210303724264
1,BlackScholes,810,715,109.252842553,127.94387362999993
2,BlackScholes,1012,715,128.094266094,146.73774684263222
3,BlackScholes,1202,715,151.955677966,166.69504697139317
4,BlackScholes,1328,715,192.042978723,181.1393801959933
5,SobolQRNG,607,715,82.2032278481,89.67328369497979
6,SobolQRNG,810,715,91.76044375,99.179258024005
7,SobolQRNG,1012,715,97.5505759494,111.03897111505032
8,SobolQRNG,1202,715,111.2616,124.16296768785843
9,SobolQRNG,1328,715,134.46849375,133.6875238607202
10,backpropBackward,607,715,81.1843248408,79.10902911128173
11,backpropBackward,810,715,87.5192662338,89.53865931687973
12,backpropBackward,1012,715,93.6715448718,101.50719914583806
13,backpropBackward,1202,715,106.871461538,114.18926624058828
14,backpropBackward,1328,715,129.336025806,123.3887683826145
15,backpropForward,607,715,51.9636470588,51.0861707425985
16,backpropForward,810,715,58.821461039,60.53532927228109
17,backpropForward,1012,715,66.8949019608,71.15201448825604
18,backpropForward,1202,715,81.9438766234,82.25629307794829
19,backpropForward,1328,715,101.860227273,90.23397367943389
20,binomialOptions,607,715,52.8985243243,55.36382737386315
21,binomialOptions,810,715,60.8264042553,65.25845492163397
22,binomialOptions,1012,715,69.2049518717,76.40696054432362
23,binomialOptions,1202,715,85.4185721925,88.0071550389447
24,binomialOptions,1328,715,106.665540107,96.45675085422015
25,cfd,607,715,69.8850359281,64.53863572526896
26,cfd,810,715,72.7272831325,72.47436419030602
27,cfd,1012,715,77.2890650888,81.55213146562392
28,cfd,1202,715,86.0039107143,91.29580763892292
29,cfd,1328,715,99.9192409639,98.38665838622266
30,conjugateGradient,607,715,73.2209254658,69.98540450248039
31,conjugateGradient,810,715,82.3268902439,79.59975309568462
32,conjugateGradient,1012,715,89.0745481928,91.62060383567191
33,conjugateGradient,1202,715,103.94026506,104.68717658268613
34,conjugateGradient,1328,715,125.459109091,113.92000265201376
35,convolutionSeparable,607,715,61.0635227273,61.480511304690545
36,convolutionSeparable,810,715,68.3868415094,70.50120017044848
37,convolutionSeparable,1012,715,73.5377030075,80.74238808653075
38,convolutionSeparable,1202,715,84.0748089888,91.66281351662742
39,convolutionSeparable,1328,715,102.037323308,99.50454883308943
40,convolutionTexture,607,715,40.9581090909,40.8301456769293
41,convolutionTexture,810,715,41.0039684211,46.19154851584781
42,convolutionTexture,1012,715,48.6363905109,52.426516001161076
43,convolutionTexture,1202,715,57.0068832117,58.99760591376188
44,convolutionTexture,1328,715,66.0130442804,63.77597592843994
45,dxtc,607,715,82.1204379085,70.99810200278309
46,dxtc,810,715,83.5925324675,79.66170565893158
47,dxtc,1012,715,87.3257960526,89.65827880750109
48,dxtc,1202,715,95.7267763158,100.31382415453814
49,dxtc,1328,715,110.028117647,108.04464462595878
50,eigenvalues,607,715,29.5180533333,22.215445511955803
51,eigenvalues,810,715,30.2730066225,24.68308422181032
52,eigenvalues,1012,715,31.5107615894,27.62522559999532
53,eigenvalues,1202,715,34.8354078947,30.83526233404871
54,eigenvalues,1328,715,39.6731266667,33.20150547667438
55,fastWalshTransform,607,715,28.774004896,24.94231923593611
56,fastWalshTransform,810,715,29.4037291667,27.95024632952673
57,fastWalshTransform,1012,715,30.3433611794,31.455042524773134
58,fastWalshTransform,1202,715,33.3440502451,35.20189925493469
59,fastWalshTransform,1328,715,38.1664198286,37.92242218640767
60,gaussian,607,715,47.8790192308,48.7949957072913
61,gaussian,810,715,54.1603269231,54.52522157938848
62,gaussian,1012,715,57.6718322581,60.40721578857807
63,gaussian,1202,715,68.2869423077,68.07893571471024
64,gaussian,1328,715,81.7191974522,73.57093464057051
65,histogram,607,715,55.5942663043,61.6081637355569
66,histogram,810,715,64.3913027027,69.76981474601644
67,histogram,1012,715,72.0223924731,79.26212259574518
68,histogram,1202,715,86.2046702128,89.42645807716794
69,histogram,1328,715,105.599790323,96.4225029948209
70,hotspot,607,715,49.9880878378,55.14406216054587
71,hotspot,810,715,56.9705838926,63.85968149049069
72,hotspot,1012,715,63.54622,73.75837631357663
73,hotspot,1202,715,78.7796510067,84.20345335131758
74,hotspot,1328,715,101.921871622,91.72542276283981
75,matrixMulGlobal,607,715,72.5090397351,80.78999323692717
76,matrixMulGlobal,810,715,84.7468609272,93.35688630905757
77,matrixMulGlobal,1012,715,96.5248278146,107.83576877240404
78,matrixMulGlobal,1202,715,117.879390728,123.09300964969982
79,matrixMulGlobal,1328,715,145.96781457,134.07027720512244
80,matrixMulShared,607,715,62.155261745,68.43019163658296
81,matrixMulShared,810,715,72.68428,81.06978873414585
82,matrixMulShared,1012,715,84.5054765101,95.30933335837334
83,matrixMulShared,1202,715,106.558346667,110.14913220766314
84,matrixMulShared,1328,715,132.654072848,120.78597917865953
85,mergeSort,607,715,59.2474503311,59.677973011014515
86,mergeSort,810,715,68.0742933333,71.20162574043106
87,mergeSort,1012,715,77.7937682119,84.12655840846148
88,mergeSort,1202,715,94.8252266667,97.61850926589084
89,mergeSort,1328,715,119.230953642,107.2935032791248
90,nn,607,715,94.5038604651,85.19782309495137
91,nn,810,715,99.7133333333,95.90327344448757
92,nn,1012,715,101.665755682,108.36966506670615
93,nn,1202,715,111.821566474,121.71748888517573
94,nn,1328,715,135.773931429,131.50300685648352
95,pathfinder,607,715,48.5619329609,47.92736242249737
96,pathfinder,810,715,55.4383631285,56.42379174116867
97,pathfinder,1012,715,62.6801722222,66.03631691164985
98,pathfinder,1202,715,76.3845865922,76.21347605345058
99,pathfinder,1328,715,93.7018156425,83.44148114629077
100,quasirandomGenerator,607,715,28.9512025723,25.094516327190302
101,quasirandomGenerator,810,715,29.5844598071,28.080659512183534
102,quasirandomGenerator,1012,715,30.5581511254,31.525293009164866
103,quasirandomGenerator,1202,715,33.8067852564,35.19565311424321
104,quasirandomGenerator,1328,715,38.6883559871,37.8819142755212
105,reduction,607,715,43.7956871166,41.02429287042121
106,reduction,810,715,48.9713619632,48.32506193886275
107,reduction,1012,715,54.6624666667,56.537311236517255
108,reduction,1202,715,65.377152439,65.01730813171679
109,reduction,1328,715,78.9287852761,71.09122411068161
110,scalarProd,607,715,67.0808903509,75.67172693199142
111,scalarProd,810,715,75.8750782609,83.70130911844514
112,scalarProd,1012,715,83.7941710526,92.61942215076706
113,scalarProd,1202,715,97.226974026,102.68330180096295
114,scalarProd,1328,715,107.085939394,109.7749604245045
115,scanScanExclusiveShared,607,715,68.0170754717,80.15710069452378
116,scanScanExclusiveShared,810,715,79.4914125,92.14771313601378
117,scanScanExclusiveShared,1012,715,92.0147763975,105.90791669197363
118,scanScanExclusiveShared,1202,715,112.36813125,120.37687825061303
119,scanScanExclusiveShared,1328,715,138.378465839,130.80697887343152
120,scanUniformUpdate,607,715,61.7899197531,55.6485300042616
121,scanUniformUpdate,810,715,63.0594968553,61.932350966987784
122,scanUniformUpdate,1012,715,65.0612857143,69.30537735551961
123,scanUniformUpdate,1202,715,71.917425,77.05011187303998
124,scanUniformUpdate,1328,715,81.8849570552,82.73397330147597
125,sortingNetworks,607,715,52.4038145695,53.2241355485779
126,sortingNetworks,810,715,60.4229668874,63.50392973186022
127,sortingNetworks,1012,715,69.3198013245,75.02305832932842
128,sortingNetworks,1202,715,85.7826887417,87.05815171742331
129,sortingNetworks,1328,715,106.284769737,95.67452542037954
130,srad,607,715,77.2428598726,89.82982651639595
131,srad,810,715,91.9259490446,104.32145372201144
132,srad,1012,715,108.126879747,120.85174685722232
133,srad,1202,715,134.294310127,138.22493246214887
134,srad,1328,715,167.551967949,150.70792572218974
135,stereoDisparity,607,715,62.1090526316,73.03280742427818
136,stereoDisparity,810,715,73.7303509934,85.64095954127487
137,stereoDisparity,1012,715,86.0671437908,99.86629667055368
138,stereoDisparity,1202,715,109.001238411,114.79658995825946
139,stereoDisparity,1328,715,138.260980132,125.51972119485657
140,transpose,607,715,74.9151465969,76.89344859958362
141,transpose,810,715,84.1482592593,88.26726808423153
142,transpose,1012,715,94.1534947368,101.12955763186963
143,transpose,1202,715,108.952444444,114.51137244813476
144,transpose,1328,715,130.735789474,124.17385108357313
145,vectorAdd,607,715,92.316908046,80.1338379292677
146,vectorAdd,810,715,94.1894912281,89.46320154076437
147,vectorAdd,1012,715,95.566566474,100.34516088515333
148,vectorAdd,1202,715,105.662347059,112.1122946035522
149,vectorAdd,1328,715,121.509588235,120.63610738580029
