kernel,m3_error
BlackScholes,0.095077
SobolQRNG,0.031229
backpropBackward,0.059197
backpropForward,0.470710
cfd,0.176151
conjugateGradient,0.080488
convolutionSeparable,0.273594
convolutionTexture,0.067526
dxtc,0.107336
fastWalshTransform,0.035846
gaussian,0.464791
histogram,0.129387
hotspot,0.416682
matrixMulShared,0.108455
mergeSort,0.205929
nn,0.053409
pathfinder,0.463074
scalarProd,0.078370
scanScanExclusiveShared,0.122518
scanUniformUpdate,0.020018
sortingNetworks,0.144289
srad,0.186080
transpose,0.186186
vectorAdd,0.081111
average,0.169061
