kernel,coreF,memF,real,predict
BlackScholes,1012,715,1.190309,1.225853
BlackScholes,1202,715,1.046782,1.070372
BlackScholes,1328,715,1.000000,0.983974
BlackScholes,607,715,1.952502,1.653813
BlackScholes,810,715,1.472989,1.425419
SobolQRNG,1012,715,1.058068,1.234576
SobolQRNG,1202,715,1.018916,1.039925
SobolQRNG,1328,715,1.000000,0.928745
SobolQRNG,607,715,1.309520,1.747899
SobolQRNG,810,715,1.127485,1.476263
backpropBackward,1012,715,1.077255,1.211934
backpropBackward,1202,715,1.022112,1.087756
backpropBackward,1328,715,1.000000,1.025141
backpropBackward,607,715,1.280241,1.585184
backpropBackward,810,715,1.189653,1.381312
backpropForward,1012,715,1.299444,1.401002
backpropForward,1202,715,1.095983,1.201692
backpropForward,1328,715,1.000000,1.087278
backpropForward,607,715,2.155713,1.913815
backpropForward,810,715,1.622545,1.644019
cfd,1012,715,1.039458,1.014942
cfd,1202,715,1.013153,0.934089
cfd,1328,715,1.000000,0.899871
cfd,607,715,1.154583,1.296530
cfd,810,715,1.109686,1.137519
conjugateGradient,1012,715,1.233185,1.245984
conjugateGradient,1202,715,1.076027,1.071664
conjugateGradient,1328,715,1.000000,0.976045
conjugateGradient,607,715,2.049751,1.703483
conjugateGradient,810,715,1.537417,1.461295
convolutionSeparable,1012,715,1.275649,1.271421
convolutionSeparable,1202,715,1.078116,1.065009
convolutionSeparable,1328,715,1.000000,0.946825
convolutionSeparable,607,715,2.113561,1.797307
convolutionSeparable,810,715,1.591104,1.521222
convolutionTexture,1012,715,1.223867,1.233570
convolutionTexture,1202,715,1.066858,1.101876
convolutionTexture,1328,715,1.000000,1.031754
convolutionTexture,607,715,1.894061,1.610638
convolutionTexture,810,715,1.454719,1.407541
dxtc,1012,715,1.013942,1.065001
dxtc,1202,715,1.006721,0.958349
dxtc,1328,715,1.000000,0.906612
dxtc,607,715,1.060413,1.398442
dxtc,810,715,1.049260,1.214646
fastWalshTransform,1012,715,0.990606,1.049262
fastWalshTransform,1202,715,0.996960,0.925186
fastWalshTransform,1328,715,1.000000,0.863080
fastWalshTransform,607,715,0.990706,1.420154
fastWalshTransform,810,715,0.990407,1.217921
gaussian,1012,715,1.270256,1.168521
gaussian,1202,715,1.087176,1.073685
gaussian,1328,715,1.000000,1.028729
gaussian,607,715,1.896230,1.474235
gaussian,810,715,1.433066,1.304978
histogram,1012,715,1.228022,1.431751
histogram,1202,715,1.083327,1.193200
histogram,1328,715,1.000000,1.050983
histogram,607,715,2.025379,2.035549
histogram,810,715,1.526856,1.716839
hotspot,1012,715,1.297401,1.329765
hotspot,1202,715,1.095218,1.107721
hotspot,1328,715,1.000000,0.979574
hotspot,607,715,2.157198,1.896152
hotspot,810,715,1.621043,1.598830
matrixMulShared,1012,715,1.284558,1.509268
matrixMulShared,1202,715,1.084835,1.294166
matrixMulShared,1328,715,1.000000,1.169502
matrixMulShared,607,715,2.103844,2.051333
matrixMulShared,810,715,1.595438,1.767822
mergeSort,1012,715,1.297670,1.484738
mergeSort,1202,715,1.096141,1.250818
mergeSort,1328,715,1.000000,1.114165
mergeSort,607,715,2.153316,2.073093
mergeSort,810,715,1.619398,1.765461
nn,1012,715,0.997627,1.172534
nn,1202,715,0.997951,1.026757
nn,1328,715,1.000000,0.949026
nn,607,715,1.259034,1.583170
nn,810,715,1.020494,1.362149
pathfinder,1012,715,1.298892,1.376346
pathfinder,1202,715,1.094883,1.174474
pathfinder,1328,715,1.000000,1.062113
pathfinder,607,715,2.150343,1.887423
pathfinder,810,715,1.619936,1.618921
scalarProd,1012,715,1.110878,1.046381
scalarProd,1202,715,1.025172,0.938794
scalarProd,1328,715,1.000000,0.886263
scalarProd,607,715,1.601659,1.373587
scalarProd,810,715,1.300524,1.194917
scanScanExclusiveShared,1012,715,1.298333,1.134840
scanScanExclusiveShared,1202,715,1.094641,0.983869
scanScanExclusiveShared,1328,715,1.000000,0.903661
scanScanExclusiveShared,607,715,2.154463,1.561575
scanScanExclusiveShared,810,715,1.620657,1.334220
scanUniformUpdate,1012,715,0.990542,0.900450
scanUniformUpdate,1202,715,0.996807,0.823552
scanUniformUpdate,1328,715,1.000000,0.787199
scanUniformUpdate,607,715,0.990944,1.184689
scanUniformUpdate,810,715,0.989819,1.027091
sortingNetworks,1012,715,1.297730,1.461090
sortingNetworks,1202,715,1.095553,1.230902
sortingNetworks,1328,715,1.000000,1.096025
sortingNetworks,607,715,2.155730,2.038079
sortingNetworks,810,715,1.618282,1.736443
srad,1012,715,1.290973,1.214010
srad,1202,715,1.091658,1.052660
srad,1328,715,1.000000,0.965400
srad,607,715,2.137552,1.654475
srad,810,715,1.606962,1.420272
transpose,1012,715,1.166494,1.199881
transpose,1202,715,1.042399,1.027812
transpose,1328,715,1.000000,0.934923
transpose,607,715,1.840463,1.666271
transpose,810,715,1.403027,1.419596
vectorAdd,1012,715,0.991100,1.039762
vectorAdd,1202,715,0.996577,0.925673
vectorAdd,1328,715,1.000000,0.871650
vectorAdd,607,715,0.990895,1.386973
vectorAdd,810,715,0.981721,1.195964
average,0.102554
