kernel,coreF,memF,real,predict
BlackScholes,1012,715,1.190309,1.201819
BlackScholes,1202,715,1.046782,1.061054
BlackScholes,1328,715,1.000000,0.999088
BlackScholes,607,715,1.952502,1.825729
BlackScholes,810,715,1.472989,1.421210
SobolQRNG,1012,715,1.058068,1.209507
SobolQRNG,1202,715,1.018916,1.068017
SobolQRNG,1328,715,1.000000,0.993283
SobolQRNG,607,715,1.309520,2.020903
SobolQRNG,810,715,1.127485,1.497157
backpropBackward,1012,715,1.077255,1.167165
backpropBackward,1202,715,1.022112,1.065620
backpropBackward,1328,715,1.000000,1.019673
backpropBackward,607,715,1.280241,1.770014
backpropBackward,810,715,1.189653,1.325217
backpropForward,1012,715,1.299444,1.302421
backpropForward,1202,715,1.095983,1.091272
backpropForward,1328,715,1.000000,1.003655
backpropForward,607,715,2.155713,2.156152
backpropForward,810,715,1.622545,1.623614
cfd,1012,715,1.039458,0.992314
cfd,1202,715,1.013153,0.999583
cfd,1328,715,1.000000,0.996366
cfd,607,715,1.154583,1.050121
cfd,810,715,1.109686,1.022434
conjugateGradient,1012,715,1.233185,1.281358
conjugateGradient,1202,715,1.076027,1.083843
conjugateGradient,1328,715,1.000000,1.008173
conjugateGradient,607,715,2.049751,2.028937
conjugateGradient,810,715,1.537417,1.585818
convolutionSeparable,1012,715,1.275649,1.264496
convolutionSeparable,1202,715,1.078116,1.080203
convolutionSeparable,1328,715,1.000000,1.002888
convolutionSeparable,607,715,2.113561,2.062180
convolutionSeparable,810,715,1.591104,1.566200
convolutionTexture,1012,715,1.223867,1.158448
convolutionTexture,1202,715,1.066858,1.053161
convolutionTexture,1328,715,1.000000,0.994447
convolutionTexture,607,715,1.894061,1.587441
convolutionTexture,810,715,1.454719,1.357989
dxtc,1012,715,1.013942,1.124457
dxtc,1202,715,1.006721,1.046138
dxtc,1328,715,1.000000,1.017020
dxtc,607,715,1.060413,1.217579
dxtc,810,715,1.049260,1.230696
fastWalshTransform,1012,715,0.990606,1.025079
fastWalshTransform,1202,715,0.996960,1.003941
fastWalshTransform,1328,715,1.000000,0.988197
fastWalshTransform,607,715,0.990706,1.159520
fastWalshTransform,810,715,0.990407,1.085937
gaussian,1012,715,1.270256,1.076093
gaussian,1202,715,1.087176,1.029600
gaussian,1328,715,1.000000,1.000240
gaussian,607,715,1.896230,1.327500
gaussian,810,715,1.433066,1.165745
histogram,1012,715,1.228022,1.308701
histogram,1202,715,1.083327,1.092599
histogram,1328,715,1.000000,1.006418
histogram,607,715,2.025379,2.077339
histogram,810,715,1.526856,1.590533
hotspot,1012,715,1.297401,1.247857
hotspot,1202,715,1.095218,1.071183
hotspot,1328,715,1.000000,1.002464
hotspot,607,715,2.157198,1.592619
hotspot,810,715,1.621043,1.460223
matrixMulShared,1012,715,1.284558,1.303815
matrixMulShared,1202,715,1.084835,1.093140
matrixMulShared,1328,715,1.000000,1.003425
matrixMulShared,607,715,2.103844,2.152759
matrixMulShared,810,715,1.595438,1.619047
mergeSort,1012,715,1.297670,1.306264
mergeSort,1202,715,1.096141,1.095711
mergeSort,1328,715,1.000000,1.005613
mergeSort,607,715,2.153316,2.123412
mergeSort,810,715,1.619398,1.607782
nn,1012,715,0.997627,1.112647
nn,1202,715,0.997951,1.032726
nn,1328,715,1.000000,1.002624
nn,607,715,1.259034,1.690251
nn,810,715,1.020494,1.305220
pathfinder,1012,715,1.298892,1.290740
pathfinder,1202,715,1.094883,1.093944
pathfinder,1328,715,1.000000,1.003779
pathfinder,607,715,2.150343,2.159494
pathfinder,810,715,1.619936,1.604075
scalarProd,1012,715,1.110878,0.983605
scalarProd,1202,715,1.025172,0.999050
scalarProd,1328,715,1.000000,0.996141
scalarProd,607,715,1.601659,1.141545
scalarProd,810,715,1.300524,1.065206
scanScanExclusiveShared,1012,715,1.298333,1.060396
scanScanExclusiveShared,1202,715,1.094641,1.028803
scanScanExclusiveShared,1328,715,1.000000,1.000763
scanScanExclusiveShared,607,715,2.154463,1.485073
scanScanExclusiveShared,810,715,1.620657,1.247326
scanUniformUpdate,1012,715,0.990542,1.033879
scanUniformUpdate,1202,715,0.996807,1.009243
scanUniformUpdate,1328,715,1.000000,1.000868
scanUniformUpdate,607,715,0.990944,1.016554
scanUniformUpdate,810,715,0.989819,1.055634
sortingNetworks,1012,715,1.297730,1.269875
sortingNetworks,1202,715,1.095553,1.084195
sortingNetworks,1328,715,1.000000,1.002649
sortingNetworks,607,715,2.155730,2.075379
sortingNetworks,810,715,1.618282,1.571599
srad,1012,715,1.290973,1.207857
srad,1202,715,1.091658,1.058755
srad,1328,715,1.000000,1.001717
srad,607,715,2.137552,1.957087
srad,810,715,1.606962,1.428215
transpose,1012,715,1.166494,1.240394
transpose,1202,715,1.042399,1.059686
transpose,1328,715,1.000000,1.000613
transpose,607,715,1.840463,2.146114
transpose,810,715,1.403027,1.576115
vectorAdd,1012,715,0.991100,0.995738
vectorAdd,1202,715,0.996577,0.994615
vectorAdd,1328,715,1.000000,0.990619
vectorAdd,607,715,0.990895,0.981391
vectorAdd,810,715,0.981721,0.980691
average,0.065266
