kernel,m1_error
BlackScholes,0.638646
SobolQRNG,0.349277
backpropBackward,0.390092
backpropForward,0.228580
cfd,0.437893
conjugateGradient,0.393888
convolutionSeparable,0.903061
convolutionTexture,0.256986
dxtc,0.040128
fastWalshTransform,0.134792
gaussian,1.416585
histogram,0.011935
hotspot,0.534417
matrixMulShared,0.048611
mergeSort,0.401789
nn,0.121172
pathfinder,0.251783
scalarProd,0.816806
scanScanExclusiveShared,0.221684
scanUniformUpdate,0.122356
sortingNetworks,0.042909
srad,0.670245
transpose,0.378806
vectorAdd,0.151808
average,0.373510
