kernel,coreF,memF,real,predict
BlackScholes,1700,3500,1.323261,1.162432
BlackScholes,1700,4000,1.138532,1.107564
BlackScholes,1700,4500,0.996442,1.049603
BlackScholes,1700,5000,0.892558,0.988196
BlackScholes,1600,3500,1.322762,1.177686
BlackScholes,1600,4000,1.134349,1.125219
BlackScholes,1600,4500,0.997628,1.069550
BlackScholes,1600,5000,0.893682,1.010572
BlackScholes,1800,3500,1.323074,1.146724
BlackScholes,1800,4000,1.135036,1.089640
BlackScholes,1800,4500,1.000000,1.029265
BlackScholes,1800,5000,0.890873,0.965477
BlackScholes,1900,3500,1.323886,1.131053
BlackScholes,1900,4000,1.139406,1.071435
BlackScholes,1900,4500,1.002622,1.008597
BlackScholes,1900,5000,0.890124,0.942448
BlackScholes,2000,3500,1.323012,1.114887
BlackScholes,2000,4000,1.139718,1.052947
BlackScholes,2000,4500,1.001186,0.987789
BlackScholes,2000,5000,0.889499,0.919177
SobolQRNG,1700,3500,1.276948,1.212331
SobolQRNG,1700,4000,1.115599,1.133578
SobolQRNG,1700,4500,1.015782,1.053673
SobolQRNG,1700,5000,0.895510,0.971330
SobolQRNG,1600,3500,1.278487,1.232289
SobolQRNG,1600,4000,1.136680,1.156416
SobolQRNG,1600,4500,1.015782,1.079028
SobolQRNG,1600,5000,0.880583,0.999430
SobolQRNG,1800,3500,1.277461,1.191927
SobolQRNG,1800,4000,1.105515,1.110766
SobolQRNG,1800,4500,1.000000,1.028015
SobolQRNG,1800,5000,0.906278,0.943024
SobolQRNG,1900,3500,1.276436,1.171369
SobolQRNG,1900,4000,1.103179,1.087451
SobolQRNG,1900,4500,0.987409,1.001926
SobolQRNG,1900,5000,0.906165,0.914275
SobolQRNG,2000,3500,1.270169,1.150397
SobolQRNG,2000,4000,1.100729,1.063800
SobolQRNG,2000,4500,0.976983,0.975637
SobolQRNG,2000,5000,0.896023,0.885231
backpropBackward,1700,3500,1.055968,1.263142
backpropBackward,1700,4000,1.046415,1.141406
backpropBackward,1700,4500,1.048056,1.016127
backpropBackward,1700,5000,1.050179,0.887304
backpropBackward,1600,3500,1.086461,1.263204
backpropBackward,1600,4000,1.111744,1.143901
backpropBackward,1600,4500,1.111937,1.021059
backpropBackward,1600,5000,1.115025,0.894667
backpropBackward,1800,3500,1.000096,1.263087
backpropBackward,1800,4000,0.999807,1.138915
backpropBackward,1800,4500,1.000000,1.011203
backpropBackward,1800,5000,0.998842,0.879946
backpropBackward,1900,3500,0.956296,1.263038
backpropBackward,1900,4000,0.959037,1.136432
backpropBackward,1900,4500,0.958361,1.006285
backpropBackward,1900,5000,0.959326,0.872595
backpropBackward,2000,3500,0.915034,1.262996
backpropBackward,2000,4000,0.915372,1.133957
backpropBackward,2000,4500,0.911502,1.001374
backpropBackward,2000,5000,0.919010,0.865251
backpropForward,1700,3500,1.062570,1.168086
backpropForward,1700,4000,1.053566,1.103787
backpropForward,1700,4500,1.052941,1.037489
backpropForward,1700,5000,1.056234,0.969194
backpropForward,1600,3500,1.115553,1.198154
backpropForward,1600,4000,1.116949,1.136143
backpropForward,1600,4500,1.119159,1.072138
backpropForward,1600,5000,1.121306,1.006131
backpropForward,1800,3500,1.007358,1.137478
backpropForward,1800,4000,0.997791,1.070886
backpropForward,1800,4500,1.000000,1.002296
backpropForward,1800,5000,1.002814,0.931711
backpropForward,1900,3500,0.968652,1.106334
backpropForward,1900,4000,0.965276,1.037450
backpropForward,1900,4500,0.966339,0.966569
backpropForward,1900,5000,0.957314,0.893691
backpropForward,2000,3500,0.929614,1.074651
backpropForward,2000,4000,0.926174,1.003472
backpropForward,2000,4500,0.917087,0.930301
backpropForward,2000,5000,0.915107,0.855130
cfd,1700,3500,1.161883,1.257543
cfd,1700,4000,1.083540,1.189280
cfd,1700,4500,1.033748,1.119757
cfd,1700,5000,0.999925,1.048977
cfd,1600,3500,1.194802,1.276536
cfd,1600,4000,1.127232,1.210840
cfd,1600,4500,1.079473,1.143885
cfd,1600,5000,1.044595,1.075675
cfd,1800,3500,1.129040,1.238066
cfd,1800,4000,1.052655,1.167236
cfd,1800,4500,1.000000,1.095148
cfd,1800,5000,0.966554,1.021800
cfd,1900,3500,1.104934,1.218104
cfd,1900,4000,1.026817,1.144704
cfd,1900,4500,0.976949,1.070047
cfd,1900,5000,0.939510,0.994131
cfd,2000,3500,1.084972,1.197665
cfd,2000,4000,1.007006,1.121698
cfd,2000,4500,0.951563,1.044463
cfd,2000,5000,0.908098,0.965976
conjugateGradient,1700,3500,1.266619,1.149221
conjugateGradient,1700,4000,1.109466,1.080651
conjugateGradient,1700,4500,1.010193,1.009877
conjugateGradient,1700,5000,0.954175,0.937061
conjugateGradient,1600,3500,1.277522,1.172312
conjugateGradient,1600,4000,1.124180,1.106116
conjugateGradient,1600,4500,1.025350,1.037692
conjugateGradient,1600,5000,0.971636,0.967182
conjugateGradient,1800,3500,1.256692,1.125791
conjugateGradient,1800,4000,1.100425,1.054868
conjugateGradient,1800,4500,1.000000,0.981723
conjugateGradient,1800,5000,0.939107,0.906544
conjugateGradient,1900,3500,1.251728,1.102022
conjugateGradient,1900,4000,1.093246,1.028722
conjugateGradient,1900,4500,0.991136,0.953206
conjugateGradient,1900,5000,0.929268,0.875676
conjugateGradient,2000,3500,1.246144,1.077956
conjugateGradient,2000,4000,1.086687,1.002271
