kernel,m1_error
BlackScholes,0.449474
SobolQRNG,0.051115
backpropBackward,0.413933
backpropForward,0.042335
cfd,1.003065
conjugateGradient,0.258089
convolutionSeparable,0.608685
convolutionTexture,0.812923
dxtc,2.500666
fastWalshTransform,0.074784
gaussian,0.527423
histogram,0.107188
hotspot,0.748789
matrixMulShared,0.392464
mergeSort,0.001434
nn,0.350609
pathfinder,0.186832
scalarProd,0.026035
scanScanExclusiveShared,0.157959
scanUniformUpdate,0.136653
sortingNetworks,0.372409
srad,0.068549
transpose,0.218262
vectorAdd,0.019062
average,0.397031
