kernel,error
BlackScholes,0.205908
SobolQRNG,0.208510
backpropBackward,0.427393
backpropForward,0.250101
cfd,0.020121
conjugateGradient,0.019536
convolutionSeparable,0.492496
convolutionTexture,0.248204
dxtc,0.231351
fastWalshTransform,0.221460
gaussian,0.631999
histogram,0.069832
hotspot,0.739099
matrixMulShared,0.187044
mergeSort,0.217405
nn,0.047271
pathfinder,0.086935
scalarProd,0.241093
scanScanExclusiveShared,0.081277
scanUniformUpdate,0.293966
sortingNetworks,0.001698
srad,0.057770
transpose,0.325463
vectorAdd,0.192829
average,0.229115
