kernel,coreF,memF,real,predict
BlackScholes,1700,3500,1.323261,1.185829
BlackScholes,1700,4000,1.138532,1.126805
BlackScholes,1700,4500,0.996442,1.065166
BlackScholes,1700,5000,0.892558,1.001483
BlackScholes,1600,3500,1.322762,1.205943
BlackScholes,1600,4000,1.134349,1.147051
BlackScholes,1600,4500,0.997628,1.085351
BlackScholes,1600,5000,0.893682,1.021628
BlackScholes,1800,3500,1.323074,1.164496
BlackScholes,1800,4000,1.135036,1.105563
BlackScholes,1800,4500,1.000000,1.043958
BlackScholes,1800,5000,0.890873,0.980434
BlackScholes,1900,3500,1.323886,1.142424
BlackScholes,1900,4000,1.139406,1.083397
BlackScholes,1900,4500,1.002622,1.021856
BlackScholes,1900,5000,0.890124,0.958589
BlackScholes,2000,3500,1.323012,1.119259
BlackScholes,2000,4000,1.139718,1.060388
BlackScholes,2000,4500,1.001186,0.999118
BlackScholes,2000,5000,0.889499,0.936094
SobolQRNG,1700,3500,1.276948,1.208293
SobolQRNG,1700,4000,1.115599,1.135958
SobolQRNG,1700,4500,1.015782,1.062505
SobolQRNG,1700,5000,0.895510,0.988342
SobolQRNG,1600,3500,1.278487,1.227626
SobolQRNG,1600,4000,1.136680,1.155824
SobolQRNG,1600,4500,1.015782,1.082580
SobolQRNG,1600,5000,0.880583,1.008659
SobolQRNG,1800,3500,1.277461,1.187956
SobolQRNG,1800,4000,1.105515,1.115445
SobolQRNG,1800,4500,1.000000,1.041703
SobolQRNG,1800,5000,0.906278,0.967432
SobolQRNG,1900,3500,1.276436,1.166898
SobolQRNG,1900,4000,1.103179,1.094074
SobolQRNG,1900,4500,0.987409,1.020176
SobolQRNG,1900,5000,0.906165,0.945892
SobolQRNG,2000,3500,1.270169,1.145005
SobolQRNG,2000,4000,1.100729,1.072009
SobolQRNG,2000,4500,0.976983,0.998153
SobolQRNG,2000,5000,0.896023,0.923876
backpropBackward,1700,3500,1.055968,1.262720
backpropBackward,1700,4000,1.046415,1.153473
backpropBackward,1700,4500,1.048056,1.042590
backpropBackward,1700,5000,1.050179,0.931705
backpropBackward,1600,3500,1.086461,1.270593
backpropBackward,1600,4000,1.111744,1.161693
backpropBackward,1600,4500,1.111937,1.051122
backpropBackward,1600,5000,1.115025,0.940498
backpropBackward,1800,3500,1.000096,1.254059
backpropBackward,1800,4000,0.999807,1.144596
backpropBackward,1800,4500,1.000000,1.033543
backpropBackward,1800,5000,0.998842,0.922531
backpropBackward,1900,3500,0.956296,1.244641
backpropBackward,1900,4000,0.959037,1.135099
backpropBackward,1900,4500,0.958361,1.024011
backpropBackward,1900,5000,0.959326,0.913012
backpropBackward,2000,3500,0.915034,1.234502
backpropBackward,2000,4000,0.915372,1.125016
backpropBackward,2000,4500,0.911502,1.014031
backpropBackward,2000,5000,0.919010,0.903182
backpropForward,1700,3500,1.062570,1.147654
backpropForward,1700,4000,1.053566,1.087098
backpropForward,1700,4500,1.052941,1.024766
backpropForward,1700,5000,1.056234,0.961575
backpropForward,1600,3500,1.115553,1.166977
backpropForward,1600,4000,1.116949,1.106562
backpropForward,1600,4500,1.119159,1.044272
backpropForward,1600,5000,1.121306,0.981022
backpropForward,1800,3500,1.007358,1.127352
backpropForward,1800,4000,0.997791,1.066727
backpropForward,1800,4500,1.000000,1.004430
