kernel,m1_error
BlackScholes,0.008951
SobolQRNG,0.251461
backpropBackward,0.584393
backpropForward,0.228361
cfd,1.444173
conjugateGradient,0.239692
convolutionSeparable,0.354751
convolutionTexture,0.838148
dxtc,2.841616
fastWalshTransform,0.258704
gaussian,0.395975
histogram,0.284637
hotspot,0.595611
matrixMulShared,0.118976
mergeSort,0.428619
nn,0.002784
pathfinder,0.221007
scalarProd,0.197009
scanScanExclusiveShared,0.180935
scanUniformUpdate,0.461181
sortingNetworks,0.466768
srad,0.041295
transpose,0.313960
vectorAdd,0.289287
average,0.460346
